Sample	processing
sample10A.genes.results	2
sample10B.genes.results	2
sample10C.genes.results	2
sample11A.genes.results	drop
sample11B.genes.results	drop
sample11C.genes.results	drop
sample12A.genes.results	drop
sample12B.genes.results	drop
sample12C.genes.results	drop
sample9A.genes.results	1
sample9B.genes.results	1
sample9C.genes.results	1
sample14A.genes.results	2
sample14B.genes.results	2
sample14C.genes.results	2
sample15A.genes.results	drop
sample15B.genes.results	drop
sample15C.genes.results	drop
sample16A.genes.results	drop
sample16B.genes.results	drop
sample16C.genes.results	drop
sample13A.genes.results	1
sample13B.genes.results	1
sample13C.genes.results	1
sample18A.genes.results	2
sample18B.genes.results	2
sample18C.genes.results	2
sample19A.genes.results	drop
sample19B.genes.results	drop
sample19C.genes.results	drop
sample20A.genes.results	drop
sample20B.genes.results	drop
sample20C.genes.results	drop
sample17A.genes.results	1
sample17B.genes.results	1
sample17C.genes.results	1
sample22A.genes.results	2
sample22B.genes.results	2
sample22C.genes.results	2
sample23A.genes.results	drop
sample23B.genes.results	drop
sample23C.genes.results	drop
sample24A.genes.results	drop
sample24B.genes.results	drop
sample24C.genes.results	drop
sample21A.genes.results	1
sample21B.genes.results	1
sample21C.genes.results	1
sample2A.genes.results	2
sample2B.genes.results	2
sample2C.genes.results	2
sample3A.genes.results	drop
sample3B.genes.results	drop
sample3C.genes.results	drop
sample4A.genes.results	drop
sample4B.genes.results	drop
sample4C.genes.results	drop
sample1A.genes.results	1
sample1B.genes.results	1
sample1C.genes.results	1
sample6A.genes.results	2
sample6B.genes.results	2
sample6C.genes.results	2
sample7A.genes.results	drop
sample7B.genes.results	drop
sample7C.genes.results	drop
sample8A.genes.results	drop
sample8B.genes.results	drop
sample8C.genes.results	drop
sample5A.genes.results	1
sample5B.genes.results	1
sample5C.genes.results	1
