Sample	group
sample12A.genes.results	2
sample12B.genes.results	2
sample12C.genes.results	2
sample9A.genes.results	1
sample9B.genes.results	1
sample9C.genes.results	1
sample16A.genes.results	2
sample16B.genes.results	2
sample16C.genes.results	2
sample13A.genes.results	1
sample13B.genes.results	1
sample13C.genes.results	1
sample20A.genes.results	2
sample20B.genes.results	2
sample20C.genes.results	2
sample17A.genes.results	1
sample17B.genes.results	1
sample17C.genes.results	1
sample24A.genes.results	2
sample24B.genes.results	2
sample24C.genes.results	2
sample21A.genes.results	1
sample21B.genes.results	1
sample21C.genes.results	1
sample4A.genes.results	2
sample4B.genes.results	2
sample4C.genes.results	2
sample1A.genes.results	1
sample1B.genes.results	1
sample1C.genes.results	1
sample8A.genes.results	2
sample8B.genes.results	2
sample8C.genes.results	2
sample5A.genes.results	1
sample5B.genes.results	1
sample5C.genes.results	1
