Sample	group
sample10A.genes.results	drop
sample10B.genes.results	drop
sample10C.genes.results	drop
sample11A.genes.results	2
sample11B.genes.results	2
sample11C.genes.results	2
sample12A.genes.results	drop
sample12B.genes.results	drop
sample12C.genes.results	drop
sample9A.genes.results	1
sample9B.genes.results	1
sample9C.genes.results	1
sample14A.genes.results	drop
sample14B.genes.results	drop
sample14C.genes.results	drop
sample15A.genes.results	2
sample15B.genes.results	2
sample15C.genes.results	2
sample16A.genes.results	drop
sample16B.genes.results	drop
sample16C.genes.results	drop
sample13A.genes.results	1
sample13B.genes.results	1
sample13C.genes.results	1
sample18A.genes.results	drop
sample18B.genes.results	drop
sample18C.genes.results	drop
sample19A.genes.results	2
sample19B.genes.results	2
sample19C.genes.results	2
sample20A.genes.results	drop
sample20B.genes.results	drop
sample20C.genes.results	drop
sample17A.genes.results	1
sample17B.genes.results	1
sample17C.genes.results	1
sample22A.genes.results	drop
sample22B.genes.results	drop
sample22C.genes.results	drop
sample23A.genes.results	2
sample23B.genes.results	2
sample23C.genes.results	2
sample24A.genes.results	drop
sample24B.genes.results	drop
sample24C.genes.results	drop
sample21A.genes.results	1
sample21B.genes.results	1
sample21C.genes.results	1
sample2A.genes.results	drop
sample2B.genes.results	drop
sample2C.genes.results	drop
sample3A.genes.results	2
sample3B.genes.results	2
sample3C.genes.results	2
sample4A.genes.results	drop
sample4B.genes.results	drop
sample4C.genes.results	drop
sample1A.genes.results	1
sample1B.genes.results	1
sample1C.genes.results	1
sample6A.genes.results	drop
sample6B.genes.results	drop
sample6C.genes.results	drop
sample7A.genes.results	2
sample7B.genes.results	2
sample7C.genes.results	2
sample8A.genes.results	drop
sample8B.genes.results	drop
sample8C.genes.results	drop
sample5A.genes.results	1
sample5B.genes.results	1
sample5C.genes.results	1
