pathway	Pathway ID	Adj P-value (Real)	Rank (Real)	FDR (Real)	Median adj p-value (simulated)	Rank (simulated)	Percentile (simulated)	Mean FDR (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	8.30738395274027e-08	50.0	8.30738395274027e-08	2.06238078731029e-06	50.0	100.0	0.034672736684530664	0.11340902732517628	25	-0.3057309848119468
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	3.45940284259273e-06	48.5	3.45940284259273e-06	4.99785843759024e-05	49.0	97.95918367346938	0.04986565755914046	0.16648427459512327	25	-0.299500948528375
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	3.45940284259273e-06	48.5	3.45940284259273e-06	0.000384034641915034	48.0	95.91836734693878	0.051558873615474295	0.16630159765090136	25	-0.310011538920127
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	4.09549105264119e-05	47.0	4.09549105264119e-05	0.00056832065254867	47.0	93.87755102040816	0.06977034831422055	0.19186352537530277	25	-0.3634322535630313
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	4.1576479781794897e-05	46.0	4.1576479781794897e-05	0.00126346062618394	46.0	91.83673469387755	0.0885209459558044	0.2084456168270969	25	-0.42447219962132937
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	0.000826764356346846	45.0	0.000826764356346846	0.00183023254870901	45.0	89.79591836734694	0.11479645953173917	0.23643891034010756	25	-0.4820259703085742
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	0.0048301875188684895	44.0	0.0048301875188684895	0.0031391169506204603	44.0	87.75510204081633	0.12044570969320845	0.23535865981277093	25	-0.49123122245135453
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	0.005904750891894579	43.0	0.005904750891894579	0.00431008752675681	43.0	85.71428571428571	0.14050711550709225	0.24041340115796678	25	-0.5598787919761404
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.0217362661209326	42.0	0.0217362661209326	0.00876691948609093	42.0	83.6734693877551	0.14707756598920146	0.24360522253694342	25	-0.5145263248584931
HALLMARK_COAGULATION	HALLMARK_COAGULATION	0.0335134262428361	40.5	0.0335134262428361	0.010104973541254	41.0	81.63265306122449	0.16198820516156381	0.2581149551110421	25	-0.49774248401630716
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	0.0335134262428361	40.5	0.0335134262428361	0.0192226854488274	40.0	79.59183673469387	0.18132395549439148	0.276220200229484	25	-0.5351184639239065
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	0.0385164712729401	38.5	0.0385164712729401	0.0349893178701492	38.0	75.51020408163265	0.20398756449021824	0.2850848981788023	25	-0.5804274245123163
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	0.0385164712729401	38.5	0.0385164712729401	0.0218997221560462	39.0	77.55102040816327	0.19637351464983432	0.282495930407702	25	-0.5587940440383434
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.09006137495040899	37.0	0.09006137495040899	0.0585258148860374	36.5	72.44897959183673	0.22035939556922396	0.2886937312097805	25	-0.4513365083224941
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	0.101744621413825	35.5	0.101744621413825	0.0585258148860374	36.5	72.44897959183673	0.2303586524787918	0.28784735419641067	25	-0.44681331681516145
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	0.101744621413825	35.5	0.101744621413825	0.0734118543154009	35.0	69.38775510204081	0.24042945999748494	0.2882420017657175	25	-0.48114028397701275
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	0.119730450674872	34.0	0.119730450674872	0.0794111353769904	34.0	67.3469387755102	0.2526551683339152	0.29874925835696764	25	-0.4449373979707591
