	Gene ID	Adj P-value (Real)	Rank (Real)	abs(logFC) (Real)	logFC (Real)	Median adj p-value (simulated)	Rank (simulated)	Percentile (simulated)	Percent DE (simulated)	Mean abs(logFC) (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score
EGR3	EGR3	4.26586047027916e-09	6763.0	3.94580733333333	3.94580733333333	0.33418606444599297	5489.5	81.16681455190772	0.0	0.0562533333333328	0.05753656486353978	25	67.6014289213286
PGR	PGR	9.81252571203797e-07	6762.0	2.62093666666667	2.62093666666667	0.7191102663672291	3062.5	45.275066548358474	0.0	0.027506666666666707	0.025950651172876236	25	99.93699128099993
PRSS23	PRSS23	1.68371478405427e-06	6761.0	2.5578636666666696	2.5578636666666696	0.5544167339748199	5568.5	82.33510795622597	0.0	0.053680000000000117	0.04539002582555331	25	55.17035121969207
MYBL1	MYBL1	3.6610779786769897e-06	6760.0	1.91996966666667	1.91996966666667	0.14895220899790101	6748.0	99.77817213842059	0.0	0.1270000000000005	0.06339675187380008	25	28.281727591278198
CXCL12	CXCL12	1.0834777477708e-05	6759.0	1.83433	1.83433	0.7060582244474259	5209.0	77.01863354037266	0.0	0.040893333333333295	0.03861415495596114	25	46.44505800300574
CDKN2B	CDKN2B	2.5377987331114603e-06	6758.0	1.737218	-1.737218	0.22271173690084398	6602.0	97.6190476190476	0.0	0.08382666666666655	0.06442747286103385	25	25.662830775616452
ADRB1	ADRB1	0.000171787337341513	6757.0	1.6000046666666699	1.6000046666666699	0.5215548469885289	4688.5	69.32120674356699	0.0	0.0386400000000001	0.03226681588578912	25	48.38917704781409
IGFBP4	IGFBP4	4.32320089005394e-06	6756.0	1.58283466666667	1.58283466666667	0.67896698796398	5166.5	76.39012126589766	0.0	0.04564000000000064	0.03662749422678764	25	41.96832732124047
CLMN	CLMN	5.10757275181592e-05	6755.0	1.4129176666666698	-1.4129176666666698	0.673616875500467	3944.5	58.318544809228044	0.0	0.02955999999999963	0.023147218055388035	25	59.76345249595394
CCNG2	CCNG2	1.0834777477708e-05	6754.0	1.37386	-1.37386	0.421400862386266	5083.0	75.15527950310559	0.0	0.04577333333333304	0.040427543782628354	25	32.85103526960606
LONRF2	LONRF2	2.15343328891941e-05	6753.0	1.3572703333333302	1.3572703333333302	0.527620642349512	5878.5	86.9195504288672	0.0	0.059359999999999996	0.05545476301221323	25	23.4048486159337
AHRR	AHRR	0.000374764817716353	6752.0	1.332515	-1.332515	0.52319657549004	3294.5	48.70600414078675	0.0	0.036146666666666646	0.03276799477358139	25	39.56202820132611
VAT1L	VAT1L	0.000324950159992494	6751.0	1.32306733333333	-1.32306733333333	0.8325889752405571	2941.5	43.48565513161787	0.0	0.030053333333333206	0.03564221383987544	25	36.27760065098458
SLC26A2	SLC26A2	3.84975390923363e-05	6750.0	1.31348566666667	1.31348566666667	0.37852501677741796	5920.0	87.53327417923691	0.0	0.04242666666666694	0.03133385342358011	25	40.565039442083915
KCTD12	KCTD12	0.000872202638986395	6749.0	1.28539066666667	1.28539066666667	0.5392374546511239	5151.5	76.16829340431825	0.0	0.07559999999999997	0.09954191374789105	25	12.153580548297438
PPP1R3C	PPP1R3C	1.20701981497937e-05	6748.0	1.26298133333333	-1.26298133333333	0.67896698796398	3782.5	55.922803904170365	0.0	0.046733333333333196	0.056955148045535635	25	21.35448755268982
BIK	BIK	1.20846229086487e-05	6747.0	1.253927	-1.253927	0.570241251757755	5271.5	77.94291629695356	0.0	0.04645333333333372	0.043750966126899084	25	27.59878863393337
CLIP4	CLIP4	0.0030605174721167897	6746.0	1.12378133333333	-1.12378133333333	0.49899061938528394	5297.5	78.32741792369121	0.0	0.051853333333333404	0.05759670450963604	25	18.610925904982306
DUSP4	DUSP4	9.61414574084561e-05	6745.0	1.10684633333333	-1.10684633333333	0.6243572249428421	3933.5	58.155871044069805	0.0	0.032773333333333585	0.028351092473561663	25	37.88471294365836
C1orf226	C1orf226	6.13977471987077e-05	6744.0	1.10631966666667	1.10631966666667	0.656636765646264	3758.0	55.560485063590654	0.0	0.026320000000000312	0.02034345831701925	25	53.08830238382559
RNF144B	RNF144B	0.000171787337341513	6743.0	1.09972133333333	-1.09972133333333	0.42672087732950703	6594.0	97.50073942620526	0.0	0.07842666666666631	0.058380577693714554	25	17.493740333039216
TPBG	TPBG	0.000171787337341513	6742.0	1.09500666666667	1.09500666666667	0.627147357150604	4982.5	73.6690328305235	0.0	0.04196000000000021	0.040163706668250934	25	26.2188616047008
SLC1A1	SLC1A1	0.000302365869941229	6741.0	1.09384066666667	1.09384066666667	0.5780233674340629	5639.0	83.37769890564921	0.0	0.04971999999999985	0.04819834406253373	25	21.66299873937582
HMCN1	HMCN1	0.000320003336138278	6740.0	1.070782	-1.070782	0.691285563310138	4849.5	71.70215912451937	0.0	0.03658666666666659	0.028910667004873474	25	35.77210215035851
LYN	LYN	0.00119057068159255	6739.0	1.04881566666667	-1.04881566666667	0.280675704731197	6028.5	89.13782904466133	0.0	0.0579866666666672	0.050782623158073116	25	19.511181943394483
ARHGEF37	ARHGEF37	6.688949289031761e-05	6738.0	1.046574	-1.046574	0.494390539742652	5553.5	82.11328009464656	0.0	0.05026666666666593	0.04408545993610369	25	22.59945421409589
ELOVL2	ELOVL2	0.00011865956637138798	6737.0	1.0431540000000001	1.0431540000000001	0.185442023150822	6638.0	98.15143448683821	0.0	0.07640000000000041	0.039609669601322645	25	24.407020046633207
FAM171B	FAM171B	0.00032980291966964705	6736.0	1.042601	-1.042601	0.30391265953076396	6316.0	93.38952972493344	0.0	0.07230666666666725	0.06963429072263473	25	13.934145422665118
CRISPLD2	CRISPLD2	0.000405215407468789	6735.0	1.0388959999999998	-1.0388959999999998	0.30391265953076396	6177.0	91.33392487429754	0.0	0.06647999999999969	0.061042189417556535	25	15.930228081241145
DRD1	DRD1	0.000171787337341513	6734.0	1.032382	-1.032382	0.779956680185408	847.5	12.518485655131618	0.0	0.0189866666666666	0.023305634352932727	25	43.48284702260464
SGCG	SGCG	0.00011281991676328999	6733.0	1.01978166666667	-1.01978166666667	0.60721168385238	5447.0	80.5383022774327	0.0	0.04795999999999978	0.057905200303791725	25	16.7829773762657
CRACR2A	CRACR2A	0.000142837884678744	6732.0	1.01660133333333	-1.01660133333333	0.312864531267907	6204.5	91.74060928719314	0.0	0.047893333333333316	0.026020241408621997	25	37.229016625457135
KCNK6	KCNK6	0.000134105568458633	6731.0	1.00430333333333	1.00430333333333	0.444751901009657	4624.0	68.3673469387755	0.0	0.04758666666666645	0.044371775313192724	25	21.561379050394006
CDK5R1	CDK5R1	0.000349865560433229	6730.0	0.9934246666666671	0.9934246666666671	0.29410748138912396	6212.5	91.85891748003549	0.0	0.05496000000000073	0.031243565263432905	25	30.037054310348957
FRK	FRK	0.000156977660408153	6729.0	0.9781380000000011	0.9781380000000011	0.616897033406364	5151.5	76.16829340431825	0.0	0.04186666666666682	0.03652421824650746	25	25.634260725699804
KLHL24	KLHL24	0.0161185867835092	6728.0	0.9674883333333321	-0.9674883333333321	0.6994366296699039	3387.0	50.07394262052647	0.0	0.0308533333333336	0.044338145102282824	25	21.12481245751921
CDKL5	CDKL5	0.00314005220451755	6727.0	0.9582746666666679	-0.9582746666666679	0.7191544940218809	2755.5	40.73498964803313	0.0	0.025946666666667027	0.025597612735912847	25	36.422458985480574
CDK6	CDK6	0.000293725891697888	6726.0	0.9579643333333342	-0.9579643333333342	0.0798652714831365	6682.0	98.80212954747115	0.0	0.09262666666666725	0.045553928155213065	25	18.995895671570974
ST8SIA4	ST8SIA4	0.000837290622295559	6725.0	0.942942999999997	-0.942942999999997	0.580163973479371	5464.5	80.79710144927536	0.0	0.04385333333333328	0.04838934302631677	25	18.5803238985429
MAP1B	MAP1B	0.00019461525817331102	6724.0	0.9299209999999999	-0.9299209999999999	0.201799852174339	6685.0	98.84649511978704	0.0	0.09091999999999986	0.08574948871459721	25	9.784326560738736
YPEL2	YPEL2	0.000149072646555421	6723.0	0.9258399999999979	-0.9258399999999979	0.67896698796398	4350.0	64.31529133392488	0.0	0.038879999999999894	0.050375431254472046	25	17.606995670558327
FGF18	FGF18	0.00032367199534138997	6722.0	0.9188120000000011	0.9188120000000011	0.842949585011622	2131.0	31.49955634427684	0.0	0.02625333333333354	0.03099585993860068	25	28.796060778269293
APELA	APELA	0.000275717736813726	6721.0	0.901119000000001	-0.901119000000001	0.7831530176242251	3111.5	45.999704229517896	0.0	0.031066666666666937	0.029494035806382077	25	29.499263479739437
FAM84A	FAM84A	0.00398065832239523	6720.0	0.893923333333333	-0.893923333333333	0.715135084274615	1946.5	28.77107364685004	0.0	0.02807999999999984	0.028387249354700043	25	30.501135298970993
RAB27B	RAB27B	0.000349865560433229	6719.0	0.885051999999996	-0.885051999999996	0.563362873843937	6236.5	92.21384205856255	0.0	0.05009333333333401	0.0387508088326583	25	21.546870680102497
RPS6KA3	RPS6KA3	0.00633920799359881	6718.0	0.8752623333333349	0.8752623333333349	0.327287446903547	5900.5	87.24489795918367	0.0	0.041706666666667044	0.024360585956584774	25	34.21738985064742
GPC6	GPC6	0.000293725891697888	6717.0	0.8670526666666658	0.8670526666666658	0.7474179500592959	3627.0	53.6231884057971	0.0	0.030866666666667025	0.032840946663848895	25	25.461689900689343
PGBD5	PGBD5	0.00045700051008110994	6716.0	0.8668463333333349	0.8668463333333349	0.5438009059705321	5040.0	74.51937296657793	0.0	0.04337333333333342	0.0402310825109147	25	20.468576747259863
LOXL4	LOXL4	0.002091080529782	6715.0	0.8576006666666658	0.8576006666666658	0.745188416592918	4048.0	59.849157054126	0.0	0.02890666666666626	0.025657198830968692	25	32.29869345673664
CREBRF	CREBRF	0.000467681426614175	6714.0	0.8542573333333309	-0.8542573333333309	0.628151069562067	4145.0	61.28364389233955	0.0	0.03720000000000022	0.03132993480387069	25	26.079126511057613
NOC3L	NOC3L	0.00019461525817331102	6713.0	0.8537153333333329	0.8537153333333329	0.062146373750556	6726.0	99.45282460810411	0.0	0.097946666666667	0.025121865936831182	25	30.084097597170643
ATP8B2	ATP8B2	0.00020775021408336002	6712.0	0.8503703333333321	-0.8503703333333321	0.42988383906486205	5285.5	78.14995563442768	0.0	0.04089333333333399	0.028424317966344124	25	28.47832623313816
DRAM1	DRAM1	0.00019461525817331102	6711.0	0.8412256666666659	-0.8412256666666659	0.604417841670289	3680.5	54.41437444543035	0.0	0.029266666666666826	0.029422213830142516	25	27.596801678062786
KIAA1211L	KIAA1211L	0.000275717736813726	6710.0	0.8370763333333342	-0.8370763333333342	0.410259534434063	4782.5	70.71132800946465	0.0	0.03843999999999999	0.03551248085245912	25	22.488891628026916
PTGER4	PTGER4	0.00045700051008110994	6709.0	0.8365809999999999	-0.8365809999999999	0.647716415460328	5275.0	77.9946761313221	0.0	0.041426666666666626	0.03530574394564595	25	22.52195378059425
ABCA1	ABCA1	0.0014199980107913	6708.0	0.826394999999999	-0.826394999999999	0.54460377740691	6219.5	91.96243714877255	0.0	0.06083999999999973	0.043533099369798614	25	17.585584557094695
EIF5A2	EIF5A2	0.000419804580407215	6707.0	0.822775333333333	0.822775333333333	0.191816975498826	6596.0	97.53031647441584	0.0	0.07248000000000035	0.036739206023801076	25	20.42219782450558
KAT2B	KAT2B	0.0019610780251552396	6706.0	0.8209276666666658	-0.8209276666666658	0.705306667574327	3302.0	48.81691807157646	0.0	0.035293333333333295	0.038981515087519944	25	20.154022530151884
CYSRT1	CYSRT1	0.000869125464748976	6705.0	0.819320333333333	-0.819320333333333	0.8012633403920799	672.5	9.930493936705117	0.0	0.01611999999999967	0.014120473709397128	25	56.88196797525328
HOTAIR	HOTAIR	0.000349865560433229	6704.0	0.808092	-0.808092	0.7510057431392869	2542.0	37.577639751552795	0.0	0.028466666666666907	0.032258504477286745	25	24.168055710154462
