	group
DRR000897	0
DRR001173	1
DRR001174	2
DRR001175	3
DRR001176	4
DRR001482	5
DRR001483	6
DRR001484	7
DRR001485	8
DRR001486	9
DRR001487	10
DRR001488	11
DRR001489	12
DRR001622	13
DRR001625	14
DRR001628	15
DRR001631	16
DRR001634	17
DRR001637	18
DRR001623	19
DRR001626	20
DRR001629	21
DRR001632	22
DRR001635	23
DRR001638	24
DRR001642	25
DRR001624	26
DRR001627	27
DRR001630	28
DRR001633	29
DRR001636	30
DRR001639	31
DRR001640	32
DRR001641	33
DRR001796	34
DRR001797	35
DRR001798	36
DRR001799	37
DRR002271	38
DRR002272	39
DRR002273	40
DRR002274	41
DRR002275	42
DRR002593	43
DRR002594	44
DRR002595	45
DRR002596	46
DRR002597	47
DRR002598	48
DRR002599	49
DRR003595	50
DRR003596	51
DRR003597	52
DRR003598	53
DRR006374	54
DRR006375	55
DRR006376	56
DRR006377	57
DRR006378	58
DRR006379	59
DRR006380	60
DRR006381	61
DRR006382	62
DRR006383	63
DRR006384	64
DRR006385	65
DRR006386	66
DRR006387	67
DRR006388	68
DRR006389	69
DRR006390	70
DRR006391	71
DRR006392	72
DRR006393	73
DRR006394	74
DRR006395	75
DRR006396	76
DRR006397	77
DRR006398	78
DRR006399	79
DRR006400	80
DRR006401	81
DRR006402	82
DRR006403	83
DRR006404	84
DRR006405	85
DRR006406	86
DRR006407	87
DRR006408	88
DRR006409	89
DRR006410	90
DRR006411	91
DRR006412	92
DRR006413	93
DRR006414	94
DRR006415	95
DRR006416	96
DRR006417	97
DRR006418	98
DRR006419	99
DRR006420	100
DRR006421	101
DRR006422	102
DRR006423	103
DRR006424	104
DRR006425	105
DRR006426	106
DRR006427	107
DRR006428	108
DRR006429	109
DRR006430	110
DRR006431	111
DRR006432	112
DRR006433	113
DRR006434	114
DRR006435	115
DRR006436	116
DRR006437	117
DRR006438	118
DRR006439	119
DRR006440	120
DRR006441	121
DRR006442	122
DRR006443	123
DRR006444	124
DRR006445	125
DRR006446	126
DRR006447	127
DRR006448	128
DRR006449	129
DRR006450	130
DRR006451	131
DRR006452	132
DRR006453	133
DRR006454	134
DRR006455	135
DRR006456	136
DRR006457	137
DRR006458	138
DRR006459	139
DRR006460	140
DRR006461	141
DRR006462	142
DRR006463	143
DRR006464	144
DRR006465	145
DRR006466	146
DRR006467	147
DRR006468	148
DRR006469	149
DRR006470	150
DRR006471	151
DRR006472	152
DRR006473	153
DRR006474	154
DRR006475	155
DRR006476	156
DRR006477	157
DRR006478	158
DRR006479	159
DRR006480	160
DRR006481	161
DRR006482	162
DRR006483	163
DRR006484	164
DRR006485	165
DRR006486	166
DRR006487	167
DRR006488	168
DRR006489	169
DRR006490	170
DRR006491	171
DRR006492	172
DRR006493	173
DRR006494	174
DRR010359	175
DRR010362	176
DRR010360	177
DRR010363	178
DRR010361	179
DRR010364	180
DRR012594	181
DRR012595	182
DRR012596	183
DRR012597	184
DRR013756	185
DRR013757	186
DRR013758	187
DRR013759	188
DRR013760	189
DRR013761	190
DRR013762	191
DRR013763	192
DRR013764	193
DRR013765	194
DRR013766	195
DRR013767	196
DRR013807	197
DRR013801	198
DRR013802	199
DRR013803	200
DRR013804	201
DRR013805	202
DRR013806	203
DRR013795	204
DRR013789	205
DRR013796	206
DRR013790	207
DRR013797	208
DRR013791	209
DRR013798	210
DRR013792	211
DRR013799	212
DRR013793	213
DRR013800	214
DRR013794	215
DRR014027	216
DRR014028	217
DRR014029	218
DRR014030	219
DRR014032	220
DRR014033	221
DRR014034	222
DRR014035	223
DRR014036	224
DRR014113	225
DRR014114	226
DRR014396	227
DRR014397	228
DRR014398	229
DRR014399	230
DRR014400	231
DRR014401	232
DRR014402	233
DRR015133	234
DRR015134	235
DRR015135	236
DRR015136	237
DRR015137	238
DRR015138	239
DRR015139	240
DRR015140	241
DRR015141	242
DRR015142	243
DRR015143	244
DRR015144	245
DRR015145	246
DRR015146	247
DRR015147	248
DRR015148	249
DRR015149	250
DRR015150	251
DRR015151	252
DRR015152	253
DRR015153	254
DRR015154	255
DRR015155	256
DRR015156	257
DRR015157	258
DRR015158	259
DRR015159	260
DRR015160	261
DRR015161	262
DRR015162	263
DRR015163	264
DRR015164	265
DRR015165	266
DRR015166	267
DRR015167	268
DRR015168	269
DRR015169	270
DRR015170	271
DRR015171	272
DRR015172	273
DRR015173	274
DRR015174	275
DRR015175	276
DRR015176	277
DRR015177	278
DRR015178	279
DRR015179	280
DRR015180	281
DRR015181	282
DRR015182	283
DRR015183	284
DRR015184	285
DRR015185	286
DRR015186	287
DRR015187	288
DRR015188	289
DRR015189	290
DRR015190	291
DRR015191	292
DRR015192	293
DRR015193	294
DRR015194	295
DRR015195	296
DRR015196	297
DRR015197	298
DRR015198	299
DRR015199	300
DRR015200	301
DRR015201	302
DRR015202	303
DRR015203	304
DRR015204	305
DRR015205	306
DRR015206	307
DRR015207	308
DRR015208	309
DRR015209	310
DRR015210	311
DRR015211	312
DRR015212	313
DRR015213	314
DRR015214	315
DRR015215	316
DRR015216	317
DRR015217	318
DRR015218	319
DRR015219	320
DRR015220	321
DRR015221	322
DRR015222	323
DRR015223	324
DRR015224	325
DRR015225	326
DRR015226	327
DRR015227	328
DRR015228	329
DRR015229	330
DRR015230	331
DRR015231	332
DRR015232	333
DRR015233	334
DRR015234	335
DRR015235	336
DRR015236	337
DRR015237	338
DRR015238	339
DRR015239	340
DRR015240	341
DRR015241	342
DRR015242	343
DRR015243	344
DRR015244	345
DRR015245	346
DRR015246	347
DRR015247	348
DRR015248	349
DRR015249	350
DRR015250	351
DRR015251	352
DRR015252	353
DRR015253	354
DRR015254	355
DRR015255	356
DRR015256	357
DRR015257	358
DRR015258	359
DRR015259	360
DRR015260	361
DRR015261	362
DRR015262	363
DRR015263	364
DRR015264	365
DRR015265	366
DRR015266	367
DRR015267	368
DRR015268	369
DRR015269	370
DRR015270	371
DRR015271	372
DRR015272	373
DRR015273	374
DRR015274	375
DRR015275	376
DRR015276	377
DRR015277	378
DRR015278	379
DRR015279	380
DRR015280	381
DRR015281	382
DRR015282	383
DRR015283	384
DRR015284	385
DRR015285	386
DRR015286	387
DRR015287	388
DRR015288	389
DRR015289	390
DRR015290	391
DRR015291	392
DRR015292	393
DRR015293	394
DRR015294	395
DRR015295	396
DRR015296	397
DRR015297	398
DRR015298	399
DRR015299	400
DRR015300	401
DRR015301	402
DRR015302	403
DRR015303	404
DRR015304	405
DRR015305	406
DRR015306	407
DRR015307	408
DRR015308	409
DRR015309	410
DRR015310	411
DRR015311	412
DRR015312	413
DRR015313	414
DRR015314	415
DRR015315	416
DRR015316	417
DRR015317	418
DRR015318	419
DRR015320	420
DRR015321	421
DRR015322	422
DRR015323	423
DRR015324	424
DRR015325	425
DRR015326	426
DRR015327	427
DRR015328	428
DRR015329	429
DRR015330	430
DRR015331	431
DRR015332	432
DRR015333	433
DRR015334	434
DRR015335	435
DRR015336	436
DRR015337	437
DRR015338	438
DRR015339	439
DRR015340	440
DRR015341	441
DRR015342	442
DRR015343	443
DRR015344	444
DRR015345	445
DRR015346	446
DRR015347	447
DRR015348	448
DRR015349	449
DRR015350	450
DRR015351	451
DRR015352	452
DRR015353	453
DRR015354	454
DRR015355	455
DRR015356	456
DRR015357	457
DRR015358	458
DRR015359	459
DRR015360	460
DRR015361	461
DRR015362	462
DRR015363	463
DRR015364	464
DRR015365	465
DRR015366	466
DRR015367	467
DRR015368	468
DRR015369	469
DRR015370	470
DRR015371	471
DRR015372	472
DRR015373	473
DRR015374	474
DRR015375	475
DRR015376	476
DRR015377	477
DRR015378	478
DRR015379	479
DRR015380	480
DRR015381	481
DRR015382	482
DRR015383	483
DRR015384	484
DRR015385	485
DRR015386	486
DRR015387	487
DRR015388	488
DRR015389	489
DRR015390	490
DRR015391	491
DRR015392	492
DRR015393	493
DRR015394	494
DRR015395	495
DRR015396	496
DRR015397	497
DRR015398	498
DRR015399	499
DRR015400	500
DRR015401	501
DRR015402	502
DRR015403	503
DRR015404	504
DRR015405	505
DRR015406	506
DRR015407	507
