,Run,Assay.Type,BioSample,Center.Name,Consent,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample.Name,SRA_study,BioProject,DATASTORE.filetype,DATASTORE.provider,DATASTORE.region,AvgSpotLen,Bases,Bytes,source_name,GEO_Accession..exp.,Strain,Library.Name,SAMPLE_TYPE,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Collection_Date,Isolation_Source,BioSampleModel,Isolate,infection_side,Host,growth_condition,geographical_location,collected_by,lat_lon,host_disease,ENA.FIRST.PUBLIC..run.,ENA.LAST.UPDATE..run.,Genotype,genotype.variation,Replicate,specific_host,Sample_Name,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,SRA_accession,TITLE,AssemblyName,Alias,ENA_checklist,Location,INSDC_center_alias,Description,TREATMENT,growth_time,body_site,organism,strain_background,Time_point,analysis_type..exp.,analysis_type..run.,flowcell_barcode..run.,geographic_location_.country_and.or_sea,X_region.,gssr_id..exp.,gssr_id..run.,instrument_name..run.,isolation.source,lane..run.,library_type..exp.,library_type..run.,lsid..exp.,lsid..run.,material_type..exp.,product_order..exp.,product_order..run.,product_part_number..exp.,product_part_number..run.,project..exp.,project..run.,read_group_id..run.,research_project..exp.,research_project..run.,run_barcode..run.,run_name..run.,work_request..exp.,work_request..run.,Broker_name,growth_phase,ENA_first_public,ENA.LAST.UPDATE,Cell_type,culture_type,culture_collection,Time,phage,Biomaterial_provider,phase_of_infection,antibiotic,environmental_condition,Timepoint,growth_medium,Condition,exposed_to,Passages,media,agent,TISSUE,Phenotype,exposure,protocol,susceptibility,organism_part,fraction,stimulus,Replica,carbon_source,TaxID,medium,Cell_Line,taxonomy_id,cultivation_condition,number_of_cells,treatment_duration,treatment_type,genetic_background,plasmid,Biological_Replicate,depletion_method,growth_stage,host_or_sample_description,Tax_ID,Technical_replicate,treated,dangling_references..run.,ID,Incubation_time,molecule_subtype,geographic_location_.country_and.or_sea.,host_health_state,host_scientific_name
1,SRR8239475,RNA-Seq,SAMN07372049,BIOSCIENCES AND BIOTECHNOLOGY INSTITUTE OF GRENOBLE - CEA GRENOBLE,public,SRX5057740,Illumina HiSeq 2000,SINGLE,unspecified,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2018-11-23T00:00:00Z,CLJ1,SRP170343,PRJNA383797,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",50,161286350,127723571,,,CLJ1,CLJ1-RNA1,,France,Europe,France: Grenoble,5-May-10,lungs (tracheal aspirate),Pathogen.cl,,,Homo sapiens,,,Jacques Croize,45.199444 N 5.745556 E,Chronic obstructive pulmonary disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,NA,,,,NA,NA,,,,,,,,,NA
2,SRR8239476,RNA-Seq,SAMN07372049,BIOSCIENCES AND BIOTECHNOLOGY INSTITUTE OF GRENOBLE - CEA GRENOBLE,public,SRX5057739,Illumina HiSeq 2000,SINGLE,unspecified,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2018-11-23T00:00:00Z,CLJ1,SRP170343,PRJNA383797,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",50,1081650900,844939868,,,CLJ1,CLJ1-RNA2,,France,Europe,France: Grenoble,5-May-10,lungs (tracheal aspirate),Pathogen.cl,,,Homo sapiens,,,Jacques Croize,45.199444 N 5.745556 E,Chronic obstructive pulmonary disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,NA,,,,NA,NA,,,,,,,,,NA
3,SRR8239645,RNA-Seq,SAMN07372048,BIOSCIENCES AND BIOTECHNOLOGY INSTITUTE OF GRENOBLE - CEA GRENOBLE,public,SRX5057910,Illumina HiSeq 2000,SINGLE,unspecified,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2018-11-24T00:00:00Z,CLJ3,SRP170410,PRJNA383798,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",50,106951750,84434061,,,CLJ3,CLJ3-RNA2,,France,Europe,France: Grenoble,17-May-10,lungs (tracheal aspirate),Pathogen.cl,,,Homo sapiens,,,Jacques Croize,45.199444 N 5.745556 E,Chronic obstructive pulmonary disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,NA,,,,NA,NA,,,,,,,,,NA
4,SRR8239646,RNA-Seq,SAMN07372048,BIOSCIENCES AND BIOTECHNOLOGY INSTITUTE OF GRENOBLE - CEA GRENOBLE,public,SRX5057909,Illumina HiSeq 2000,SINGLE,unspecified,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2018-11-24T00:00:00Z,CLJ3,SRP170410,PRJNA383798,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",50,2840227350,2216658491,,,CLJ3,CLJ3-RNA1,,France,Europe,France: Grenoble,17-May-10,lungs (tracheal aspirate),Pathogen.cl,,,Homo sapiens,,,Jacques Croize,45.199444 N 5.745556 E,Chronic obstructive pulmonary disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,NA,,,,NA,NA,,,,,,,,,NA
5,SRR6483189,RNA-Seq,SAMN07807133,MONASH UNIVERSITY,public,SRX3573046,Illumina HiSeq 1500,SINGLE,unspecified,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,2018-01-24T00:00:00Z,PAO1 samples from Colistin/Doripenem treatment,SRP130183,PRJNA414673,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",99,424819363,85065286,,,PAO1,PB1_1_S16_L001_R1_001,,Australia,Oceania,Australia: Melbourne,1-May-16,Australia,Pathogen.cl,,,Homo sapiens,,,Mohd Hafidz Mahamad Maifiah,37.8136 S 144.9631 E,cystic fibrosis,,,,,,,,,,,,,,BioProject331,,,,,,,,,,,,,,,,NA,NA,,,NA,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,NA,,,,NA,NA,,,,,,,,,NA
6,SRR6483191,RNA-Seq,SAMN07807133,MONASH UNIVERSITY,public,SRX3573044,Illumina HiSeq 1500,SINGLE,unspecified,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,2018-01-22T00:00:00Z,PAO1 samples from Colistin/Doripenem treatment,SRP130183,PRJNA414673,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",99,405240737,86608240,,,PAO1,PB1_3_S18_L001_R1_001,,Australia,Oceania,Australia: Melbourne,1-May-16,Australia,Pathogen.cl,,,Homo sapiens,,,Mohd Hafidz Mahamad Maifiah,37.8136 S 144.9631 E,cystic fibrosis,,,,,,,,,,,,,,BioProject331,,,,,,,,,,,,,,,,NA,NA,,,NA,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,NA,,,,NA,NA,,,,,,,,,NA
7,SRR8377186,RNA-Seq,SAMN10660585,GEO,public,SRX5187184,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,2020-01-17T00:00:00Z,GSM3534619,SRP174640,PRJNA512099,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",100,759951600,445474985,PAO1 treated with FOS,GSM3534619,PAO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,Pseudomonas aeruginosa PAO1 culture,,,,,,,,,,,,,,,NA,,,,,NA,,,,NA,NA,,,,,,,,,NA
8,SRR8377187,RNA-Seq,SAMN10660584,GEO,public,SRX5187185,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,2020-01-17T00:00:00Z,GSM3534620,SRP174640,PRJNA512099,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",100,559709600,326921188,PAO1 treated with FOS,GSM3534620,PAO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,Pseudomonas aeruginosa PAO1 culture,,,,,,,,,,,,,,,NA,,,,,NA,,,,NA,NA,,,,,,,,,NA
9,SRR8377188,RNA-Seq,SAMN10660583,GEO,public,SRX5187186,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,2020-01-17T00:00:00Z,GSM3534621,SRP174640,PRJNA512099,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",100,145323500,85368665,PAO1 treated with Inulin,GSM3534621,PAO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,Pseudomonas aeruginosa PAO1 culture,,,,,,,,,,,,,,,NA,,,,,NA,,,,NA,NA,,,,,,,,,NA
10,SRR8377189,RNA-Seq,SAMN10660582,GEO,public,SRX5187187,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PAO1,ILLUMINA,2020-01-17T00:00:00Z,GSM3534622,SRP174640,PRJNA512099,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",100,928449600,541240288,PAO1 treated with Inulin,GSM3534622,PAO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,NA,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,Pseudomonas aeruginosa PAO1 culture,,,,,,,,,,,,,,,NA,,,,,NA,,,,NA,NA,,,,,,,,,NA
