experiment	sample_name	ml_data_source	description	nucleic_acid	medium	genotype	od	growth_setting_1	growth_setting_2	strain	temperature	treatment	additional_notes	variant_phenotype	abx_marker	biotic_int_lv_2	biotic_int_lv_1
E-GEOD-46947	GSM1141730 1	GSM1141730_PA01_ZnO_PZO_.CEL	Pseudomonas aeruginosa PAO1 LB aerated  5 h with ZnO nanoparticles	RNA	LB			planktonic	aerated	PAO1	37	1 mM ZnO nanoparticles	Grown for 5h				
E-GEOD-46947	GSM1141729 1	GSM1141729_PA01_none_PC_.CEL	Pseudomonas aeruginosa PAO1 LB aerated  5 h	RNA	LB			planktonic	aerated	PAO1	37		Grown for 5h				
E-GEOD-65882	GSM1608059 1	GSM1608059_Planktonic_1.CEL	PAO1 WT. Planktonic. Rep1	RNA	PBM plus 1 g / L glucose. 	WT	0.26	Planktonic 	Aerated	PAO1	37		Grown shaking at 200rpm				
E-GEOD-65882	GSM1608060 1	GSM1608060_Planktonic_2.CEL	PAO1 WT. Planktonic. Rep2	RNA	PBM plus 1 g / L glucose. 	WT	0.26	Planktonic 	Aerated	PAO1	37		Grown shaking at 200rpm				
E-GEOD-65882	GSM1608061 1	GSM1608061_Planktonic_3.CEL	PAO1 WT. Planktonic. Rep3	RNA	PBM plus 1 g / L glucose. 	WT	0.26	Planktonic 	Aerated	PAO1	37		Grown shaking at 200rpm				
E-GEOD-65882	GSM1608062 1	GSM1608062_Planktonic_4.CEL	PAO1 WT. Planktonic. Rep4	RNA	PBM plus 1 g / L glucose. 	WT	0.26	Planktonic 	Aerated	PAO1	37		Grown shaking at 200rpm				
E-GEOD-65882	GSM1608067 1	GSM1608067_Biofilm+12hrcipro_rep1.CEL	"P. aeruginosa PAO1, cells grown 72 hours in a drip flow reactor and then treated with 1.0 μg/ml ciprofloxacin for 12 hours in the reactor, replicate 1"	RNA	PBM supplemented with 0.2 g/L glucose	WT		Biofilm	drip-flow biofilm reactor	PAO1	37	12h treatment with ciprofloxacin at 1.0 μg/ml	12 hours; stainless steel slides; 10o incline; 60 ml/hr flow rate				
E-GEOD-65882	GSM1608068 1	GSM1608068_Biofilm+12hrcipro_rep2.CEL	"P. aeruginosa PAO1, cells grown 72 hours in a drip flow reactor and then treated with 1.0 μg/ml ciprofloxacin for 12 hours in the reactor, replicate 2"	RNA	PBM supplemented with 0.2 g/L glucose	WT		Biofilm	drip-flow biofilm reactor	PAO1	37	12h treatment with ciprofloxacin at 1.0 μg/ml	12 hours; stainless steel slides; 10o incline; 60 ml/hr flow rate				
E-GEOD-65882	GSM1608069 1	GSM1608069_Biofilm+12hrcipro_rep3.CEL	"P. aeruginosa PAO1, cells grown 72 hours in a drip flow reactor and then treated with 1.0 μg/ml ciprofloxacin for 12 hours in the reactor, replicate 3"	RNA	PBM supplemented with 0.2 g/L glucose	WT		Biofilm	drip-flow biofilm reactor	PAO1	37	12h treatment with ciprofloxacin at 1.0 μg/ml	12 hours; stainless steel slides; 10o incline; 60 ml/hr flow rate				
E-GEOD-65882	GSM1608070 1	GSM1608070_Biofilm+12hrtobra_rep1.CEL	"P. aeruginosa PAO1, cells grown 72 hours in a drip flow reactor and then treated with 10.0 μg/ml ciprofloxacin for 12 hours in the reactor, replicate 1"	RNA	PBM supplemented with 0.2 g/L glucose	WT		Biofilm	drip-flow biofilm reactor	PAO1	37	12h treatment with tobramycin at 10 μg/ml	12 hours; stainless steel slides; 10o incline; 60 ml/hr flow rate				
E-GEOD-65882	GSM1608071 1	GSM1608071_Biofilm+12hrtobra_rep2.CEL	"P. aeruginosa PAO1, cells grown 72 hours in a drip flow reactor and then treated with 10.0 μg/ml ciprofloxacin for 12 hours in the reactor, replicate 2"	RNA	PBM supplemented with 0.2 g/L glucose	WT		Biofilm	drip-flow biofilm reactor	PAO1	37	12h treatment with tobramycin at 10 μg/ml	12 hours; stainless steel slides; 10o incline; 60 ml/hr flow rate				
E-GEOD-65882	GSM1608072 1	GSM1608072_Biofilm+12hrtobra_rep3.CEL	"P. aeruginosa PAO1, cells grown 72 hours in a drip flow reactor and then treated with 10.0 μg/ml ciprofloxacin for 12 hours in the reactor, replicate 3"	RNA	PBM supplemented with 0.2 g/L glucose	WT		Biofilm	drip-flow biofilm reactor	PAO1	37	12h treatment with tobramycin at 10 μg/ml	12 hours; stainless steel slides; 10o incline; 60 ml/hr flow rate				
