	Gene ID	Gene ID Name	Test statistic (Real)_grp_1v2	Test statistic (Real)_grp_1v2_raw	Adj P-value (Real)_grp_1v2	Mean test statistic (simulated)_grp_1v2	Std deviation (simulated)_grp_1v2	Median adj p-value (simulated)_grp_1v2	Test statistic (Real)_grp_1v3	Test statistic (Real)_grp_1v3_raw	Adj P-value (Real)_grp_1v3	Mean test statistic (simulated)_grp_1v3	Std deviation (simulated)_grp_1v3	Median adj p-value (simulated)_grp_1v3	Z score_grp_1v2	Z score_grp_1v3	max Z score
0	PA5530	PA5530 	4.255	4.255	8.781217508934929e-05	0.49472	0.4431347161605225	0.6587821131526179	0.317499999999998	0.317499999999998	0.395383271431327	0.21107999999999974	0.29202510166079904	0.96967085134317	8.485636224984603	0.3644207275154385	8.485636224984603
1	PA0523	PA0523 norC	3.5580000000000003	-3.5580000000000003	0.00130276043595332	0.4568200000000002	0.2900275087527617	0.856209066190708	0.424500000000002	-0.424500000000002	0.42567600993107707	0.22377999999999945	0.1959857605371711	0.9708126513406652	10.692709851339126	1.024156037917528	10.692709851339126
2	PA0524	PA0524 norB	3.2585	-3.2585	0.00130276043595332	0.5704399999999996	0.33189046009188045	0.698655367590459	0.306500000000003	-0.306500000000003	0.485254560418717	0.2539399999999997	0.21046829333654965	0.96967085134317	8.099238523625653	0.2497288269257599	8.099238523625653
3	PA5332	PA5332 crc	2.938	-2.938	0.0530709759581141	0.11007999999999983	0.0793609475749883	0.9505969739097327	0.292499999999999	0.292499999999999	0.441874103014114	0.09666000000000012	0.07966737098712343	0.9818743548804252	35.633647107450344	2.4582209450799164	35.633647107450344
4	PA3874	PA3874 narH	2.823	-2.823	0.00625019228917303	0.3377000000000004	0.22956131170851324	0.8268626925666441	2.542	-2.542	0.000347913254015501	0.2008199999999999	0.2297054218631621	0.9627488062498348	10.826301616344324	10.192097256610099	10.826301616344324
5	PA4131	PA4131 	2.7960000000000003	-2.7960000000000003	0.0102572433220053	0.9391200000000001	0.4648798518613886	0.6329305320152969	2.8815	-2.8815	0.000347913254015501	0.32657999999999954	0.2176087218687099	0.964948778846976	3.994322387956832	11.740889694400499	11.740889694400499
6	PA3875	PA3875 narG	2.7605	-2.7605	0.00329542367948171	0.39764000000000016	0.23626589540882384	0.807993459355642	2.0425	-2.0425	0.0023563519979474604	0.1722999999999998	0.209915756912148	0.973142675814635	10.00085093073384	8.909288314086393	10.00085093073384
7	PA3392	PA3392 nosZ	2.653	-2.653	0.00130276043595332	0.5919999999999997	0.3388661240076971	0.7811269428487241	1.3465	-1.3465	0.0025258611685787893	0.21989999999999987	0.14618980242593296	0.971568611816902	6.082047906190783	7.706419882267728	7.706419882267728
8	PA0518	PA0518 nirM	2.619	-2.619	0.00130276043595332	0.8539599999999997	0.4185139115569121	0.6587821131526179	0.8429999999999979	-0.8429999999999979	0.040582240708896	0.28278000000000025	0.2226024614269427	0.9621645734876628	4.217398636604171	2.5166837617555258	4.217398636604171
9	PA0997	PA0997 pqsB	2.5095	-2.5095	0.0456084808009459	0.7405200000000004	0.5125273464248843	0.6587821131526179	1.813	-1.813	0.0016025893473352699	0.3269399999999997	0.21074403510736295	0.9621645734876628	3.4514841253631725	7.051492580764773	7.051492580764773
10	PA0755	PA0755 opdH	2.4905	2.4905	0.00130276043595332	0.10894000000000004	0.07249027520985163	0.93153371097495	0.650500000000001	0.650500000000001	0.0707114492791756	0.08683999999999997	0.06312037441798593	0.975161790432787	32.853510255074056	8.929921680556255	32.853510255074056
11	PA4133	PA4133 	2.4635	-2.4635	0.00822749482601912	0.9487800000000002	0.4510691715247229	0.6587821131526179	2.591	-2.591	0.00184478485488418	0.3365600000000001	0.2450753846608557	0.9679037971685992	3.35806589237717	9.198965465747516	9.198965465747516
12	PA0515	PA0515 	2.2875	-2.2875	0.00158009116573401	0.7007799999999998	0.3810792262334261	0.698655367590459	1.135	-1.135	0.00514539511203675	0.24578000000000014	0.1718523518411469	0.970918182788261	4.163753599699163	5.174325462952974	5.174325462952974
13	PA3190	PA3190 	2.2365	-2.2365	0.00948374212558262	0.1806600000000006	0.14919930183035998	0.92347201037686	0.15200000000000302	0.15200000000000302	0.742648910131277	0.18859999999999988	0.23426689729167216	0.970918182788261	13.779152950310015	-0.15623206019768265	13.779152950310015
14	PA3187	PA3187 	2.216	-2.216	0.00857644317639251	0.2267	0.14586409199434008	0.8924994014279599	0.0785	0.0785	0.8865476001169158	0.20782000000000006	0.18167518405109734	0.970918182788261	13.638037798070204	-0.7118198375603568	13.638037798070204
15	PA3584	PA3584 glpD	2.2155	-2.2155	0.007599669686430459	0.43646	0.3399402190091664	0.7570009833318659	0.6	0.6	0.136934244091513	0.22036000000000008	0.2122290684614152	0.9733200224012322	5.2333907567201665	1.788821874177058	5.2333907567201665
16	PA0998	PA0998 pqsC	2.195	-2.195	0.058130245414931	0.6850199999999999	0.500511727301835	0.6587821131526179	1.5659999999999998	-1.5659999999999998	0.00940584144318978	0.3304799999999999	0.2115012056703224	0.9621645734876628	3.0168723680861973	5.841668826823933	5.841668826823933
