	Gene ID	Adj P-value (Real)	Rank (Real)	Test statistic (Real)	Median adj p-value (simulated)	Rank (simulated)	Mean test statistic (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score	Gene Name
PA1985	PA1985	0.000926790925320934	5549.0	2.9735	0.9696708513431701	5549.0	0.41498000000000024	0.28836371997878	25	8.87254471605608	pqqA
PA4739	PA4739	0.000222794220448934	5548.0	2.785	0.9621645734876629	5167.5	0.18170000000000058	0.5195895214814604	25	5.01030119425318	
PA1216	PA1216	0.000222794220448934	5547.0	2.6005	0.9621645734876629	5507.0	0.28822	0.2233455879722423	25	10.352924456637904	
PA1041	PA1041	0.000431883988011827	5546.0	2.597	0.9656866313522099	5528.0	0.3300999999999999	0.18757109763144933	25	12.085550645196617	
PA1988	PA1988	0.000347913254015501	5545.0	2.4505	0.9621645734876629	5383.0	0.23809999999999948	0.15558384663368308	25	14.21998522255991	pqqD
PA4738	PA4738	0.000478499477169271	5544.0	2.425	0.9621645734876629	5177.0	0.14137999999999973	0.4141443810234945	25	5.514067326849594	
PA1249	PA1249	0.000431883988011827	5543.0	2.404	0.966630361139268	5457.0	0.2485800000000001	0.22326113634038489	25	9.654255260592409	aprA
PA2321	PA2321	0.000347913254015501	5542.0	2.2475	0.9696708513431701	5174.5	0.1835200000000002	0.23781936772825427	25	8.67877170693019	
PA1217	PA1217	0.0010399010712234301	5541.0	1.942	0.9734994583799531	5047.5	0.11208000000000012	0.14830048887309819	25	12.33927152840255	
PA3334	PA3334	0.00514539511203675	5540.0	1.861	0.9621645734876629	3578.0	0.049519999999999946	0.28530635873273735	25	6.349245099359724	
PA0572	PA0572	0.0011036747834704199	5539.0	1.8205	0.970918182788261	4058.0	0.03493999999999978	0.19637359802172982	25	9.09266835250642	
PA2747	PA2747	0.0016025893473352699	5538.0	1.7765	0.9621645734876629	5534.0	0.35911999999999966	0.344932308576625	25	4.109154070979513	
PA1173	PA1173	0.0011036747834704199	5537.0	1.765	0.9621645734876629	5511.0	0.27815999999999996	0.1461850083512903	25	10.170947190610988	napB
PA3452	PA3452	0.000926790925320934	5536.0	1.764	0.9621645734876629	5411.0	0.1910599999999996	0.14132242391071567	25	11.130151581561808	mqoA
PA1987	PA1987	0.0010399010712234301	5535.0	1.7395	0.970836289039364	5112.5	0.17118000000000047	0.131401411078166	25	11.935336060181744	pqqC
PA3479	PA3479	0.0016025893473352699	5534.0	1.7	0.9621645734876629	5106.0	0.18276000000000006	0.31325053604636216	25	4.843535207152664	rhlA
PA0587	PA0587	0.0011254413074486599	5532.5	1.6909999999999998	0.9621645734876629	5512.0	0.24195999999999987	0.15676487967653976	25	9.243396881941104	
