pathway	Pathway ID	Adj P-value (Real)	Rank (Real)	padj (Real)	Median adj p-value (simulated)	Rank (simulated)	Mean padj (simulated)	Std deviation (simulated)	Number of experiments (simulated)	abs(Z score)
KEGG-Module-M00178: Ribosome, bacteria	KEGG-Module-M00178: Ribosome, bacteria	0.0011724386724386725	159.0	0.0011724386724386725	0.00139094650205761	162.5	0.0014290045906765437	0.00034231516717292605	25	0.7495020461896822
KEGG-Pathway-pae00020: Citrate cycle (TCA cycle) - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00020: Citrate cycle (TCA cycle) - Pseudomonas aeruginosa PAO1	0.0011724386724386725	159.0	0.0011724386724386725	0.00139094650205761	162.5	0.0014290045906765437	0.00034231516717292605	25	0.7495020461896822
KEGG-Pathway-pae03060: Protein export - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae03060: Protein export - Pseudomonas aeruginosa PAO1	0.0011724386724386725	159.0	0.0011724386724386725	0.00139094650205761	162.5	0.0015340763397322856	0.0006823246424368225	25	0.5300082172059288
KEGG-Pathway-pae01210: 2-Oxocarboxylic acid metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae01210: 2-Oxocarboxylic acid metabolism - Pseudomonas aeruginosa PAO1	0.0011724386724386725	159.0	0.0011724386724386725	0.00206399609184172	151.0	0.005609518977474957	0.010679326400308385	25	0.4154831623938524
KEGG-Pathway-pae00230: Purine metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00230: Purine metabolism - Pseudomonas aeruginosa PAO1	0.0011724386724386725	159.0	0.0011724386724386725	0.00139094650205761	162.5	0.0019321471167305546	0.0020590213648947263	25	0.36896578988665546
KEGG-Pathway-pae00330: Arginine and proline metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00330: Arginine and proline metabolism - Pseudomonas aeruginosa PAO1	0.0011724386724386725	159.0	0.0011724386724386725	0.00387303769909476	143.0	0.010274249489156492	0.0215115231814452	25	0.4231132653855308
KEGG-Pathway-pae03018: RNA degradation - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae03018: RNA degradation - Pseudomonas aeruginosa PAO1	0.0011724386724386725	159.0	0.0011724386724386725	0.00139094650205761	162.5	0.0014290045906765437	0.00034231516717292605	25	0.7495020461896822
KEGG-Pathway-pae03010: Ribosome - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae03010: Ribosome - Pseudomonas aeruginosa PAO1	0.0011724386724386725	159.0	0.0011724386724386725	0.00139094650205761	162.5	0.0014290045906765437	0.00034231516717292605	25	0.7495020461896822
KEGG-Pathway-pae00190: Oxidative phosphorylation - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00190: Oxidative phosphorylation - Pseudomonas aeruginosa PAO1	0.0011724386724386725	159.0	0.0011724386724386725	0.00139094650205761	162.5	0.0014290045906765437	0.00034231516717292605	25	0.7495020461896822
KEGG-Pathway-pae00620: Pyruvate metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00620: Pyruvate metabolism - Pseudomonas aeruginosa PAO1	0.0011724386724386725	159.0	0.0011724386724386725	0.00247401551749378	148.0	0.005257790093960796	0.008432344510979	25	0.4844858290838276
KEGG-Pathway-pae00970: Aminoacyl-tRNA biosynthesis - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00970: Aminoacyl-tRNA biosynthesis - Pseudomonas aeruginosa PAO1	0.0011724386724386725	159.0	0.0011724386724386725	0.00139094650205761	162.5	0.0014290045906765437	0.00034231516717292605	25	0.7495020461896822
