pathway	Pathway ID	Adj P-value (Real)	Rank (Real)	padj (Real)	Median adj p-value (simulated)	Rank (simulated)	Percentile (simulated)	Mean padj (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score
KEGG-Module-M00178: Ribosome, bacteria	KEGG-Module-M00178: Ribosome, bacteria	0.00398396982555398	166.5	0.00398396982555398	0.0014392778061659	163.0	100.0	0.0015723110975685293	0.00039406711240596546	25	6.1199187957125805
KEGG-Pathway-pae03010: Ribosome - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae03010: Ribosome - Pseudomonas aeruginosa PAO1	0.00398396982555398	166.5	0.00398396982555398	0.0014392778061659	163.0	100.0	0.0015723110975685293	0.00039406711240596546	25	6.1199187957125805
KEGG-Pathway-pae00030: Pentose phosphate pathway - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00030: Pentose phosphate pathway - Pseudomonas aeruginosa PAO1	0.00398396982555398	166.5	0.00398396982555398	0.0127666143346055	131.0	80.24691358024691	0.018137111846087947	0.014453548223647831	25	-0.9792157469940591
KEGG-Pathway-pae00020: Citrate cycle (TCA cycle) - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00020: Citrate cycle (TCA cycle) - Pseudomonas aeruginosa PAO1	0.00398396982555398	166.5	0.00398396982555398	0.0014392778061659	163.0	100.0	0.0015723110975685293	0.00039406711240596546	25	6.1199187957125805
KEGG-Module-M00009: Citrate cycle (TCA cycle, Krebs cycle)	KEGG-Module-M00009: Citrate cycle (TCA cycle, Krebs cycle)	0.00398396982555398	166.5	0.00398396982555398	0.0014392778061659	163.0	100.0	0.0015723110975685293	0.00039406711240596546	25	6.1199187957125805
KEGG-Pathway-pae00240: Pyrimidine metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00240: Pyrimidine metabolism - Pseudomonas aeruginosa PAO1	0.00398396982555398	166.5	0.00398396982555398	0.0014392778061659	163.0	100.0	0.0015723110975685293	0.00039406711240596546	25	6.1199187957125805
KEGG-Module-M00010: Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	KEGG-Module-M00010: Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	0.0040596699416272294	163.0	0.0040596699416272294	0.00276313100347435	147.0	90.12345679012346	0.0031130717085080186	0.002636284744233742	25	0.3590652471018822
KEGG-Module-M00157: F-type ATPase, prokaryotes and chloroplasts	KEGG-Module-M00157: F-type ATPase, prokaryotes and chloroplasts	0.00498054933396204	160.0	0.00498054933396204	0.0014392778061659	163.0	100.0	0.002250168935587835	0.0021295843245309914	25	1.2821189407353146
KEGG-Pathway-pae03018: RNA degradation - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae03018: RNA degradation - Pseudomonas aeruginosa PAO1	0.00498054933396204	160.0	0.00498054933396204	0.0014392778061659	163.0	100.0	0.0018655686093834375	0.0013769428201220553	25	2.2622440663893975
KEGG-Pathway-pae00230: Purine metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00230: Purine metabolism - Pseudomonas aeruginosa PAO1	0.00498054933396204	160.0	0.00498054933396204	0.0014392778061659	163.0	100.0	0.0018435201688027036	0.0010414709246646277	25	3.012114011890938
KEGG-Pathway-pae00010: Glycolysis / Gluconeogenesis - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00010: Glycolysis / Gluconeogenesis - Pseudomonas aeruginosa PAO1	0.00498054933396204	160.0	0.00498054933396204	0.00194581649453675	152.0	93.20987654320987	0.0022404997428581764	0.0011748546766674505	25	2.3322455496165597
KEGG-Pathway-pae02030: Bacterial chemotaxis - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae02030: Bacterial chemotaxis - Pseudomonas aeruginosa PAO1	0.00498054933396204	160.0	0.00498054933396204	0.0058666070106146604	142.0	87.03703703703704	0.03946831434733758	0.12646767265351613	25	-0.2727002425976619
KEGG-Pathway-pae00190: Oxidative phosphorylation - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00190: Oxidative phosphorylation - Pseudomonas aeruginosa PAO1	0.008063515692842079	157.0	0.008063515692842079	0.0014392778061659	163.0	100.0	0.0016282589840125267	0.0005971990592503757	25	10.775731490446924
KEGG-Module-M00008: Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	KEGG-Module-M00008: Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	0.00975328235463858	155.5	0.00975328235463858	0.0581552370475033	103.0	62.96296296296296	0.07155404414980818	0.05018550040362513	25	-1.2314465592278014
KEGG-Pathway-pae00540: Lipopolysaccharide biosynthesis - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00540: Lipopolysaccharide biosynthesis - Pseudomonas aeruginosa PAO1	0.00975328235463858	155.5	0.00975328235463858	0.0049044265593561395	144.0	88.27160493827161	0.014550610202736979	0.01878214012962828	25	-0.2554196601126809
KEGG-Pathway-pae00970: Aminoacyl-tRNA biosynthesis - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00970: Aminoacyl-tRNA biosynthesis - Pseudomonas aeruginosa PAO1	0.0131829843294966	154.0	0.0131829843294966	0.0014392778061659	163.0	100.0	0.0016052035574320165	0.0004691358577610017	25	24.678950842343863
KEGG-Module-M00506: CheA-CheYBV (chemotaxis) two-component regulatory system	KEGG-Module-M00506: CheA-CheYBV (chemotaxis) two-component regulatory system	0.0177177419354839	151.5	0.0177177419354839	0.00781655506277398	140.0	85.80246913580247	0.025554575208881006	0.06811300214901665	25	-0.11505634792387792
KEGG-Module-M00019: Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	KEGG-Module-M00019: Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	0.0177177419354839	151.5	0.0177177419354839	0.03197303698305701	116.0	70.98765432098766	0.04551058334509051	0.05140511837201347	25	-0.5406629201487821
KEGG-Module-M00360: Aminoacyl-tRNA biosynthesis, prokaryotes	KEGG-Module-M00360: Aminoacyl-tRNA biosynthesis, prokaryotes	0.0177177419354839	151.5	0.0177177419354839	0.0014392778061659	163.0	100.0	0.0022855727518946	0.002223827007873734	25	6.939464773541197
KEGG-Pathway-pae00640: Propanoate metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00640: Propanoate metabolism - Pseudomonas aeruginosa PAO1	0.0177177419354839	151.5	0.0177177419354839	0.014518446783918	130.0	79.62962962962963	0.03875995892862507	0.08797015599542196	25	-0.23919722268352261
KEGG-Pathway-pae01210: 2-Oxocarboxylic acid metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae01210: 2-Oxocarboxylic acid metabolism - Pseudomonas aeruginosa PAO1	0.019727319419153	148.5	0.019727319419153	0.00246741743641655	149.0	91.35802469135803	0.005554035011752965	0.00812407032972281	25	1.7446038539998239
KEGG-Module-M00024: Phenylalanine biosynthesis, chorismate => phenylalanine	KEGG-Module-M00024: Phenylalanine biosynthesis, chorismate => phenylalanine	0.019727319419153	148.5	0.019727319419153	0.0783321648360209	98.0	59.87654320987654	0.07791449520221212	0.02824055483268972	25	-2.0604119192341375
KEGG-Module-M00647: Multidrug resistance, efflux pump MexAB-OprM/SmeDEF/AcrAB-TolC	KEGG-Module-M00647: Multidrug resistance, efflux pump MexAB-OprM/SmeDEF/AcrAB-TolC	0.0203773317256543	147.0	0.0203773317256543	0.214315908130196	78.0	47.53086419753086	0.23188738310608187	0.09970813074260954	25	-2.121291912757124
KEGG-Module-M00011: Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	KEGG-Module-M00011: Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	0.0258277093114241	146.0	0.0258277093114241	0.00153342225367704	154.0	94.44444444444444	0.002270028680102742	0.002787334373044884	25	8.451688056925494
KEGG-Pathway-pae03060: Protein export - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae03060: Protein export - Pseudomonas aeruginosa PAO1	0.0287617370892019	145.0	0.0287617370892019	0.0014392778061659	163.0	100.0	0.0033033557101077426	0.008057172650198334	25	3.1597165016027646
KEGG-Pathway-pae00620: Pyruvate metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00620: Pyruvate metabolism - Pseudomonas aeruginosa PAO1	0.0293794282922062	144.0	0.0293794282922062	0.0016315733580482901	153.0	93.82716049382717	0.008425634001243498	0.03148829966400917	25	0.6654469918841852
