	Gene ID	Adj P-value (Real)	Rank (Real)	abs(logFC) (Real)	logFC (Real)	Median adj p-value (simulated)	Rank (simulated)	Mean abs(logFC) (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score	Gene Name
PA4726	PA4726	1.03210514995367e-05	5549.0	4.5309172961	-4.5309172961	0.554726815753945	4636.5	0.24803999999999973	0.24296145613382134	25	17.627805513896096	cbrB
PA1985	PA1985	0.0009256950258211481	5548.0	2.9733086354	2.9733086354	0.266349700958082	5549.0	0.7948599999999999	0.32328539764940406	25	6.738469016044084	pqqA
PA4131	PA4131	0.000347854211164523	5547.0	2.8816898638499997	-2.8816898638499997	0.535184211406048	5037.0	0.2657599999999998	0.1869797292934893	25	13.990446310594201	
PA4739	PA4739	0.000222976451073916	5546.0	2.7845411844	2.7845411844	0.509999366996707	5343.0	0.3412199999999999	0.2907412968029597	25	8.40376379711851	
PA1216	PA1216	0.000222976451073916	5545.0	2.60059401205	2.60059401205	0.407491151386434	5540.0	0.59586	0.24885213648537033	25	8.05592445523511	
PA1041	PA1041	0.000432338722001073	5544.0	2.5964791294	2.5964791294	0.359765789899418	5522.0	0.4454800000000001	0.16537378621373647	25	13.006892922073831	
PA4133	PA4133	0.00183726115211415	5543.0	2.59111779985	-2.59111779985	0.7600640125596569	5089.5	0.2237000000000001	0.19126367053538076	25	12.377770400532311	
PA3874	PA3874	0.000347854211164523	5542.0	2.5417589228999997	-2.5417589228999997	0.513789619753908	5383.0	0.30570000000000025	0.20973564710527037	25	10.661320351412073	narH
PA1988	PA1988	0.000347854211164523	5541.0	2.4499896907	2.4499896907	0.421716289475775	5510.0	0.4785400000000001	0.21260786086125727	25	9.272703665395138	pqqD
PA4738	PA4738	0.000478625409052826	5540.0	2.4246339388	2.4246339388	0.6458401134788722	5213.0	0.32360000000000044	0.26280014586500255	25	7.994797460574001	
PA1249	PA1249	0.000432338722001073	5539.0	2.40386664145	2.40386664145	0.34893666975285903	5545.0	0.6077799999999999	0.2448554879924076	25	7.335292568593327	aprA
PA2321	PA2321	0.000347854211164523	5538.0	2.24754751555	2.24754751555	0.42979859537313697	5261.0	0.29646000000000006	0.18539624906309893	25	10.52387804720879	
PA1123	PA1123	0.00257764216558392	5537.0	2.175899953	-2.175899953	0.587283813750561	5258.5	0.2849999999999997	0.20897682287756195	25	9.048371618262497	
PA4132	PA4132	0.0025177546952995303	5536.0	2.0867552607	-2.0867552607	0.7193513756077421	2510.5	0.1656599999999994	0.15867181276668768	25	12.107350557120025	
PA3915	PA3915	0.0009202912093884741	5535.0	2.0655932795500003	-2.0655932795500003	0.39141171163835703	5308.0	0.2887000000000002	0.10928527271930655	25	16.259219886963695	moaB1
PA3875	PA3875	0.0023526329946137	5534.0	2.04260576145	-2.04260576145	0.477380260563382	5189.0	0.2665199999999998	0.17397374562463877	25	10.208929830608099	narG
PA4587	PA4587	0.000646342619969043	5533.0	1.9887072274000002	-1.9887072274000002	0.615305163023579	5302.0	0.24080000000000026	0.1701613817331462	25	10.272055913022244	ccpR
PA3873	PA3873	0.0011988028400653	5532.0	1.9539064102500001	-1.9539064102500001	0.42576323041245095	5419.0	0.3428999999999999	0.18190067115507527	25	8.85651713113567	narJ
PA1217	PA1217	0.00103855725901672	5531.0	1.9417529511000002	1.9417529511000002	0.46774737879232897	5340.0	0.2853600000000001	0.10901992554880348	25	15.193488188161577	
PA5167	PA5167	0.000599674990047699	5530.0	1.9254638203499999	-1.9254638203499999	0.691146664095048	4288.0	0.16601999999999997	0.11571061965092079	25	15.20555179514155	dctP
PA3872	PA3872	0.00110680793975753	5529.0	1.8917367071000002	-1.8917367071000002	0.38849616917415003	5436.0	0.35498000000000013	0.16058665106415276	25	9.569641666455086	narI
PA3334	PA3334	0.00513690711208909	5528.0	1.8607900447499999	1.8607900447499999	0.477380260563382	5467.0	0.37583999999999973	0.2279230370834269	25	6.515138020938456	
PA0572	PA0572	0.00110680793975753	5527.0	1.82033437375	1.82033437375	0.7284984532058941	2227.5	0.13934	0.11633551693270644	25	14.449537149711217	
PA0997	PA0997	0.00159323424379569	5526.0	1.81312710055	-1.81312710055	0.7265017683019341	4644.0	0.1832400000000003	0.13320380062145362	25	12.236040510449913	pqsB
PA2747	PA2747	0.00159323424379569	5525.0	1.77665758435	1.77665758435	0.5343832051175779	5294.0	0.30594000000000027	0.16461092511333095	25	8.934507739006044	
PA1555	PA1555	0.00110680793975753	5524.0	1.7666526274	-1.7666526274	0.7397104386978329	4552.5	0.19239999999999988	0.14403580284082113	25	10.929592478751692	ccoP2
PA1173	PA1173	0.00110680793975753	5523.0	1.7650700153499999	1.7650700153499999	0.358906079379377	5532.0	0.49567999999999995	0.1693583405091106	25	7.495290822607661	napB
PA3452	PA3452	0.0009256950258211481	5522.0	1.7637430311000002	1.7637430311000002	0.5192911820230529	4893.0	0.25648000000000004	0.19587551744241397	25	7.695004719224928	mqoA
PA3038	PA3038	0.00110680793975753	5521.0	1.7496694505000001	-1.7496694505000001	0.579580812510079	5272.0	0.3183800000000001	0.1932697963124776	25	7.405655088423122	opdQ
PA1987	PA1987	0.00103855725901672	5520.0	1.7395245877	1.7395245877	0.35829084915265397	5426.0	0.37311999999999984	0.18397289655453802	25	7.427205927015097	pqqC
