pathway	Pathway ID	Adj P-value (Real)	Rank (Real)	padj (Real)	Median adj p-value (simulated)	Rank (simulated)	Percentile (simulated)	Mean padj (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score
KEGG-Module-M00178: Ribosome, bacteria	KEGG-Module-M00178: Ribosome, bacteria	0.0012795275590551198	159.5	0.0012795275590551198	0.00136290322580645	162.0	100.0	0.001416079628370564	0.00029594794303412666	25	-0.4614057050556957
KEGG-Module-M00011: Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	KEGG-Module-M00011: Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	0.0012795275590551198	159.5	0.0012795275590551198	0.00136290322580645	162.0	100.0	0.0014501960333877112	0.0003745225266855465	25	-0.45569615222607585
KEGG-Pathway-pae00970: Aminoacyl-tRNA biosynthesis - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00970: Aminoacyl-tRNA biosynthesis - Pseudomonas aeruginosa PAO1	0.0012795275590551198	159.5	0.0012795275590551198	0.00136290322580645	162.0	100.0	0.0014410253121273713	0.00038417787854750474	25	-0.4203723381545037
KEGG-Pathway-pae00240: Pyrimidine metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00240: Pyrimidine metabolism - Pseudomonas aeruginosa PAO1	0.0012795275590551198	159.5	0.0012795275590551198	0.00136290322580645	162.0	100.0	0.001416079628370564	0.00029594794303412666	25	-0.4614057050556957
KEGG-Module-M00156: Cytochrome c oxidase, cbb3-type	KEGG-Module-M00156: Cytochrome c oxidase, cbb3-type	0.0012795275590551198	159.5	0.0012795275590551198	0.00460842059336824	141.0	86.95652173913044	0.06743690754291073	0.17533452441428207	25	-0.3773208967535585
KEGG-Pathway-pae03010: Ribosome - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae03010: Ribosome - Pseudomonas aeruginosa PAO1	0.0012795275590551198	159.5	0.0012795275590551198	0.00136290322580645	162.0	100.0	0.001416079628370564	0.00029594794303412666	25	-0.4614057050556957
KEGG-Pathway-pae03018: RNA degradation - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae03018: RNA degradation - Pseudomonas aeruginosa PAO1	0.0012795275590551198	159.5	0.0012795275590551198	0.00136290322580645	162.0	100.0	0.0014501960333877112	0.0003745225266855465	25	-0.45569615222607585
KEGG-Pathway-pae00330: Arginine and proline metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00330: Arginine and proline metabolism - Pseudomonas aeruginosa PAO1	0.0012795275590551198	159.5	0.0012795275590551198	0.00399640559969731	143.0	88.19875776397515	0.011630045653404761	0.017253949705749394	25	-0.5998926779588689
KEGG-Pathway-pae00230: Purine metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00230: Purine metabolism - Pseudomonas aeruginosa PAO1	0.0012795275590551198	159.5	0.0012795275590551198	0.00136290322580645	162.0	100.0	0.0014609673835678358	0.00040812102018596895	25	-0.4445735836640785
KEGG-Module-M00157: F-type ATPase, prokaryotes and chloroplasts	KEGG-Module-M00157: F-type ATPase, prokaryotes and chloroplasts	0.0012795275590551198	159.5	0.0012795275590551198	0.00136290322580645	162.0	100.0	0.0014608837688649583	0.0003740335356127263	25	-0.4848661752020397
