pathway	Pathway ID	Adj P-value (Real)	Rank (Real)	padj (Real)	Median adj p-value (simulated)	Rank (simulated)	Percentile (simulated)	Mean padj (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score
KEGG-Module-M00178: Ribosome, bacteria	KEGG-Module-M00178: Ribosome, bacteria	0.00136884223485769	160.0	0.00136884223485769	0.00126834027543247	161.5	99.99999999999999	0.0013124822244649414	0.00028068147222107904	25	0.20079704565735135
KEGG-Pathway-pae03060: Protein export - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae03060: Protein export - Pseudomonas aeruginosa PAO1	0.00136884223485769	160.0	0.00136884223485769	0.00126834027543247	161.5	99.99999999999999	0.0014185929673418151	0.0006407446686079875	25	-0.07764517587357872
KEGG-Pathway-pae00230: Purine metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00230: Purine metabolism - Pseudomonas aeruginosa PAO1	0.00136884223485769	160.0	0.00136884223485769	0.00126834027543247	161.5	99.99999999999999	0.001505340643460126	0.0008327847261706301	25	-0.1639059943259199
KEGG-Pathway-pae00030: Pentose phosphate pathway - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00030: Pentose phosphate pathway - Pseudomonas aeruginosa PAO1	0.00136884223485769	160.0	0.00136884223485769	0.0047936657157676395	139.0	85.98130841121494	0.009308441227064592	0.010241736230124553	25	-0.7752200226416441
KEGG-Pathway-pae00330: Arginine and proline metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00330: Arginine and proline metabolism - Pseudomonas aeruginosa PAO1	0.00136884223485769	160.0	0.00136884223485769	0.00317227916056613	144.0	89.09657320872273	0.0074920459558864535	0.013695571473856187	25	-0.447093699793214
KEGG-Pathway-pae03018: RNA degradation - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae03018: RNA degradation - Pseudomonas aeruginosa PAO1	0.00136884223485769	160.0	0.00136884223485769	0.00126834027543247	161.5	99.99999999999999	0.0013124822244649414	0.00028068147222107904	25	0.20079704565735135
KEGG-Pathway-pae03010: Ribosome - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae03010: Ribosome - Pseudomonas aeruginosa PAO1	0.00136884223485769	160.0	0.00136884223485769	0.00126834027543247	161.5	99.99999999999999	0.0013124822244649414	0.00028068147222107904	25	0.20079704565735135
KEGG-Pathway-pae00620: Pyruvate metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00620: Pyruvate metabolism - Pseudomonas aeruginosa PAO1	0.00136884223485769	160.0	0.00136884223485769	0.00160134930260764	151.0	93.45794392523364	0.0040240816622713095	0.006185386317708704	25	-0.4292762474369133
KEGG-Pathway-pae00240: Pyrimidine metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00240: Pyrimidine metabolism - Pseudomonas aeruginosa PAO1	0.00136884223485769	160.0	0.00136884223485769	0.00126834027543247	161.5	99.99999999999999	0.0013124822244649414	0.00028068147222107904	25	0.20079704565735135
KEGG-Pathway-pae00970: Aminoacyl-tRNA biosynthesis - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00970: Aminoacyl-tRNA biosynthesis - Pseudomonas aeruginosa PAO1	0.00136884223485769	160.0	0.00136884223485769	0.00126834027543247	161.5	99.99999999999999	0.0013124822244649414	0.00028068147222107904	25	0.20079704565735135
