pathway	Pathway ID	Adj P-value (Real)	Rank (Real)	padj (Real)	Median adj p-value (simulated)	Rank (simulated)	Percentile (simulated)	Mean padj (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score
KEGG-Module-M00178: Ribosome, bacteria	KEGG-Module-M00178: Ribosome, bacteria	0.0010767074413863401	157.5	0.0010767074413863401	0.00124943627505342	162.0	100.0	0.0012697514622754741	0.0002622646654195905	25	-0.7360656860896144
KEGG-Pathway-pae00270: Cysteine and methionine metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00270: Cysteine and methionine metabolism - Pseudomonas aeruginosa PAO1	0.0010767074413863401	157.5	0.0010767074413863401	0.0035098650051921102	139.0	85.71428571428571	0.01597523943067991	0.026605830311890972	25	-0.5599724501976905
KEGG-Module-M00002: Glycolysis, core module involving three-carbon compounds	KEGG-Module-M00002: Glycolysis, core module involving three-carbon compounds	0.0010767074413863401	157.5	0.0010767074413863401	0.00127836611195159	154.0	95.03105590062111	0.004536964265628532	0.00715096379697087	25	-0.48388677701150545
KEGG-Pathway-pae00190: Oxidative phosphorylation - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00190: Oxidative phosphorylation - Pseudomonas aeruginosa PAO1	0.0010767074413863401	157.5	0.0010767074413863401	0.00124943627505342	162.0	100.0	0.0012697514622754741	0.0002622646654195905	25	-0.7360656860896144
KEGG-Module-M00009: Citrate cycle (TCA cycle, Krebs cycle)	KEGG-Module-M00009: Citrate cycle (TCA cycle, Krebs cycle)	0.0010767074413863401	157.5	0.0010767074413863401	0.00124943627505342	162.0	100.0	0.0012697514622754741	0.0002622646654195905	25	-0.7360656860896144
KEGG-Module-M00157: F-type ATPase, prokaryotes and chloroplasts	KEGG-Module-M00157: F-type ATPase, prokaryotes and chloroplasts	0.0010767074413863401	157.5	0.0010767074413863401	0.00124943627505342	162.0	100.0	0.0012713736818791507	0.00026459910918379045	25	-0.7357025543029908
KEGG-Pathway-pae00010: Glycolysis / Gluconeogenesis - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00010: Glycolysis / Gluconeogenesis - Pseudomonas aeruginosa PAO1	0.0010767074413863401	157.5	0.0010767074413863401	0.0014958399716764	151.0	93.16770186335403	0.001746165209456204	0.0008606873757376256	25	-0.7778175757441843
KEGG-Pathway-pae00020: Citrate cycle (TCA cycle) - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00020: Citrate cycle (TCA cycle) - Pseudomonas aeruginosa PAO1	0.0010767074413863401	157.5	0.0010767074413863401	0.00124943627505342	162.0	100.0	0.0012697514622754741	0.0002622646654195905	25	-0.7360656860896144
KEGG-Module-M00335: Sec (secretion) system	KEGG-Module-M00335: Sec (secretion) system	0.0010767074413863401	157.5	0.0010767074413863401	0.00124943627505342	162.0	100.0	0.0014198446769156325	0.0007489086753755031	25	-0.45818301591611715
KEGG-Pathway-pae03060: Protein export - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae03060: Protein export - Pseudomonas aeruginosa PAO1	0.0010767074413863401	157.5	0.0010767074413863401	0.00124943627505342	162.0	100.0	0.0013526902954431308	0.000588023088621221	25	-0.46934016605352535
KEGG-Pathway-pae00400: Phenylalanine, tyrosine and tryptophan biosynthesis - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00400: Phenylalanine, tyrosine and tryptophan biosynthesis - Pseudomonas aeruginosa PAO1	0.0010767074413863401	157.5	0.0010767074413863401	0.0014958399716764	151.0	93.16770186335403	0.004791601659274204	0.006401731950855984	25	-0.5802951836168555
KEGG-Pathway-pae00230: Purine metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00230: Purine metabolism - Pseudomonas aeruginosa PAO1	0.0010767074413863401	157.5	0.0010767074413863401	0.00124943627505342	162.0	100.0	0.0013821094012506272	0.0005939066930644791	25	-0.5142254893415223
KEGG-Pathway-pae00030: Pentose phosphate pathway - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00030: Pentose phosphate pathway - Pseudomonas aeruginosa PAO1	0.0010767074413863401	157.5	0.0010767074413863401	0.00426295808932032	137.0	84.472049689441	0.009980490572055484	0.011981464933661194	25	-0.7431297575018986
KEGG-Pathway-pae03018: RNA degradation - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae03018: RNA degradation - Pseudomonas aeruginosa PAO1	0.0010767074413863401	157.5	0.0010767074413863401	0.00124943627505342	162.0	100.0	0.0012697514622754741	0.0002622646654195905	25	-0.7360656860896144
KEGG-Pathway-pae03010: Ribosome - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae03010: Ribosome - Pseudomonas aeruginosa PAO1	0.0010767074413863401	157.5	0.0010767074413863401	0.00124943627505342	162.0	100.0	0.0012697514622754741	0.0002622646654195905	25	-0.7360656860896144
KEGG-Module-M00048: Inosine monophosphate biosynthesis, PRPP + glutamine => IMP	KEGG-Module-M00048: Inosine monophosphate biosynthesis, PRPP + glutamine => IMP	0.0010767074413863401	157.5	0.0010767074413863401	0.0053835372069317	135.0	83.22981366459626	0.023320884956931236	0.030624849780358777	25	-0.7263440531163415
