pathway	Pathway ID	Adj P-value (Real)	Rank (Real)	padj (Real)	Median adj p-value (simulated)	Rank (simulated)	Mean padj (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score
KEGG-Module-M00178: Ribosome, bacteria	KEGG-Module-M00178: Ribosome, bacteria	0.0009725219392893109	157.0	0.0009725219392893109	0.00129007633587786	162.5	0.001283494787822031	0.00016709507331584875	25	-1.861053365379054
KEGG-Pathway-pae00020: Citrate cycle (TCA cycle) - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00020: Citrate cycle (TCA cycle) - Pseudomonas aeruginosa PAO1	0.0009725219392893109	157.0	0.0009725219392893109	0.00129007633587786	162.5	0.001283494787822031	0.00016709507331584875	25	-1.861053365379054
KEGG-Pathway-pae03060: Protein export - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae03060: Protein export - Pseudomonas aeruginosa PAO1	0.0009725219392893109	157.0	0.0009725219392893109	0.00129007633587786	162.5	0.001283494787822031	0.00016709507331584875	25	-1.861053365379054
KEGG-Pathway-pae01210: 2-Oxocarboxylic acid metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae01210: 2-Oxocarboxylic acid metabolism - Pseudomonas aeruginosa PAO1	0.0009725219392893109	157.0	0.0009725219392893109	0.00193204682641302	149.0	0.002773075039741271	0.0021372293363591433	25	-0.8424707025214595
KEGG-Pathway-pae00230: Purine metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00230: Purine metabolism - Pseudomonas aeruginosa PAO1	0.0009725219392893109	157.0	0.0009725219392893109	0.00129880110667077	154.5	0.0013396583982133196	0.00026585310411691916	25	-1.3809748813861744
KEGG-Pathway-pae00030: Pentose phosphate pathway - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00030: Pentose phosphate pathway - Pseudomonas aeruginosa PAO1	0.0009725219392893109	157.0	0.0009725219392893109	0.00827167644203708	133.0	0.014966891867253586	0.018896824596805015	25	-0.7405672765957925
KEGG-Pathway-pae00330: Arginine and proline metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00330: Arginine and proline metabolism - Pseudomonas aeruginosa PAO1	0.0009725219392893109	157.0	0.0009725219392893109	0.0048090090666894295	142.0	0.013131107777129288	0.01769717633000679	25	-0.687035355873369
KEGG-Pathway-pae03018: RNA degradation - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae03018: RNA degradation - Pseudomonas aeruginosa PAO1	0.0009725219392893109	157.0	0.0009725219392893109	0.00129007633587786	162.5	0.001283494787822031	0.00016709507331584875	25	-1.861053365379054
KEGG-Pathway-pae03010: Ribosome - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae03010: Ribosome - Pseudomonas aeruginosa PAO1	0.0009725219392893109	157.0	0.0009725219392893109	0.00129007633587786	162.5	0.001283494787822031	0.00016709507331584875	25	-1.861053365379054
KEGG-Pathway-pae00620: Pyruvate metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00620: Pyruvate metabolism - Pseudomonas aeruginosa PAO1	0.0009725219392893109	157.0	0.0009725219392893109	0.00147484902433065	151.0	0.002212294945887818	0.0015271853122728162	25	-0.8118025996160405
KEGG-Pathway-pae00190: Oxidative phosphorylation - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00190: Oxidative phosphorylation - Pseudomonas aeruginosa PAO1	0.0009725219392893109	157.0	0.0009725219392893109	0.00129007633587786	162.5	0.001283494787822031	0.00016709507331584875	25	-1.861053365379054
KEGG-Pathway-pae00240: Pyrimidine metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00240: Pyrimidine metabolism - Pseudomonas aeruginosa PAO1	0.0009725219392893109	157.0	0.0009725219392893109	0.00129007633587786	162.5	0.001283494787822031	0.00016709507331584875	25	-1.861053365379054
KEGG-Module-M00360: Aminoacyl-tRNA biosynthesis, prokaryotes	KEGG-Module-M00360: Aminoacyl-tRNA biosynthesis, prokaryotes	0.0009725219392893109	157.0	0.0009725219392893109	0.00129007633587786	162.5	0.001283494787822031	0.00016709507331584875	25	-1.861053365379054
KEGG-Pathway-pae00400: Phenylalanine, tyrosine and tryptophan biosynthesis - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00400: Phenylalanine, tyrosine and tryptophan biosynthesis - Pseudomonas aeruginosa PAO1	0.0009725219392893109	157.0	0.0009725219392893109	0.0018957239646430698	150.0	0.003958847752667092	0.006460398157237295	25	-0.4622510471792415
KEGG-Pathway-pae00250: Alanine, aspartate and glutamate metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00250: Alanine, aspartate and glutamate metabolism - Pseudomonas aeruginosa PAO1	0.0009725219392893109	157.0	0.0009725219392893109	0.00199546592358192	148.0	0.003091643737903332	0.0027247852722948516	25	-0.777720659371176
KEGG-Pathway-pae00680: Methane metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00680: Methane metabolism - Pseudomonas aeruginosa PAO1	0.0009725219392893109	157.0	0.0009725219392893109	0.00129007633587786	162.5	0.0015453494782659966	0.0007750179088834073	25	-0.7391152287073939
KEGG-Pathway-pae00540: Lipopolysaccharide biosynthesis - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00540: Lipopolysaccharide biosynthesis - Pseudomonas aeruginosa PAO1	0.0009725219392893109	157.0	0.0009725219392893109	0.00628798214064244	138.0	0.007581234598906049	0.007353606313936736	25	-0.8987036261503071
KEGG-Pathway-pae00010: Glycolysis / Gluconeogenesis - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00010: Glycolysis / Gluconeogenesis - Pseudomonas aeruginosa PAO1	0.0009725219392893109	157.0	0.0009725219392893109	0.00137519122481529	152.0	0.0015209771128703992	0.00045216330472069334	25	-1.212958167668815
KEGG-Module-M00335: Sec (secretion) system	KEGG-Module-M00335: Sec (secretion) system	0.0009725219392893109	157.0	0.0009725219392893109	0.00129880110667077	154.5	0.0015695348756376204	0.001226937853901353	25	-0.48658775540257304
KEGG-Module-M00144: NADH:quinone oxidoreductase, prokaryotes	KEGG-Module-M00144: NADH:quinone oxidoreductase, prokaryotes	0.0009725219392893109	157.0	0.0009725219392893109	0.00129007633587786	162.5	0.0054394114698376565	0.017143694053417306	25	-0.2605558356693811
KEGG-Module-M00009: Citrate cycle (TCA cycle, Krebs cycle)	KEGG-Module-M00009: Citrate cycle (TCA cycle, Krebs cycle)	0.0009725219392893109	157.0	0.0009725219392893109	0.00129007633587786	162.5	0.001283494787822031	0.00016709507331584875	25	-1.861053365379054
KEGG-Pathway-pae00970: Aminoacyl-tRNA biosynthesis - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00970: Aminoacyl-tRNA biosynthesis - Pseudomonas aeruginosa PAO1	0.0009725219392893109	157.0	0.0009725219392893109	0.00129007633587786	162.5	0.001283494787822031	0.00016709507331584875	25	-1.861053365379054
KEGG-Pathway-pae00270: Cysteine and methionine metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00270: Cysteine and methionine metabolism - Pseudomonas aeruginosa PAO1	0.0009725219392893109	157.0	0.0009725219392893109	0.00514242462278109	139.0	0.012854477134522375	0.01896549973790223	25	-0.6265036703191733
KEGG-Module-M00011: Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	KEGG-Module-M00011: Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	0.0009725219392893109	157.0	0.0009725219392893109	0.00129007633587786	162.5	0.0013139330310959565	0.0002326587468478468	25	-1.467432866514665
KEGG-Pathway-pae02040: Flagellar assembly - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae02040: Flagellar assembly - Pseudomonas aeruginosa PAO1	0.0009725219392893109	157.0	0.0009725219392893109	0.0013315474314528801	153.0	0.00163113598380972	0.000819166880606729	25	-0.8040047273793542
KEGG-Module-M00157: F-type ATPase, prokaryotes and chloroplasts	KEGG-Module-M00157: F-type ATPase, prokaryotes and chloroplasts	0.000983061101028433	144.0	0.000983061101028433	0.00129007633587786	162.5	0.0012874527214643964	0.000166323013658901	25	-1.8301232868484252
KEGG-Module-M00002: Glycolysis, core module involving three-carbon compounds	KEGG-Module-M00002: Glycolysis, core module involving three-carbon compounds	0.00189330286123995	143.0	0.00189330286123995	0.00309917355371901	144.0	0.004585314303241495	0.004248466379324902	25	-0.6336431082760073
KEGG-Pathway-pae02030: Bacterial chemotaxis - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae02030: Bacterial chemotaxis - Pseudomonas aeruginosa PAO1	0.0026192413499167	141.0	0.0026192413499167	0.0020670254403131103	147.0	0.0026078203904893655	0.0018457175058843116	25	0.006187815519397336
KEGG-Module-M00156: Cytochrome c oxidase, cbb3-type	KEGG-Module-M00156: Cytochrome c oxidase, cbb3-type	0.0026192413499167	141.0	0.0026192413499167	0.00308636338732947	145.0	0.007567277555178355	0.01142994362234345	25	-0.4329011908325733
KEGG-Pathway-pae00630: Glyoxylate and dicarboxylate metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00630: Glyoxylate and dicarboxylate metabolism - Pseudomonas aeruginosa PAO1	0.0026192413499167	141.0	0.0026192413499167	0.0259777581736039	121.0	0.03836597088374069	0.040254324138615086	25	-0.8880221019419113
KEGG-Module-M00506: CheA-CheYBV (chemotaxis) two-component regulatory system	KEGG-Module-M00506: CheA-CheYBV (chemotaxis) two-component regulatory system	0.00337195788045511	139.0	0.00337195788045511	0.00374947307700841	143.0	0.006007952156219429	0.006984145983576902	25	-0.3774254263818102
KEGG-Module-M00010: Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	KEGG-Module-M00010: Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	0.00414150721455458	138.0	0.00414150721455458	0.00247760625119116	146.0	0.0029674124957757347	0.0016468558994550137	25	0.7129310580041537
KEGG-Module-M00048: Inosine monophosphate biosynthesis, PRPP + glutamine => IMP	KEGG-Module-M00048: Inosine monophosphate biosynthesis, PRPP + glutamine => IMP	0.00502501890222664	137.0	0.00502501890222664	0.0429743659960683	112.0	0.09868949469453701	0.11597889868364489	25	-0.8075992862098005
KEGG-Pathway-pae03030: DNA replication - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae03030: DNA replication - Pseudomonas aeruginosa PAO1	0.0068108909773830105	136.0	0.0068108909773830105	0.00793799906059183	135.0	0.011001537073475008	0.009746289163259543	25	-0.429973503340063
KEGG-Module-M00125: Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD	KEGG-Module-M00125: Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD	0.00681573758738125	135.0	0.00681573758738125	0.0202198868229588	125.0	0.026836670901645703	0.018756309695265018	25	-1.0674239037180477
KEGG-Module-M00436: Sulfonate transport system	KEGG-Module-M00436: Sulfonate transport system	0.00793248469828396	134.0	0.00793248469828396	0.004891556035813521	141.0	0.010936922849084485	0.015072666125562439	25	-0.1993302396385705
KEGG-Pathway-pae00260: Glycine, serine and threonine metabolism - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae00260: Glycine, serine and threonine metabolism - Pseudomonas aeruginosa PAO1	0.008400124262193229	133.0	0.008400124262193229	0.0336117740652347	119.0	0.04690629159254252	0.05031623807702084	25	-0.7652831134037991
KEGG-Module-M00188: NitT/TauT family transport system	KEGG-Module-M00188: NitT/TauT family transport system	0.00906555090655509	131.5	0.00906555090655509	0.00630185513191013	137.0	0.013929613353681649	0.01845689350312174	25	-0.2635363554708633
KEGG-Pathway-pae03440: Homologous recombination - Pseudomonas aeruginosa PAO1	KEGG-Pathway-pae03440: Homologous recombination - Pseudomonas aeruginosa PAO1	0.00906555090655509	131.5	0.00906555090655509	0.0191986717350461	126.0	0.02376574282584565	0.018493491820768905	25	-0.7948846038248807
KEGG-Module-M00331: Type II general secretion pathway	KEGG-Module-M00331: Type II general secretion pathway	0.00938367573570239	130.0	0.00938367573570239	0.0481430046647438	111.0	0.09362369604588232	0.18139590787171597	25	-0.46439868075609986
KEGG-Module-M00034: Methionine salvage pathway	KEGG-Module-M00034: Methionine salvage pathway	0.00994933561432732	129.0	0.00994933561432732	0.0761307282332499	100.0	0.13863650648976114	0.11530568940966236	25	-1.1160522220046682
