	pathway	LV index	AUC	p-value	FDR
1	KEGG.Pathway.pae00190..Oxidative.phosphorylation...Pseudomonas.aeruginosa.PAO1	1	0.731123595505618	0.00140361333573497	0.006166704631777113
2	KEGG.Pathway.pae03060..Protein.export...Pseudomonas.aeruginosa.PAO1	1	0.707084893882647	0.0710363793057884	0.11310646802086698
3	KEGG.Pathway.pae00230..Purine.metabolism...Pseudomonas.aeruginosa.PAO1	1	0.781123595505618	4.32558379911234e-06	5.456890331187875e-05
4	KEGG.Pathway.pae03010..Ribosome...Pseudomonas.aeruginosa.PAO1	1	0.944015293383271	1.64039806479659e-10	1.3451264131332037e-08
5	KEGG.Module.M00178..Ribosome..bacteria	1	0.99993190330269	6.20495979406905e-12	1.0176134062273242e-09
6	KEGG.Pathway.pae00190..Oxidative.phosphorylation...Pseudomonas.aeruginosa.PAO1	2	0.74259293508415	0.00101501164429503	0.005369739021431771
7	KEGG.Pathway.pae02030..Bacterial.chemotaxis...Pseudomonas.aeruginosa.PAO1	2	0.7521114604525	0.00116981028106974	0.005813602608952647
8	KEGG.Module.M00334..Type.VI.secretion.system	2	0.488186609950065	0.553573049444828	0.6175917014214407
9	KEGG.Pathway.pae02040..Flagellar.assembly...Pseudomonas.aeruginosa.PAO1	4	0.838307684335976	0.000344967707145762	0.0021759501527655756
10	KEGG.Pathway.pae00190..Oxidative.phosphorylation...Pseudomonas.aeruginosa.PAO1	5	0.690136244867488	0.00766254042182231	0.021299264901336594
11	KEGG.Pathway.pae00230..Purine.metabolism...Pseudomonas.aeruginosa.PAO1	5	0.625606569615528	0.0249552962011956	0.05250742957068825
12	KEGG.Pathway.pae03010..Ribosome...Pseudomonas.aeruginosa.PAO1	5	0.616453589647879	0.0519115366673178	0.08868220847333456
13	KEGG.Pathway.pae00072..Synthesis.and.degradation.of.ketone.bodies...Pseudomonas.aeruginosa.PAO1	6	0.993845862526037	0.00306803926050335	0.010705498696224456
14	KEGG.Pathway.pae00260..Glycine..serine.and.threonine.metabolism...Pseudomonas.aeruginosa.PAO1	6	0.615687264617392	0.0867764036147174	0.134257832007676
15	KEGG.Pathway.pae00280..Valine..leucine.and.isoleucine.degradation...Pseudomonas.aeruginosa.PAO1	6	0.916156451850449	4.9620698538479e-07	8.137794560310555e-06
16	KEGG.Pathway.pae00350..Tyrosine.metabolism...Pseudomonas.aeruginosa.PAO1	6	0.44184813482295	0.69512879373598	0.7354911107916176
17	KEGG.Pathway.pae00330..Arginine.and.proline.metabolism...Pseudomonas.aeruginosa.PAO1	6	0.652872832526307	0.012502565762691	0.03154493515509729
18	KEGG.Pathway.pae00630..Glyoxylate.and.dicarboxylate.metabolism...Pseudomonas.aeruginosa.PAO1	6	0.749079509352185	0.00169815858016944	0.00679263432067776
19	KEGG.Pathway.pae00640..Propanoate.metabolism...Pseudomonas.aeruginosa.PAO1	6	0.925771634160197	5.01420033631466e-06	5.873777536825744e-05
20	KEGG.Pathway.pae00643..Styrene.degradation...Pseudomonas.aeruginosa.PAO1	6	0.695985608786215	0.138431571093872	0.202703371958884
21	KEGG.Pathway.pae00650..Butanoate.metabolism...Pseudomonas.aeruginosa.PAO1	6	0.950932588524901	2.87139490948756e-07	5.660057279222856e-06
22	KEGG.Module.M00036..Leucine.degradation..leucine....acetoacetate...acetyl.CoA	6	1.0	0.000339829102624364	0.0021759501527655756
23	KEGG.Module.M00237..Branched.chain.amino.acid.transport.system	6	0.647651959856088	0.206317204307423	0.27287114118078526
24	KEGG.Pathway.pae00190..Oxidative.phosphorylation...Pseudomonas.aeruginosa.PAO1	7	0.670154686078253	0.0142755526623187	0.0344292740679451
25	KEGG.Pathway.pae00910..Nitrogen.metabolism...Pseudomonas.aeruginosa.PAO1	9	0.464468262661034	0.647049359182772	0.7027555954038053
26	KEGG.Pathway.pae00790..Folate.biosynthesis...Pseudomonas.aeruginosa.PAO1	9	0.317360350492881	0.928749802923481	0.9402158498731537
27	KEGG.Module.M00529..Denitrification..nitrate....nitrogen	9	1.0	0.00227208970615762	0.008665644460694179
28	KEGG.Module.M00254..ABC.2.type.transport.system	9	0.588307776560789	0.308171322832636	0.3839330667949127
29	KEGG.Pathway.pae00330..Arginine.and.proline.metabolism...Pseudomonas.aeruginosa.PAO1	10	0.709774712161347	0.00157335634704068	0.006450761022866788
30	KEGG.Pathway.pae00520..Amino.sugar.and.nucleotide.sugar.metabolism...Pseudomonas.aeruginosa.PAO1	10	0.541138853191359	0.352173529572021	0.42467984448390766
31	KEGG.Module.M00240..Iron.complex.transport.system	11	0.98005055064091	0.00355426587793576	0.011895910285336014
32	KEGG.Pathway.pae02040..Flagellar.assembly...Pseudomonas.aeruginosa.PAO1	14	0.725814809057464	0.00698904842602643	0.019762136928764388
33	KEGG.Pathway.pae00270..Cysteine.and.methionine.metabolism...Pseudomonas.aeruginosa.PAO1	15	0.826229095938639	0.00116788305012623	0.005813602608952647
34	KEGG.Pathway.pae01210..2.Oxocarboxylic.acid.metabolism...Pseudomonas.aeruginosa.PAO1	15	0.738526342260782	0.01301576513798	0.03234220428225333
35	KEGG.Pathway.pae00230..Purine.metabolism...Pseudomonas.aeruginosa.PAO1	15	0.60931723877782	0.0535536044372606	0.09054423843000761
36	KEGG.Pathway.pae00330..Arginine.and.proline.metabolism...Pseudomonas.aeruginosa.PAO1	15	0.692717034003341	0.00303273574103558	0.010705498696224456
37	KEGG.Pathway.pae00620..Pyruvate.metabolism...Pseudomonas.aeruginosa.PAO1	15	0.659956791605226	0.0216866655321121	0.04698346378733623
38	KEGG.Pathway.pae00440..Phosphonate.and.phosphinate.metabolism...Pseudomonas.aeruginosa.PAO1	16	0.928505957836847	0.00908316869437238	0.023275619779329224
39	KEGG.Pathway.pae00564..Glycerophospholipid.metabolism...Pseudomonas.aeruginosa.PAO1	16	0.694482126489459	0.0450601648887216	0.0803246417581559
40	KEGG.Pathway.pae00790..Folate.biosynthesis...Pseudomonas.aeruginosa.PAO1	16	0.492346471127406	0.523861508603267	0.5966200514648318
41	KEGG.Module.M00331..Type.II.general.secretion.pathway	16	0.720287198289031	0.0177521183317218	0.04100489304792078
42	KEGG.Pathway.pae00500..Starch.and.sucrose.metabolism...Pseudomonas.aeruginosa.PAO1	17	0.772765624058338	0.0268685704500514	0.05577779182035987
43	KEGG.Pathway.pae00920..Sulfur.metabolism...Pseudomonas.aeruginosa.PAO1	18	0.855484343526827	6.96406951739626e-06	7.138171255331167e-05
44	KEGG.Module.M00616..Sulfate.sulfur.assimilation	18	0.98864676799121	0.00375173203144757	0.011925771719727486
45	KEGG.Module.M00188..NitT.TauT.family.transport.system	18	0.847372276139901	0.0286787753155603	0.058791489396898614
46	KEGG.Module.M00236..Putative.polar.amino.acid.transport.system	18	0.918101080388207	0.000609691607278842	0.003447911158404486
47	KEGG.Module.M00436..Sulfonate.transport.system	18	0.994872733931514	0.00338755123607167	0.01157413338991154
48	KEGG.Pathway.pae03070..Bacterial.secretion.system...Pseudomonas.aeruginosa.PAO1	19	0.638099747474748	0.0136474557565593	0.033405712598145156
49	KEGG.Module.M00332..Type.III.secretion.system	19	0.997617302052786	0.00057353501414119	0.003359276511398398
50	KEGG.Pathway.pae00312..beta.Lactam.resistance...Pseudomonas.aeruginosa.PAO1	21	0.602245563201738	0.189270129706361	0.26084286783061517
51	KEGG.Module.M00188..NitT.TauT.family.transport.system	22	0.629346440924813	0.24197750147364	0.31003367376310126
52	KEGG.Module.M00334..Type.VI.secretion.system	22	0.666939741489168	0.0354710916100819	0.06764254679131897
53	KEGG.Pathway.pae00260..Glycine..serine.and.threonine.metabolism...Pseudomonas.aeruginosa.PAO1	23	0.743410341034103	0.00140743774873068	0.006166704631777113
54	KEGG.Pathway.pae00270..Cysteine.and.methionine.metabolism...Pseudomonas.aeruginosa.PAO1	23	0.934719471947195	6.58074856628926e-06	7.138171255331167e-05
55	KEGG.Pathway.pae00190..Oxidative.phosphorylation...Pseudomonas.aeruginosa.PAO1	23	0.923722772277228	2.14575099950865e-08	8.797579097985465e-07
56	KEGG.Pathway.pae00020..Citrate.cycle..TCA.cycle....Pseudomonas.aeruginosa.PAO1	23	0.76003300330033	0.00456289709485504	0.013857687473263457
57	KEGG.Pathway.pae03060..Protein.export...Pseudomonas.aeruginosa.PAO1	23	0.747821782178218	0.0393931498056728	0.07258962436101506
58	KEGG.Pathway.pae01210..2.Oxocarboxylic.acid.metabolism...Pseudomonas.aeruginosa.PAO1	23	0.799785478547855	0.00132623732126706	0.006166704631777113
59	KEGG.Pathway.pae00230..Purine.metabolism...Pseudomonas.aeruginosa.PAO1	23	0.862138613861386	5.01090474298595e-09	2.739294592832319e-07
60	KEGG.Pathway.pae03018..RNA.degradation...Pseudomonas.aeruginosa.PAO1	23	0.965478547854785	0.000481362947964853	0.002923834202453181
61	KEGG.Pathway.pae03010..Ribosome...Pseudomonas.aeruginosa.PAO1	23	0.828729372937294	1.61575166234515e-06	2.40893884204186e-05
62	KEGG.Pathway.pae00240..Pyrimidine.metabolism...Pseudomonas.aeruginosa.PAO1	23	0.857462871287129	1.76490483876937e-05	0.0001608024408656537
63	KEGG.Pathway.pae00970..Aminoacyl.tRNA.biosynthesis...Pseudomonas.aeruginosa.PAO1	23	0.64020563594821	0.0193529495300491	0.044081718374000725
64	KEGG.Pathway.pae00250..Alanine..aspartate.and.glutamate.metabolism...Pseudomonas.aeruginosa.PAO1	23	0.774681753889675	0.00146852488997675	0.0061753354347740255
65	KEGG.Pathway.pae00680..Methane.metabolism...Pseudomonas.aeruginosa.PAO1	23	0.874772277227723	0.000301886915786154	0.002062893924538719
66	KEGG.Pathway.pae00640..Propanoate.metabolism...Pseudomonas.aeruginosa.PAO1	23	0.600848656294201	0.137354244873905	0.202703371958884
67	KEGG.Module.M00009..Citrate.cycle..TCA.cycle..Krebs.cycle.	23	0.663712871287129	0.0899991186188278	0.1379425743316613
68	KEGG.Module.M00144..NADH.quinone.oxidoreductase..prokaryotes	23	0.99980198019802	0.00189748645229216	0.007409232813712243
69	KEGG.Module.M00360..Aminoacyl.tRNA.biosynthesis..prokaryotes	23	0.98980198019802	3.03212843551442e-05	0.00026172055969703417
70	KEGG.Pathway.pae03070..Bacterial.secretion.system...Pseudomonas.aeruginosa.PAO1	24	0.498341548572602	0.511022359113622	0.5860676006617763
71	KEGG.Pathway.pae00400..Phenylalanine..tyrosine.and.tryptophan.biosynthesis...Pseudomonas.aeruginosa.PAO1	24	0.452255083179298	0.662256754670101	0.7145401826703722
72	KEGG.Module.M00334..Type.VI.secretion.system	24	0.733271719038817	0.00487757834317475	0.014544051786921074
73	KEGG.Pathway.pae04122..Sulfur.relay.system...Pseudomonas.aeruginosa.PAO1	25	0.751562304711911	0.047296528172741	0.08201709513961507
74	KEGG.Pathway.pae00230..Purine.metabolism...Pseudomonas.aeruginosa.PAO1	25	0.757224096987877	6.77942475650195e-05	0.0005559128300331599
