	pathway	LV index	AUC	p-value	FDR
9	IRIS_Monocyte-Day0	2	0.890035649073994	4.31581181614969e-25	1.329886583919269e-22
10	DMAP_MONO2	2	0.9046758851064141	1.31397000183794e-16	1.5745740522024645e-14
11	DMAP_NKA1	2	0.901231343283582	1.1931016454408999e-08	3.100626806284364e-07
12	SVM Monocytes	2	0.962227530606151	6.361913050579171e-11	2.919712010659419e-09
13	SVM Macrophages M2	2	0.62072854164007	0.080749587665345	0.2217033165923393
14	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	2	0.53089552238806	0.334038691415825	0.562029217928186
15	KEGG_CHEMOKINE_SIGNALING_PATHWAY	2	0.556326366433508	0.0913737302423607	0.2412400687059633
16	REACTOME_TOLL_RECEPTOR_CASCADES	2	0.642201045453568	0.00211317669133334	0.013854474538620105
17	PID_TXA2PATHWAY	2	0.6531865671641789	0.0168500155778101	0.07014372882178682
18	REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	3	0.7823613622664259	9.53225432517636e-08	2.164323429411096e-06
19	ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS	3	0.558517998169317	0.271982619617379	0.4939686378246317
20	KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	3	0.628717488169666	0.034330626316092	0.1186717323137988
21	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	3	0.39868099138389507	0.853253585910811	0.9488842355579266
22	REACTOME_POTASSIUM_CHANNELS	3	0.589888059701492	0.132424434082096	0.31047772208160984
23	PID_LKB1_PATHWAY	3	0.6695832297622011	0.0230374480550549	0.08702587645315836
34	IRIS_Neutrophil-Resting	7	0.700633467952058	6.67318936979454e-11	2.9375651980911884e-09
35	SVM Monocytes	7	0.6928784711854279	0.00518088281969649	0.02745740600020965
36	PID_IL8CXCR2_PATHWAY	7	0.724223479210082	0.0105790526644932	0.049285133039550386
37	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	7	0.7075223880597009	0.00288128448640043	0.01731178450463991
38	SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES	7	0.541983028137561	0.333057525846126	0.5608158339188867
39	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	7	0.45727706531464396	0.6941620333467211	0.8551653543611804
40	KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	7	0.534920676960564	0.27206061276572197	0.4939686378246317
65	SVM T cells regulatory (Tregs)	11	0.6693463954531861	0.00450279645778447	0.024727049055598572
88	DMAP_NKA3	17	0.700227163441609	0.00664327858225654	0.03379611297624376
89	SVM T cells CD8	17	0.636845033055906	0.0175968138600376	0.07229776665924019
90	SVM T cells gamma delta	17	0.591634260644132	0.0953871223733164	0.2487908379192787
91	SVM NK cells resting	17	0.8050094682812579	6.56278577388409e-06	9.96896402413238e-05
92	KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	17	0.660631016847172	0.0014990194444581301	0.010706572654623134
93	KEGG_GRAFT_VERSUS_HOST_DISEASE	17	0.483984355661171	0.545487818946291	0.7556827226337018
94	REACTOME_IRON_UPTAKE_AND_TRANSPORT	18	0.5223776917733449	0.40965953104302505	0.6372875160075109
95	REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	18	0.7572744528261272	7.63427999289839e-10	2.5729909288565355e-08
96	KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	18	0.782919208451123	0.00408262780503333	0.02287331993625167
97	KEGG_PPAR_SIGNALING_PATHWAY	18	0.8058664544263711	6.11720731460918e-05	0.0007210282064268852
98	KEGG_ARGININE_AND_PROLINE_METABOLISM	18	0.880190472640525	3.40139279612261e-06	5.516394181380805e-05
99	REACTOME_PHASE1_FUNCTIONALIZATION_OF_COMPOUNDS	18	0.8419446098868371	0.00022969007574326602	0.002211792381152789
100	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	18	0.7100324288057249	0.00657231253489315	0.03351413271339131
101	KEGG_GLYCEROLIPID_METABOLISM	18	0.435970919557342	0.743769578265707	0.8888149475452245
102	KEGG_ARACHIDONIC_ACID_METABOLISM	18	0.581580963732334	0.183425504377739	0.3804315509065221
119	DMAP_DENDA1	22	0.5394536497984771	0.30309615788906896	0.5298042241221409
120	KEGG_ECM_RECEPTOR_INTERACTION	22	0.7157669109216891	0.000990266976063266	0.007655935008489122
121	REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION	22	0.448186558316739	0.7804823812875308	0.9134565905790584
122	KEGG_PPAR_SIGNALING_PATHWAY	22	0.7916728846440829	0.00014485447952329198	0.0015167529724841788
