	pathway	LV index	AUC	p-value	FDR
56	IRIS_Monocyte-Day1	10	0.717265016467144	6.59666569664395e-11	2.9375651980911884e-09
57	IRIS_Monocyte-Day7	10	0.7754324030748659	1.4002120648599501e-15	1.3131554016969182e-13
58	SVM Macrophages M0	10	0.854759069028832	0.000102449430034345	0.0011217432516958485
195	MIPS_NOP56P_ASSOCIATED_PRE_RRNA_COMPLEX	37	0.677642459780484	8.711149809575029e-28	3.757990027850668e-25
196	MIPS_60S_RIBOSOMAL_SUBUNIT_CYTOPLASMIC	37	0.7161727658446041	3.33364107019368e-20	7.989626431564185e-18
299	DMAP_ERY5	61	0.555490240516729	0.00113823711800877	0.00854576116271883
300	SVM Neutrophils	61	0.647066813359955	0.00046858300162341506	0.004059170821291993
363	KEGG_FOCAL_ADHESION	81	0.606746717018369	0.00460503109926596	0.025083464851304742
364	REACTOME_COLLAGEN_FORMATION	81	0.761209593326382	0.00147336713277504	0.010558315300318144
365	PID_INTEGRIN1_PATHWAY	81	0.7613979243343609	0.000361750248479727	0.003224360685829633
383	KEGG_SPLICEOSOME	84	0.744424749836577	2.19590361159163e-07	4.598605912818589e-06
1049	REACTOME_FORMATION_OF_THE_TERNARY_COMPLEX_AND_SUBSEQUENTLY_THE_43S_COMPLEX	310	0.7516783529762792	0.00103931604759146	0.007901466390231246
1259	IRIS_DendriticCell-Control	447	0.8073304778110271	1.63216328945016e-13	1.2139917983944813e-11
1260	IRIS_Monocyte-Day7	447	0.7805328097147951	8.334314509683441e-13	5.1363189706820505e-11
1261	DMAP_MONO2	447	0.715769553342939	9.04615032043258e-05	0.0010162784500610976
1262	SVM Macrophages M2	447	0.85410017447551	0.000197976260824309	0.0019770129379538632
1263	SVM Dendritic cells resting	447	0.8739754098360659	3.14754666212755e-05	0.0004065424042041392
1264	KEGG_LYSOSOME	447	0.8542839356508629	5.948998457755589e-11	2.789562972473654e-09
1586	IRIS_Monocyte-Day1	649	0.7356892676041609	1.6304333933534199e-12	8.792112073658317e-11
1587	DMAP_MONO2	649	0.710020573034272	2.07537361036911e-05	0.00027633215293618337
1588	DMAP_NKA1	649	0.8609328358208961	6.20480631589094e-07	1.2392377058682182e-05
1756	DMAP_GMP	762	0.8958147818343721	0.0079539142769923	0.039081077666224116
1758	SVM Mast cells resting	762	0.7268466756112109	0.00282223793648894	0.017099907946647876
1759	SVM Mast cells activated	762	0.7095387104327651	0.00837219456818825	0.04076483901485791
1949	DMAP_HSC1	867	0.766287084207372	6.06426768735064e-06	9.410521871665706e-05
2061	REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION	935	0.6109184594553929	2.37322672509981e-08	6.02241181887093e-07
2062	REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	935	0.7605404304433431	2.47768128126979e-20	6.680448154623671e-18
2090	IRIS_Monocyte-Day1	953	0.685645812640494	2.7131680707782698e-08	6.650344918941737e-07
2092	REACTOME_COLLAGEN_FORMATION	953	0.7702751590730141	0.0012792738657903802	0.0093538770457961
