	pathway	LV index	AUC	p-value	FDR
33	PID_INTEGRIN3_PATHWAY	5	0.540575396825397	0.32412544208766103	0.551371118756376
65	SVM T cells regulatory (Tregs)	11	0.6693463954531861	0.00450279645778447	0.024727049055598572
113	IRIS_Monocyte-Day7	21	0.477787990196078	0.7270596929280141	0.8797387195945671
114	DMAP_MONO1	21	0.56113621919356	0.15196213006713	0.3396707922847662
115	SVM Macrophages M2	21	0.579662964381463	0.19540900899056798	0.3950302084279805
116	REACTOME_LIPID_DIGESTION_MOBILIZATION_AND_TRANSPORT	21	0.506796646326338	0.473024985054127	0.6894019545687513
117	KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	21	0.511136310147842	0.432509503205299	0.6560639932586709
118	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	21	0.677081780229611	0.0204723406301259	0.08058182251675469
139	IRIS_DendriticCell-Control	26	0.7741242738954408	8.082947060298339e-14	6.226756003236973e-12
140	SVM Macrophages M2	26	0.789693178433125	0.000550301937224071	0.00460078014958264
141	SVM Dendritic cells resting	26	0.980327868852459	3.7433816794549504e-09	1.0624308266558324e-07
186	SVM Mast cells activated	35	0.5881388764714649	0.17690266135258398	0.3726357817749255
187	REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	35	0.601680672268908	0.142332785784264	0.3243855372680036
188	KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	35	0.6601421972454611	0.0457699590933443	0.1471323424207804
189	REACTOME_INTERFERON_GAMMA_SIGNALING	35	0.678150633855332	0.0166785437829707	0.06972019174392984
190	KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	35	0.706599970135882	0.00461957342208057	0.025099294386467987
191	KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	35	0.630250525052505	0.0189002522651033	0.07634427740791727
192	PID_AMB2_NEUTROPHILS_PATHWAY	35	0.7125412190192529	0.0125669751994851	0.05623851764582855
193	PID_IL23PATHWAY	35	0.739158479706262	0.00983209794913807	0.04650841069362022
194	KEGG_GRAFT_VERSUS_HOST_DISEASE	35	0.766646863706124	0.0330456344307794	0.11571336601816748
268	KEGG_ECM_RECEPTOR_INTERACTION	54	0.5419719854443951	0.267242539794354	0.4912001970374285
299	DMAP_ERY5	61	0.555490240516729	0.00113823711800877	0.00854576116271883
300	SVM Neutrophils	61	0.647066813359955	0.00046858300162341506	0.004059170821291993
301	REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION	61	0.47533809715990505	0.765532036773505	0.9028171696667306
320	IRIS_NKcell-control	68	0.674268656716418	0.0108541072300929	0.0504575631364448
321	IRIS_Neutrophil-Resting	68	0.5992758815355219	0.000874238910171093	0.0070101610752380935
322	DMAP_ERY2	68	0.7756144617600301	6.96954125240047e-05	0.0008067783200972718
323	DMAP_MONO1	68	0.663362403785043	0.0025009721116334396	0.015636512593603855
324	SVM NK cells resting	68	0.685939602332187	0.00362677887514714	0.020750562423587214
325	SVM Mast cells resting	68	0.49856514609421604	0.506778568054257	0.7215322582792293
326	SVM Eosinophils	68	0.593783582089552	0.10853778411504902	0.2699352939255942
341	REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS	71	0.44956652908316297	0.7171302878609179	0.8742753589938586
342	KEGG_LYSOSOME	71	0.629179908915173	0.009428133230376421	0.044794016250929374
343	KEGG_ABC_TRANSPORTERS	71	0.39397321428571397	0.8378307420701541	0.9397820648181602
344	PID_AMB2_NEUTROPHILS_PATHWAY	71	0.457653441123285	0.6647333935743499	0.8389876711175384
345	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	71	0.5182272252870139	0.422466023493871	0.6474966288811388
1380	IRIS_NKcell-control	524	0.47762686567164203	0.6134936324678149	0.8000639451227792
1381	IRIS_Neutrophil-Resting	524	0.756817787041862	5.595606917147159e-16	5.747487676326868e-14
1382	DMAP_MONO1	524	0.6794938563660761	0.00126686232586707	0.009326355074727885
1383	DMAP_MONO2	524	0.6375776865013659	0.00497410714903844	0.02662319881011393
1384	SVM Monocytes	524	0.783756345177665	0.000120683792112479	0.0012950992019234687
1385	SVM Neutrophils	524	0.9585455632071499	2.42219230852226e-10	9.16608563067108e-09
1386	PID_IL1PATHWAY	524	0.499404496054786	0.502425778197471	0.7177035785244669
1467	REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS	578	0.471226465269652	0.629249348613979	0.8122626241534127
1684	DMAP_CMP	719	0.999851632047478	0.00119763812154056	0.008909034771869764
1685	DMAP_EOS2	719	0.9889995540359742	1.29256542648378e-05	0.00018463997516063004
1686	SVM Mast cells activated	719	0.7092194052408629	0.008551606944026329	0.04154463103212792
1702	DMAP_GMP	728	0.6783170080142479	0.134212405014226	0.31398715576538555
1703	SVM Mast cells resting	728	0.677493291592129	0.0135176748855801	0.05914325502676729
1704	SVM Mast cells activated	728	0.9082104008344509	1.05653308806587e-06	1.957702716722199e-05
1895	REACTOME_AMYLOIDS	847	0.76065277363555	0.00022338408301060802	0.0021704480497922586
1896	REACTOME_MEIOTIC_RECOMBINATION	847	0.782196027719752	2.76987318360396e-05	0.00035991665403817724
1897	REACTOME_RNA_POL_I_TRANSCRIPTION	847	0.7477931390390308	4.48571180229017e-05	0.0005560735837666607
1898	KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	847	0.735028562870408	1.31581743784813e-05	0.00018621878322041
2013	SVM B cells naive	913	0.548545685658741	0.252543543930783	0.4704114199125206
2014	SVM Plasma cells	913	0.598813078530905	0.107717288226795	0.2687738553003254
2015	SVM Macrophages M1	913	0.5171705118005829	0.419077083151414	0.6449462497476958
2016	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	913	0.7493663336812291	0.0025474922145756	0.015835563996655817
2017	PID_IL23PATHWAY	913	0.600625186067282	0.164106062642427	0.3573953635483755
2018	KEGG_ARACHIDONIC_ACID_METABOLISM	913	0.6675038310914351	0.0393617073470695	0.13183727134724987
2106	KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	962	0.5689262411879411	0.132307335042868	0.31047772208160984
2107	REACTOME_MUSCLE_CONTRACTION	962	0.76435913259986	0.0023752198923671602	0.015157838188863798
