	Gene ID	Adj P-value (Real)	Rank (Real)	abs(logFC) (Real)	logFC (Real)	Median adj p-value (simulated)	Rank (simulated)	Percentile (simulated)	Percent DE (simulated)	Mean abs(logFC) (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score
A1BG	A1BG	1	3565.5	0	0	0.193209089701582	2726.0	38.22415486042923	0.0	0.0021072222222222343	0.0015519489816360377	100	-1.3577909114002171
PPCDC	PPCDC	1	3565.5	0	0	0.03511986660756945	4553.5	63.85888623930425	0.0	0.0038149999999999855	0.0032139203301054945	100	-1.1870238239150008
PPM1G	PPM1G	1	3565.5	0	0	0.002141924109061455	5442.0	76.32206480572312	0.0	0.004642222222222197	0.0037738171619815268	100	-1.230113177975134
PPL	PPL	1	3565.5	0	0	0.05713061538708225	6802.0	95.39907420395568	0.0	0.013575000000000033	0.0056195105261433315	100	-2.415690821619753
PPIP5K2	PPIP5K2	1	3565.5	0	0	0.40305071650181346	2076.5	29.1134801514939	0.0	0.0019633333333333135	0.0017988582514623004	100	-1.091433041896053
PPIL4	PPIL4	1	3565.5	0	0	0.240466779392112	3206.0	44.957217000981906	0.0	0.0025466666666666615	0.0024419143114423657	100	-1.0428976376171126
PPIL3	PPIL3	1	3565.5	0	0	0.4474580085755655	474.5	6.6418852573993545	0.0	0.0017761111111111103	0.0026055885792599202	100	-0.6816544734839101
PPIL1	PPIL1	1	3565.5	0	0	0.07789836587148265	5076.5	71.1951185299481	0.0	0.004555555555555567	0.003230184828564237	100	-1.4103080155882086
PPIH	PPIH	1	3565.5	0	0	0.006902634501209065	5102.5	71.55982606256137	0.0	0.004260555555555557	0.0033922468230572693	100	-1.2559686183789311
PPIA	PPIA	1	3565.5	0	0	0.01845612227168305	4471.0	62.70164118389676	0.0	0.0037372222222222208	0.003856671542723395	100	-0.9690278730822836
PPFIBP2	PPFIBP2	1	3565.5	0	0	8.409372536591445e-05	6584.0	92.34114181512135	0.0	0.010042777777777819	0.006475393268543005	100	-1.550913953993329
