pathway	Pathway ID	Adj P-value (Real)	Rank (Real)	padj (Real)	Median adj p-value (simulated)	Rank (simulated)	Percentile (simulated)	Mean padj (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	0.00334135257952419	49.0	0.00334135257952419	0.0007248057520584481	47.0	99.99999999999999	0.09923534545509011	0.28039941455334094	25	-0.34199070289900274
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	0.00334135257952419	49.0	0.00334135257952419	0.118081156903779	21.0	43.47826086956522	0.16586798370795067	0.17371006049076235	25	-0.9356201400728279
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	0.00334135257952419	49.0	0.00334135257952419	0.0777836445269727	24.0	50.0	0.24601365120908367	0.28494018330983506	25	-0.851660498742942
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	0.007468631746664009	47.0	0.007468631746664009	0.0030832476875642303	42.0	89.13043478260869	0.09930562279541386	0.24772138354957388	25	-0.3707269422317411
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	0.0217231468484727	45.5	0.0217231468484727	0.30630244433695303	12.0	23.913043478260867	0.3522140189268661	0.2006900443540042	25	-1.6467726296149945
HALLMARK_COAGULATION	HALLMARK_COAGULATION	0.0217231468484727	45.5	0.0217231468484727	0.0007248057520584481	47.0	99.99999999999999	0.001219207136490725	0.00108004913052073	25	18.984265745481686
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	0.0269541778975741	44.0	0.0269541778975741	0.0007248057520584481	47.0	99.99999999999999	0.05132910198193077	0.1628711335161998	25	-0.14965772975315014
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	0.0381806108897742	41.0	0.0381806108897742	0.008828147894409825	31.0	65.21739130434781	0.1877499637093589	0.33840996305766485	24	-0.4419768007660524
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	0.0381806108897742	41.0	0.0381806108897742	0.0007248057520584481	47.0	99.99999999999999	0.03233597514332618	0.08847974307643762	25	0.06605620160310416
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	0.0381806108897742	41.0	0.0381806108897742	0.00885627530364373	30.0	63.04347826086957	0.09570305265014188	0.24403661122878612	25	-0.23571234443359798
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	0.0381806108897742	41.0	0.0381806108897742	0.00396741430385104	41.0	86.95652173913042	0.01357019396954546	0.017724458930464766	25	1.3885003213231184
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	0.0381806108897742	41.0	0.0381806108897742	0.054526634874865997	25.0	52.17391304347826	0.15971805617234008	0.24160629020512808	25	-0.5030392428085312
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.0535676023141204	38.0	0.0535676023141204	0.247007776313457	14.0	28.260869565217387	0.2492821010819474	0.12254598710076049	25	-1.5970698298501234
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	0.0546393800913968	37.0	0.0546393800913968	0.6929824561403511	2.0	2.1739130434782608	0.5909929311097473	0.3611586235334432	25	-1.4850913589460069
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.0812358503129578	36.0	0.0812358503129578	0.00504728509191372	37.0	78.26086956521738	0.17888094957017978	0.32334185336791066	25	-0.3019871947913828
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.0824175824175824	35.0	0.0824175824175824	0.939613526570048	1.0	0.0	0.6629905512805313	0.41848236272813677	25	-1.3873295999337318
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.0869254584424863	34.0	0.0869254584424863	0.10537407797681801	22.0	45.65217391304348	0.3313684082164317	0.38936026696240744	25	-0.6278066112933559
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	0.12038343523931098	33.0	0.12038343523931098	0.614152008094645	7.0	13.043478260869563	0.5516475028033826	0.21275466500486784	25	-2.0270487021010997
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.148658906882591	32.0	0.148658906882591	0.22058764225281696	15.0	30.434782608695652	0.2848684237603876	0.2279863314781376	25	-0.5974459784263787
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	0.16832669322709198	31.0	0.16832669322709198	0.17968463513018001	19.0	39.130434782608695	0.1957487576375839	0.12213203173933258	25	-0.22452802937904984
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	0.184456584298074	30.0	0.184456584298074	0.00143560589746903	43.0	91.30434782608695	0.017339718169350135	0.06831200083484451	25	2.446376391942557
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	0.19040433978193302	29.0	0.19040433978193302	0.686989399770441	3.0	4.3478260869565215	0.6085623299332974	0.2765120036404486	25	-1.5122598102290687
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	0.23839824273909602	28.0	0.23839824273909602	0.015015015015015	29.0	60.869565217391305	0.2149010909501156	0.36935650664210223	25	0.06361645555563102
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	0.25366298313645497	25.5	0.25366298313645497	0.374243679633485	11.0	21.739130434782606	0.36900900151013244	0.29056902370745546	25	-0.39696598385452025
