	Gene ID	Adj P-value (Real)	Rank (Real)	abs(logFC) (Real)	logFC (Real)	Median adj p-value (simulated)	Rank (simulated)	Percentile (simulated)	Percent DE (simulated)	Mean abs(logFC) (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score
A1BG	A1BG	1	3565.5	0	0	0.154236090777612	2460.5	34.49992986393604	0.0	0.002192222222222239	0.0017728179821638699	50	-1.2365749018105354
PPCDC	PPCDC	1	3565.5	0	0	0.047640809883611204	4719.5	66.18740356291205	0.0	0.004023333333333318	0.003886476251933187	50	-1.0352136672215755
PPM1G	PPM1G	1	3565.5	0	0	0.000707378227154069	5555.0	77.90713985131156	0.0	0.004761111111111091	0.004100191571703191	50	-1.161192355978957
PPL	PPL	1	3565.5	0	0	0.057839912329371954	6830.0	95.79183616215458	0.0	0.013360000000000039	0.005246148691153858	50	-2.546630068363844
PPIP5K2	PPIP5K2	1	3565.5	0	0	0.33929498549302806	2333.0	32.711460232851735	0.0	0.0022644444444444127	0.0020805025363428366	50	-1.0884122489102628
PPIL4	PPIL4	1	3565.5	0	0	0.23936101507388752	3285.5	46.072380418010944	0.0	0.002477777777777749	0.0021446494562043284	50	-1.1553299634164933
PPIL3	PPIL3	1	3565.5	0	0	0.3288684431053345	738.5	10.345069434703325	0.0	0.0020933333333333264	0.0028287709476601496	50	-0.7400151415811348
PPIL1	PPIL1	1	3565.5	0	0	0.09807406279775356	5181.0	72.6609622667976	0.0	0.004544444444444443	0.003358202767127812	50	-1.353237061480714
PPIH	PPIH	1	3565.5	0	0	0.0054493065873119206	5057.5	70.92860148688456	0.0	0.004308888888888897	0.003827062141634029	50	-1.1258999016538425
PPIA	PPIA	1	3565.5	0	0	0.02050357968453705	4155.0	58.26904194136625	0.0	0.003767777777777766	0.004067438095177378	50	-0.9263270121418914
PPFIBP2	PPFIBP2	1	3565.5	0	0	0.00031389323218922817	6504.0	91.2189647916959	0.0	0.00992333333333338	0.006466904036755894	50	-1.5344797567633917
PPEF1	PPEF1	1	3565.5	0	0	0.0812212013863716	1741.5	24.414363865899844	0.0	0.0028588888888889112	0.004982966829893168	50	-0.5737322736603896
PPCS	PPCS	1	3565.5	0	0	0.06206151041791019	3626.5	50.8556599803619	0.0	0.0031533333333333535	0.0024745507391330883	50	-1.2743053854042465
PPBP	PPBP	1	3565.5	0	0	0.2657200757582205	6320.5	88.64497124421378	0.0	0.00846777777777781	0.0070400457127916555	50	-1.2028015332900448
PPM1M	PPM1M	1	3565.5	0	0	0.1023630044400758	4783.0	67.07813157525601	0.0	0.005094444444444474	0.0037207285391006395	50	-1.3692061624242773
PPA1	PPA1	1	3565.5	0	0	0.5477147799521049	334.5	4.678075466404825	0.0	0.002265555555555566	0.0040771763938955066	50	-0.5556677800223793
POU3F4	POU3F4	1	3565.5	0	0	0.17837720266698598	1690.5	23.698976013466122	0.0	0.0018166666666666685	0.0015648914050499898	50	-1.1608899255272196
POU2F3	POU2F3	1	3565.5	0	0	0.0218207513323184	5829.0	81.75059615654371	0.0	0.005804444444444461	0.0026432322532785554	50	-2.195964594955615
POU2AF1	POU2AF1	1	3565.5	0	0	0.119914697464056	6372.0	89.36737270304391	0.0	0.010088888888888876	0.006605167968352405	50	-1.5274235170442534
POU1F1	POU1F1	1	3565.5	0	0	0.2025088744084885	506.0	7.083742460373124	0.0	0.0016666666666666653	0.002284087825204542	50	-0.7296858939815126
POT1.AS1	POT1.AS1	1	3565.5	0	0	0.18329630047078702	1205.5	16.89577780894936	0.0	0.002693333333333334	0.004395596642239818	50	-0.6127344141297097
PORCN	PORCN	1	3565.5	0	0	0.08335994335056005	4036.5	56.60681722541731	0.0	0.0037177777777777678	0.004394200695012422	50	-0.8460646283174051
POR	POR	1	3565.5	0	0	0.24493157197085297	2270.5	31.834759433300604	0.0	0.003386666666666693	0.0033311965940633474	50	-1.0166516958807539
