	Gene ID	Adj P-value (Real)	Rank (Real)	abs(logFC) (Real)	logFC (Real)	Median adj p-value (simulated)	Rank (simulated)	Percentile (simulated)	Percent DE (simulated)	Mean abs(logFC) (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score
CTDSP1	CTDSP1	0.0849561350169026	7130.0	1.60648057910548	1.60648057910548	0.06592839663339439	3978.0	55.78622527703745	0.0	0.004177777777777794	0.0032265615736379693	10	496.5976209532227
HPRT1	HPRT1	0.106641360157285	7129.0	1.4077303534770602	-1.4077303534770602	0.0035061158748056296	5497.0	77.0935615093281	0.0	0.00632777777777784	0.005332847843129365	10	262.7869042813204
SUZ12	SUZ12	0.11057518989779999	7128.0	1.37690965305507	-1.37690965305507	0.2849393590230915	929.5	13.024267078131574	0.0	0.003283333333333403	0.004242757889985259	10	323.75788469195663
MRPL47	MRPL47	0.112815614622876	7127.0	1.23339933086639	-1.23339933086639	0.10373372900067314	3130.0	43.89114882872773	0.0	0.0041222222222222155	0.0047652577848243845	10	257.96654958709036
GNPNAT1	GNPNAT1	0.431883567970789	7126.0	1.21665158286826	-1.21665158286826	0.3093223395505795	2883.5	40.433440875298075	0.0	0.005061111111111119	0.006145048861840163	10	197.1653112932828
PSMB5	PSMB5	0.232609674624895	7125.0	1.19383435988876	-1.19383435988876	0.23472069597277803	2221.5	31.147426006452516	0.0	0.00473888888888889	0.005659887617821111	10	210.09171052368663
PSMD2	PSMD2	0.388862534959248	7124.0	1.18026777449047	-1.18026777449047	0.01853691390449075	3001.0	42.0816383784542	0.0	0.0045500000000000766	0.005946172011573571	10	197.726835382842
RNF130	RNF130	0.253821955305771	7123.0	1.17689397444864	1.17689397444864	0.024650791338125047	5527.0	77.51437789311265	0.0	0.0057277777777777735	0.0028943976442271442	10	404.6320998798299
PFDN2	PFDN2	0.501983124863343	7122.0	1.15595804354843	-1.15595804354843	0.04773081825743473	4214.0	59.096647496142516	0.0	0.005172222222222222	0.006469165547476619	10	177.88783002702513
MRPS35	MRPS35	0.20015859276510398	7121.0	1.134548161879	-1.134548161879	0.2823774692707995	779.0	10.913171552812456	0.0	0.003294444444444454	0.004721463265081259	10	239.5981190409804
F13A1	F13A1	0.0754218544924429	7120.0	1.12653159461332	1.12653159461332	3.1476522066131324e-06	7070.0	99.15836723243092	0.0	0.024272222222222258	0.01829416785490475	10	60.25195467393599
FIBP	FIBP	0.658029688465027	7119.0	1.11005190108064	-1.11005190108064	0.1453302897910865	2994.5	41.990461495300885	0.0	0.004911111111111142	0.006191956816557008	10	178.4800544820392
CILP	CILP	0.0324109298188039	7118.0	1.10893829450693	1.10893829450693	0.008192068414542274	6732.0	94.41716930845841	0.0	0.012450000000000067	0.005794991570111915	10	189.21309569493542
NSMCE1	NSMCE1	0.166321390371064	7117.0	1.10736378562747	-1.10736378562747	0.10740952030649019	1687.0	23.64988076869126	0.0	0.004394444444444449	0.005680294071678005	10	194.1746901243089
FBXL3	FBXL3	0.232609674624895	7116.0	1.1022953460853102	1.1022953460853102	0.0430743096040462	4105.0	57.567681301725344	0.0	0.0033722222222221988	0.0022051893529365187	10	498.33503975507494
RFTN1	RFTN1	0.27313927857919895	7115.0	1.07665486893293	1.07665486893293	0.060836357489589044	5664.5	79.44311965212513	0.0	0.006438888888888834	0.004796721702856018	10	223.11404462068825
TMBIM1	TMBIM1	0.729352253551355	7114.0	1.0697798218363699	1.0697798218363699	0.018142382858675456	6009.0	84.27549445925095	0.0	0.006800000000000049	0.003366827604840118	10	315.7214881772505
AP1G2	AP1G2	0.7477463670647879	7113.0	1.06201797150658	-1.06201797150658	0.269689811693534	1013.5	14.202552952728292	0.0	0.004800000000000018	0.00806469043574633	10	131.09219503584603
SLC20A1	SLC20A1	0.658029688465027	7112.0	1.05758296425036	-1.05758296425036	0.00039200649592669703	5583.5	78.30691541590687	0.0	0.007300000000000012	0.00686541200731448	10	152.98178217583705
RGS2	RGS2	0.270927355723745	7111.0	1.05669558508944	1.05669558508944	0.21627840692405104	4194.0	58.816103240286154	0.0	0.005372222222222148	0.004644129146365354	10	226.3768576913968
SIAH2	SIAH2	0.0324109298188039	7110.0	1.04690005966737	-1.04690005966737	0.1752755015544835	2366.5	33.18137186141114	0.0	0.002955555555555556	0.0020826212774913023	10	501.26468762930153
