	Gene ID	Adj P-value (Real)	Rank (Real)	abs(logFC) (Real)	logFC (Real)	Median adj p-value (simulated)	Rank (simulated)	Percentile (simulated)	Percent DE (simulated)	Mean abs(logFC) (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score
MEOX2	MEOX2	7.48339923599054e-06	7130.0	0.0920900863006193	-0.0920900863006193	0.00922102888516151	7110.0	99.71945574414364	0.0	0.026977777777777802	0.016085448910946397	5	4.047901235664711
MMRN1	MMRN1	1.70012043517391e-06	7129.0	0.0906969527518379	-0.0906969527518379	0.003179089916068	6666.5	93.49838687052883	0.0	0.017066666666666702	0.018010859207231642	5	4.0881051391267045
SPC25	SPC25	1.19264353353426e-05	7128.0	0.0857711728543594	0.0857711728543594	0.063584392193965	5930.5	83.17435825501474	0.0	0.012977777777777783	0.012725775825872865	5	5.7201538100792915
KERA	KERA	1.37152694642373e-05	7127.0	0.0857681711469398	-0.0857681711469398	0.0124104336870894	5693.0	79.84289521672045	0.0	0.010311111111111129	0.01331541620235644	5	5.666894589631751
PBK	PBK	3.44523980591799e-05	7126.0	0.0849394921355394	0.0849394921355394	0.39629108178011796	4462.0	62.575396268761395	0.0	0.01217777777777771	0.012248292901965876	5	5.940559630647247
GRB14	GRB14	0.0065408701278111	7125.0	0.0754983578524836	0.0754983578524836	0.0403209223228507	6749.5	94.66264553233273	0.0	0.011977777777777796	0.0025088116315237254	5	25.318991380842178
TTK	TTK	8.629955054945491e-05	7124.0	0.0751863592410671	0.0751863592410671	0.103382002564185	6005.0	84.21938560807968	0.0	0.012255555555555572	0.010961605271284768	5	5.741020783731948
MMP1	MMP1	0.0146332736478427	7123.0	0.0751412482269119	0.0751412482269119	0.0446494880817254	6779.5	95.08346191611727	0.0	0.014455555555555572	0.011726328927821212	5	5.175165479741657
CYP2B7P	CYP2B7P	9.37069247668355e-07	7122.0	0.0746386381352705	0.0746386381352705	0.11242377600423	3860.0	54.13101416748492	0.0	0.004522222222222226	0.0037094723594044113	5	18.90199174426685
PDZRN4	PDZRN4	3.853855306909461e-05	7121.0	0.0738961120220541	-0.0738961120220541	0.014025997545696	6899.0	96.75971384485904	0.0	0.017633333333333303	0.014533252633143166	5	3.871313608105401
DLGAP5	DLGAP5	0.00019928991987648998	7120.0	0.0712126447194875	0.0712126447194875	0.0602521509836951	5978.0	83.8406508626736	0.0	0.01253333333333328	0.011331059140017133	5	5.178625463079659
CEP55	CEP55	0.000136100253882748	7119.0	0.0687746280503996	0.0687746280503996	0.253887812580925	5572.5	78.15261607518586	0.0	0.010233333333333398	0.009523962631044387	5	6.146737128749804
IGDCC4	IGDCC4	1.19264353353426e-05	7118.0	0.0660622144882997	-0.0660622144882997	0.0364484048809941	6926.0	97.13844859026513	0.0	0.019066666666666697	0.013862163175393464	5	3.3902030460191206
NUF2	NUF2	1.2656736249936999e-05	7117.0	0.063792935066902	0.063792935066902	0.0476191408808339	6399.5	89.7531210548464	0.0	0.012577777777777719	0.010920843136627	5	4.689670627843351
KIF15	KIF15	5.62473405278432e-05	7116.0	0.0632638331614468	0.0632638331614468	0.44330396301880703	3054.0	42.82508065647356	0.0	0.005677777777777761	0.006880191642464409	5	8.36983304770888
KIF20A	KIF20A	2.83016508864954e-05	7115.0	0.0632474308285841	0.0632474308285841	0.18165697701866698	4917.0	68.95777808949363	0.0	0.01208888888888886	0.013672232380690517	5	3.741784115075981
BUB1B	BUB1B	2.9415708491809303e-05	7114.0	0.061941634931755994	0.061941634931755994	0.0532168257518741	6033.5	84.61916117267499	0.0	0.012377777777777774	0.0106454070545952	5	4.655891212030588
KIF11	KIF11	4.80440746959132e-05	7113.0	0.06180355709975299	0.06180355709975299	0.150098595958026	5854.5	82.10829008276056	0.0	0.008166666666666666	0.008137798561779463	5	6.591081116826974
