	Gene ID	Adj P-value (Real)	Rank (Real)	abs(logFC) (Real)	logFC (Real)	Median adj p-value (simulated)	Rank (simulated)	Percentile (simulated)	Percent DE (simulated)	Mean abs(logFC) (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score
A1BG	A1BG	1	3565.5	0	0	0.14976855609509698	2421.0	33.94585495861972	0.0	0.0025133333333333613	0.002163416365466956	25	-1.1617427756634717
PPCDC	PPCDC	1	3565.5	0	0	0.010684149395962	4775.0	66.96591387291346	0.0	0.004924444444444449	0.00502467880757983	25	-0.9800515879772902
PPM1G	PPM1G	1	3565.5	0	0	0.00023117542881264102	5609.0	78.66460934212373	0.0	0.005722222222222204	0.004794410111031048	25	-1.1935195550035307
PPL	PPL	1	3565.5	0	0	0.0518988405610738	6748.0	94.64160471314351	0.0	0.013606666666666703	0.004529053444471666	25	-3.0043069337756467
PPIP5K2	PPIP5K2	1	3565.5	0	0	0.268075811207005	2169.0	30.41099733482957	0.0	0.0030333333333333267	0.0026109140981624805	25	-1.1617897867525162
PPIL4	PPIL4	1	3565.5	0	0	0.20718323710992803	2963.0	41.54860429232711	0.0	0.0030466666666666446	0.002401971069887441	25	-1.2684027317653808
PPIL3	PPIL3	1	3565.5	0	0	0.327205428538498	651.5	9.124701921728152	0.0	0.002631111111111138	0.0033251009452791597	25	-0.791287589282569
PPIL1	PPIL1	1	3565.5	0	0	0.0154521214931367	5184.0	72.70304390517605	0.0	0.0052555555555555515	0.0037343638348491096	25	-1.4073496284723706
PPIH	PPIH	1	3565.5	0	0	0.0009178825093727869	5211.5	73.08879225697855	0.0	0.005080000000000039	0.004623423989070841	25	-1.0987527884114638
PPIA	PPIA	1	3565.5	0	0	0.0130492592475191	4048.0	56.76813017253472	0.0	0.004453333333333279	0.004854961189149541	25	-0.9172747545925044
PPFIBP2	PPFIBP2	1	3565.5	0	0	2.5775759424587898e-06	6657.0	93.36512834899706	0.0	0.01141333333333336	0.005850373699857419	25	-1.9508725286406092
PPEF1	PPEF1	1	3565.5	0	0	0.0371910822213261	1525.5	21.384485902651143	0.0	0.003371111111111126	0.006701926815869268	25	-0.5030062553247798
PPCS	PPCS	1	3565.5	0	0	0.0199017260702583	4046.0	56.74007574694908	0.0	0.0037400000000000254	0.002750267476703949	25	-1.3598677334766793
PPBP	PPBP	1	3565.5	0	0	0.19153706970305398	6199.0	86.94066488988639	0.0	0.008191111111111132	0.006725360455100413	25	-1.2179438062534054
PPM1M	PPM1M	1	3565.5	0	0	0.0222629298233865	5190.0	72.78720718193296	0.0	0.005713333333333376	0.0038209232827302597	25	-1.4952755945549592
PPA1	PPA1	1	3565.5	0	0	0.600316451305089	184.0	2.566979941085706	0.0	0.002408888888888934	0.004589610740462771	25	-0.5248569051078273
POU3F4	POU3F4	1	3565.5	0	0	0.0538017502214409	2207.0	30.944031420956655	0.0	0.0023288888888889	0.0018697918063722535	25	-1.245533797373613
POU2F3	POU2F3	1	3565.5	0	0	0.00652707435533374	5663.0	79.42207883293591	0.0	0.006053333333333362	0.002411044972637856	25	-2.510667947728317
POU2AF1	POU2AF1	1	3565.5	0	0	0.0141462454284727	6500.5	91.16986954692103	0.0	0.011586666666666658	0.00700967658623573	25	-1.6529531033455025
POU1F1	POU1F1	1	3565.5	0	0	0.183766945455982	381.0	5.330340861270865	0.0	0.001728888888888887	0.002954269073953271	25	-0.5852171368315362
POT1.AS1	POT1.AS1	1	3565.5	0	0	0.364050196782761	910.0	12.750736428671622	0.0	0.003171111111111118	0.005888494046861031	25	-0.5385266735221609
PORCN	PORCN	1	3565.5	0	0	0.0217848812657763	4273.5	59.93126665731519	0.0	0.004657777777777781	0.005491545128762486	25	-0.848172539524847
POR	POR	1	3565.5	0	0	0.26481518576375895	2146.5	30.09538504699116	0.0	0.0037555555555556096	0.003866203675984677	25	-0.9713806799376945
POPDC3	POPDC3	1	3565.5	0	0	0.0211981852209111	6094.5	85.4748211530369	0.0	0.008539999999999987	0.00521272086800518	25	-1.638299885270492
POP7	POP7	1	3565.5	0	0	0.000596895734367226	5392.5	75.62771777247862	0.0	0.005560000000000002	0.0052261342715116624	25	-1.063883878818094
POP5	POP5	1	3565.5	0	0	0.109352372698213	2767.5	38.80628419133118	0.0	0.00311555555555552	0.0034096932751279487	25	-0.9137348447973253
PPM1J	PPM1J	1	3565.5	0	0	0.5034795848403351	123.0	1.711319960723804	0.0	0.0017622222222222028	0.0025664782678971707	25	-0.686630486712077
PPM1N	PPM1N	1	3565.5	0	0	0.159886848339679	3490.5	48.94795904053864	0.0	0.002897777777777771	0.003600435787523851	25	-0.8048408439386935
PON3	PON3	1	3565.5	0	0	0.000737405405412543	6742.5	94.56445504278301	0.0	0.01498444444444444	0.005562692637807388	25	-2.6937394208339303
PPP1R26	PPP1R26	1	3565.5	0	0	0.386411698755856	2135.5	29.941085706270165	0.0	0.0030555555555556095	0.0035026445035884453	25	-0.87235674428998
PPP4R1	PPP4R1	1	3565.5	0	0	0.4677946281801121	219.0	3.0579323888343386	0.0	0.002331111111111154	0.004376784762353158	25	-0.5326081216426651
PPP4C	PPP4C	1	3565.5	0	0	0.00172368625239525	4795.5	67.25347173516623	0.0	0.004891111111111108	0.0048575510773573366	25	-1.0069088380583802
PPP2R3C	PPP2R3C	1	3565.5	0	0	0.208547910308397	2484.0	34.82956936456726	0.0	0.0030799999999999873	0.002434273875391112	25	-1.2652643694436918
PPP2R3B	PPP2R3B	1	3565.5	0	0	0.0672683764005288	4115.5	57.714967036049934	0.0	0.003173333333333334	0.0022384431134198158	25	-1.4176519895943325
PPP2R1A	PPP2R1A	1	3565.5	0	0	0.0124719123668216	3936.0	55.19708233973909	0.0	0.0037866666666666023	0.00423984140552836	25	-0.8931151674044081
PPP1R8	PPP1R8	1	3565.5	0	0	0.16281782560800304	1121.5	15.717491934352644	0.0	0.002824444444444388	0.0042786398842692445	25	-0.660126704009066
PPP1R3C	PPP1R3C	1	3565.5	0	0	0.0120550961717053	6909.0	96.89998597278722	0.0	0.01766000000000004	0.004872772256633865	25	-3.6242202733685023
PPP1R36	PPP1R36	1	3565.5	0	0	0.0197672030513923	5929.5	83.16033104222191	0.0	0.00791555555555554	0.004244917076652269	25	-1.8647138242328403
PPP1R35	PPP1R35	1	3565.5	0	0	0.0006607998605950691	5437.5	76.25894234815543	0.0	0.0057000000000000375	0.0050936194250980815	25	-1.119047090937753
PPP1R32	PPP1R32	1	3565.5	0	0	0.259005215240108	477.0	6.6769532893814	0.0	0.001848888888888878	0.0013435679726456838	25	-1.3761037227228203
PPP1R27	PPP1R27	1	3565.5	0	0	0.0623948386620344	1859.5	26.069574975452376	0.0	0.002691111111111103	0.0034912103034214514	25	-0.7708246932227955
