	Gene ID	Adj P-value (Real)	Rank (Real)	abs(logFC) (Real)	logFC (Real)	Median adj p-value (simulated)	Rank (simulated)	Percentile (simulated)	Percent DE (simulated)	Mean abs(logFC) (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score
CTDSP1	CTDSP1	0.0849561350169026	7130.0	1.60648057910548	1.60648057910548	0.0287039011644157	4506.0	63.192593631645394	0.0	0.0037577777777777575	0.002352756460614423	25	681.2106684893134
HPRT1	HPRT1	0.106641360157285	7129.0	1.4077303534770602	-1.4077303534770602	0.0008140413081732201	5581.0	78.27184738392482	0.0	0.006104444444444425	0.0037982262483618684	25	369.02117393273267
SUZ12	SUZ12	0.11057518989779999	7128.0	1.37690965305507	-1.37690965305507	0.191945608048761	2545.5	35.69224295132557	0.0	0.0033888888888888836	0.0038980051878421346	25	352.3650426249272
MRPL47	MRPL47	0.112815614622876	7127.0	1.23339933086639	-1.23339933086639	0.0212243073155422	3911.5	54.85341562631505	0.0	0.0038999999999999964	0.003377942247457834	25	363.97878968821465
GNPNAT1	GNPNAT1	0.431883567970789	7126.0	1.21665158286826	-1.21665158286826	0.187206966446304	4616.0	64.73558703885539	0.0	0.004273333333333305	0.003566134435886408	25	339.96986690536096
PSMB5	PSMB5	0.232609674624895	7125.0	1.19383435988876	-1.19383435988876	0.162200804894062	4153.0	58.24098751578062	0.0	0.004246666666666661	0.0037866888366591533	25	314.1498402788278
PSMD2	PSMD2	0.388862534959248	7124.0	1.18026777449047	-1.18026777449047	0.008701976371303429	3959.5	55.52672184037032	0.0	0.00408222222222223	0.004056066685193045	25	289.9818083765721
RNF130	RNF130	0.253821955305771	7123.0	1.17689397444864	1.17689397444864	0.000444167052997854	5728.5	80.34086127086549	0.0	0.005462222222222157	0.0033970651215908896	25	344.8364132854248
PFDN2	PFDN2	0.501983124863343	7122.0	1.15595804354843	-1.15595804354843	0.0038768227862169	4864.5	68.22134941787067	0.0	0.004997777777777794	0.004743266832776069	25	242.65138486780748
MRPS35	MRPS35	0.20015859276510398	7121.0	1.134548161879	-1.134548161879	0.31289197931420004	1051.0	14.72857343245897	0.0	0.002788888888888862	0.003772156765918736	25	300.0297557130988
F13A1	F13A1	0.0754218544924429	7120.0	1.12653159461332	1.12653159461332	4.5285466533494e-08	7096.0	99.5230747650442	0.0	0.020840000000000053	0.014763196997829022	25	74.89513245511225
FIBP	FIBP	0.658029688465027	7119.0	1.11005190108064	-1.11005190108064	0.0110819662190415	3973.0	55.71608921307336	0.0	0.0039022222222222635	0.0037416326402808387	25	295.6328921631902
CILP	CILP	0.0324109298188039	7118.0	1.10893829450693	1.10893829450693	0.000212582479634303	6603.5	92.61467246458129	0.0	0.01098000000000003	0.005583837272264218	25	196.63149926676024
NSMCE1	NSMCE1	0.166321390371064	7117.0	1.10736378562747	-1.10736378562747	0.22001146109483105	1105.5	15.493056529667555	0.0	0.002879999999999995	0.00371307887507257	25	297.4576686324455
