	Gene ID	Adj P-value (Real)	Rank (Real)	Test statistic (Real)	Median adj p-value (simulated)	Rank (simulated)	Mean test statistic (simulated)	Std deviation (simulated)	Number of experiments (simulated)	abs(Z score)	Gene Name
PA4726	PA4726	1.03507506358398e-05	5549.0	4.531000000000001	0.9621645734876629	3657.0	0.12436000000000019	0.07662551250508325	25	57.50878337952609	cbrB
PA1985	PA1985	0.000926790925320934	5548.0	2.9735	0.9696708513431701	5549.0	0.42170000000000024	0.2780231555104722	25	9.178372194627803	pqqA
PA4131	PA4131	0.000347913254015501	5547.0	2.8815	0.964948778846976	5520.0	0.32657999999999954	0.2176087218687099	25	11.740889694400499	
PA4739	PA4739	0.000222794220448934	5546.0	2.785	0.9621645734876629	5452.0	0.33813999999999994	0.4304195753370579	25	5.684825087436799	
PA1216	PA1216	0.000222794220448934	5545.0	2.6005	0.9621645734876629	5458.0	0.30262000000000006	0.20253555654913188	25	11.345563411936366	
PA1041	PA1041	0.000431883988011827	5544.0	2.597	0.9656866313522099	5509.0	0.3300999999999999	0.18757109763144933	25	12.085550645196617	
PA4133	PA4133	0.00184478485488418	5543.0	2.591	0.9679037971685991	5513.0	0.3365600000000001	0.24507538466085568	25	9.198965465747516	
PA3874	PA3874	0.000347913254015501	5542.0	2.542	0.9627488062498349	3008.0	0.2008199999999999	0.22970542186316212	25	10.192097256610099	narH
PA1988	PA1988	0.000347913254015501	5541.0	2.4505	0.9621645734876629	5203.5	0.24093999999999968	0.15096083377264885	25	14.636644120074601	pqqD
PA4738	PA4738	0.000478499477169271	5540.0	2.425	0.9621645734876629	5347.0	0.2814599999999999	0.33138522145684174	25	6.4684236387384155	
PA1249	PA1249	0.000431883988011827	5539.0	2.404	0.966630361139268	5344.0	0.27018000000000036	0.19538023185573247	25	10.921371009404876	aprA
PA2321	PA2321	0.000347913254015501	5538.0	2.2475	0.9696708513431701	4802.5	0.20744000000000015	0.21637151306645386	25	9.42850549542277	
PA1123	PA1123	0.0025772204852756	5537.0	2.1755	0.968301598131613	4335.5	0.17960000000000004	0.15696967594623704	25	12.715194753180267	
PA4132	PA4132	0.00251707150267013	5536.0	2.0869999999999997	0.9696708513431701	5416.5	0.2531	0.14691813196471057	25	12.482462004352865	
PA3915	PA3915	0.000917066444148015	5535.0	2.0655	0.9882072457000458	4505.0	0.16063999999999973	0.13528215267851573	25	14.080645246137577	moaB1
PA3875	PA3875	0.0023563519979474604	5534.0	2.0425	0.973142675814635	4066.5	0.17229999999999981	0.209915756912148	25	8.909288314086393	narG
PA4587	PA4587	0.0006456847240718309	5533.0	1.9885	0.9624700951031829	5531.0	0.42392	0.29612988704283094	25	5.283424836391829	ccpR
PA3873	PA3873	0.00119674585609249	5532.0	1.9545	0.979565478336555	1398.0	0.1848000000000001	0.2921019727766318	25	6.058500677615335	narJ
PA1217	PA1217	0.0010399010712234301	5531.0	1.942	0.9734994583799531	4717.5	0.14804000000000025	0.1106768870782568	25	16.20898497742836	
PA5167	PA5167	0.0006000004080735991	5530.0	1.925	0.9696708513431701	3787.0	0.14327999999999982	0.11863556591511687	25	15.018430487150974	dctP
PA3872	PA3872	0.0011036747834704199	5529.0	1.8915	0.970918182788261	4200.5	0.22376	0.24097164943896104	25	6.920897142393692	narI
PA3334	PA3334	0.00514539511203675	5528.0	1.861	0.9621645734876629	5434.0	0.22907999999999995	0.17114295194368978	25	9.53542042757882	
PA0572	PA0572	0.0011036747834704199	5527.0	1.8205	0.970918182788261	3193.0	0.14586000000000005	0.13293854469891933	25	12.597098936149353	
PA0997	PA0997	0.0016025893473352699	5526.0	1.8130000000000002	0.9621645734876629	5519.0	0.3269399999999997	0.21074403510736298	25	7.051492580764772	pqsB
