	Gene ID	Adj P-value (Real)	Rank (Real)	Test statistic (Real)	Median adj p-value (simulated)	Rank (simulated)	Mean test statistic (simulated)	Std deviation (simulated)	Number of experiments (simulated)	abs(Z score)	Gene Name
PA5530	PA5530	8.781217508934929e-05	5549.0	4.255	0.6587821131526179	5391.0	0.4743600000000002	0.46574773035768324	25	8.117355713352714	
PA0755	PA0755	0.00130276043595332	5548.0	2.4905	0.9315337109749499	3333.5	0.02238	0.13074986296997296	25	18.876654582550575	opdH
PA3452	PA3452	0.00327878227580453	5547.0	2.125	0.5488815952719489	5533.0	0.6334199999999993	0.2837319627159878	25	5.257003778220976	mqoA
PA2110	PA2110	0.0530709759581141	5546.0	2.083	0.7698983485510641	595.0	-0.2638199999999998	0.28361585962941677	25	8.27464304382147	
PA2113	PA2113	0.00531208876236628	5545.0	2.0669999999999997	0.7408751489234421	730.0	-0.26609999999999984	0.33157785661892464	25	7.036356479864039	opdO
PA0754	PA0754	0.00531208876236628	5544.0	2.029	0.949434730350187	3159.5	0.05519999999999985	0.1983053726789398	25	9.953335975398003	
PA3967	PA3967	0.00948374212558262	5543.0	1.9709999999999999	0.6740393429707049	5447.0	0.4667599999999999	0.33854077548600653	25	4.443305235065185	
PA2112	PA2112	0.00857644317639251	5542.0	1.9585	0.7377250842643559	726.0	-0.23169999999999985	0.3505489742294701	25	6.247914445661137	
PA5446	PA5446	0.00516862100643986	5541.0	1.8745	0.684231939944692	209.0	-0.4064199999999994	0.41043527910418875	25	5.557319548598037	
PA3365	PA3365	0.007599669686430459	5540.0	1.847	0.6923350413240179	467.0	-0.31008	0.19516956729982274	25	11.052337871335535	
PA4770	PA4770	0.0400271899475196	5539.0	1.796	0.7317199322300211	5536.0	0.5078800000000002	0.4404003926353079	25	2.9248838591901114	lldP
PA2111	PA2111	0.19012593696010102	5538.0	1.7380000000000002	0.779328060430115	681.5	-0.2012399999999998	0.2612230496465938	25	7.423694052357093	
PA0753	PA0753	0.00857644317639251	5537.0	1.72	0.9181508230908559	3753.5	0.05914000000000017	0.10692827814318659	25	15.53246745239794	
PA2114	PA2114	0.0783580189667288	5536.0	1.6815	0.6587821131526179	256.5	-0.4316200000000003	0.316230805741629	25	6.682207936839934	
PA3366	PA3366	0.11238300882831599	5535.0	1.6705	0.639838744231524	369.5	-0.3563999999999998	0.1879252400113761	25	10.785672003810138	amiE
