	Gene ID	Adj P-value (Real)	Rank (Real)	Test statistic (Real)	Median adj p-value (simulated)	Rank (simulated)	Mean test statistic (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score	Gene Name
PA5471	PA5471	4.790259851237479e-10	5549.0	5.024	0.0018075956751022	4090.5	0.5146533333333343	0.605931273452813	25	7.442010116049626	armZ
PA2398	PA2398	4.3994327187172503e-10	5548.0	4.686	0.000134811177752959	5429.0	1.116266666666666	0.8875389923620043	25	4.022058032440034	fpvA
PA4230	PA4230	5.56331299559397e-10	5547.0	4.62	0.00684423600003848	4418.5	0.6309733333333335	0.7422273406343818	25	5.374400063540162	pchB
PA4229	PA4229	4.790259851237479e-10	5546.0	4.47366666666667	0.011848782610053999	3868.0	0.5180266666666665	0.5138499467527242	25	7.698044974019513	pchC
PA5470	PA5470	4.790259851237479e-10	5545.0	4.3553333333333395	0.0018165598271921	4053.0	0.5040666666666669	0.4860841167108	25	7.923045691612297	
PA5446	PA5446	4.790259851237479e-10	5544.0	4.273	0.00255993023219365	4358.0	0.6729466666666671	0.7287100835901247	25	4.9403094789041555	
PA1586	PA1586	1.6973495126337803e-09	5543.0	4.138	1.69124886799135e-05	5415.0	1.1872266666666655	0.6984421734328689	25	4.224792610718472	sucB
PA4270	PA4270	2.1603909989200302e-09	5542.0	4.104	3.52821456769595e-06	5509.0	1.2455333333333334	0.6290839018410473	25	4.543856007602821	rpoB
PA4826	PA4826	7.55551590902568e-10	5541.0	4.08466666666667	0.00031899817430654703	4200.0	0.6216400000000009	0.6669727208592352	25	5.192156378157993	
PA0999	PA0999	2.6966885353710603e-09	5540.0	3.985	0.000129147756826382	5474.5	1.1076266666666676	0.5596844292727554	25	5.1410637545735245	pqsD
PA2405	PA2405	2.6966885353710603e-09	5539.0	3.9130000000000003	0.0005460943412371241	4713.0	0.6646133333333331	0.5200408787350815	25	6.246406387451429	fpvJ
PA4221	PA4221	1.6973495126337803e-09	5538.0	3.89366666666666	0.0159313215073472	3641.5	0.4634399999999998	0.502749253825624	25	6.8229373600550725	fptA
PA0805	PA0805	8.417569794702679e-09	5537.0	3.89266666666667	0.000577722963457119	5322.0	1.0644400000000003	0.7080779455942953	25	3.9942306977135367	
PA4269	PA4269	7.74450420009847e-09	5536.0	3.841	3.4642939105784402e-06	5457.0	1.12368	0.5374536627744115	25	5.055914934085315	rpoC
PA0998	PA0998	2.1603909989200302e-09	5535.0	3.8183333333333396	0.00013182391828124	5521.0	1.2439199999999997	0.6463602601691452	25	3.9829387602815265	pqsC
PA4354	PA4354	5.23193568522121e-09	5534.0	3.78566666666667	0.000779710756840703	4850.0	0.6214000000000005	0.4436717901866288	25	7.131998780755552	
PA4228	PA4228	3.977784831871861e-09	5533.0	3.77833333333333	0.0186740010412317	3781.0	0.45758666666666625	0.4492408027872007	25	7.391907961307016	pchD
