	Gene ID	Adj P-value (Real)	Rank (Real)	abs(log2FoldChange) (Real)	log2FoldChange (Real)	Median adj p-value (simulated)	Rank (simulated)	Percentile (simulated)	Percent DE (simulated)	Mean abs(log2FoldChange) (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score
PAX7	PAX7	5.950002344388559e-13	17569.0	10.6940692814481	10.6940692814481	0.999994507706894	16956.0	95.49960572265404	0.0	1.3484802411211976	0.9162801926893942	25	10.199488229573594
PRAME	PRAME	2.9598499983981297e-15	17568.0	8.66489619410186	8.66489619410186	0.999976315450663	17594.0	99.09316210431452	0.0	2.196133424565035	0.8528896441615338	25	7.58452493100229
SLCO1B3	SLCO1B3	0.000529182777851368	17567.0	8.3255294992486	8.3255294992486	0.999994507706894	14245.0	80.22980736735383	0.0	0.7849255946158393	0.6442489678829563	25	11.704487365205521
KCNC2	KCNC2	1.98386379332695e-10	17566.0	8.23078313383692	8.23078313383692	0.999994507706894	13040.0	73.44260448349667	0.0	0.7905828472997771	0.5991828463026129	25	12.417245140525143
HOTAIR	HOTAIR	3.1151546742384003e-10	17565.0	8.22835548772391	8.22835548772391	0.999994507706894	10762.0	60.61169313957418	0.0	0.6334470206618904	0.465144170178665	25	16.328074076785192
HOXB13	HOXB13	2.88166564587678e-07	17564.0	8.19790570168982	8.19790570168982	0.999994507706894	10312.0	58.077053058465694	0.0	0.7556979757215773	0.5453807979162711	25	13.645892474400608
PADI3	PADI3	3.6529616704384697e-10	17563.0	8.12589684849185	8.12589684849185	0.999994507706894	14802.0	83.36712853441477	0.0	0.9306284023558757	0.6177710384172418	25	11.64714432805168
HOXC12	HOXC12	3.15945302438842e-08	17562.0	8.0591155607979	8.0591155607979	0.999994507706894	13827.0	77.87540835867973	0.0	0.8294722339839038	0.5743464540636724	25	12.587599828748164
HOXC13	HOXC13	3.32523708520592e-10	17561.0	8.00650774991529	8.00650774991529	0.999994507706894	14776.0	83.22068266306184	0.0	0.956052823419386	0.8120615588972414	25	8.682168056409713
HOXC11	HOXC11	2.83205751386451e-10	17560.0	7.76546149279557	7.76546149279557	0.999994507706894	6422.0	36.16649769066125	0.0	0.702041873003447	0.5820598167817173	25	12.135212595239212
SPP2	SPP2	4.68266018593498e-05	17559.0	7.70510245607204	7.70510245607204	0.999994507706894	9661.0	54.410273741128755	0.0	0.8566715837445256	0.6665154972365945	25	10.274976201935948
CHRM2	CHRM2	5.94726203654775e-17	17558.0	7.410503413675361	-7.410503413675361	0.999994507706894	12992.0	73.1722428748451	0.0	0.7781185884820954	0.6215701978069824	25	10.670371341151133
BPIFB2	BPIFB2	2.31161329563988e-11	17557.0	7.21499930196149	7.21499930196149	0.999993678328011	17102.0	96.3219556156359	0.04	1.6857565712379796	1.5453678004408733	25	3.5779461233410514
ISX	ISX	1.6988982650453503e-08	17556.0	7.21124317506412	7.21124317506412	0.999994507706894	7203.0	40.56550636476287	0.0	0.5934453055598616	0.5167229811972346	25	12.807245100984249
