	Gene ID	Adj P-value (Real)	Rank (Real)	abs(log2FoldChange) (Real)	log2FoldChange (Real)	Median adj p-value (simulated)	Rank (simulated)	Percentile (simulated)	Percent DE (simulated)	Mean abs(log2FoldChange) (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score
PAX7	PAX7	5.950002344388559e-13	17569.0	10.6940692814481	10.6940692814481	0.0481002524599047	8799.0	49.555029852427616	0.0	0.15402255261593062	0.05069173973987218	25	207.92434394477434
PRAME	PRAME	2.9598499983981297e-15	17568.0	8.66489619410186	8.66489619410186	0.844903319790959	3532.0	19.888475836431226	0.0	0.06859583439873383	0.042136084660463764	25	204.01279399765932
SLCO1B3	SLCO1B3	0.000529182777851368	17567.0	8.3255294992486	8.3255294992486	0.000964131001375082	11668.0	65.71476850287259	0.0	0.25919687506582656	0.07891505146921994	25	102.2153882435085
KCNC2	KCNC2	1.98386379332695e-10	17566.0	8.23078313383692	8.23078313383692	0.59207810349442	6125.0	34.49363523712966	0.0	0.10991892981895493	0.03730022496259713	25	217.71622589840084
HOTAIR	HOTAIR	3.1151546742384003e-10	17565.0	8.22835548772391	8.22835548772391	7.22865670247122e-08	17541.0	98.79463782809508	0.72	1.0424275498178721	0.13255460716375583	25	54.211076413426035
HOXB13	HOXB13	2.88166564587678e-07	17564.0	8.19790570168982	8.19790570168982	0.0583599288700996	13852.0	78.01622169651908	0.0	0.3546717935522921	0.05542912098018979	25	141.5002397555732
PADI3	PADI3	3.6529616704384697e-10	17563.0	8.12589684849185	8.12589684849185	0.30582000982503804	5145.0	28.973752393826743	0.0	0.09400699222101455	0.04801725761709515	25	167.27089914879508
HOXC12	HOXC12	3.15945302438842e-08	17562.0	8.0591155607979	8.0591155607979	0.0391354423279594	9303.0	52.393826743269116	0.0	0.18122782367347767	0.06692804494553113	25	117.70682594323173
HOXC13	HOXC13	3.32523708520592e-10	17561.0	8.00650774991529	8.00650774991529	0.318419174901905	2386.0	13.433592429874956	0.0	0.04996558196161441	0.035046590548102316	25	227.02756654839573
HOXC11	HOXC11	2.83205751386451e-10	17560.0	7.76546149279557	7.76546149279557	0.004105353524726071	14383.0	81.0070969922271	0.0	0.37644988080062375	0.07236155803805341	25	102.11238967670128
