pathway	Pathway ID	Adj P-value (Real)	Rank (Real)	padj (Real)	Median adj p-value (simulated)	Rank (simulated)	Mean padj (simulated)	Std deviation (simulated)	Number of experiments (simulated)	abs(Z score)
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	0.00205279796362442	49.0	0.00205279796362442	0.6938737203593439	19.0	0.6001140948741035	0.3993219222072136	22	1.4976921216965817
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	0.00205279796362442	49.0	0.00205279796362442	0.0101342547462093	46.0	0.2332400497016805	0.36619790026361326	21	0.6313177972119237
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	0.00205279796362442	49.0	0.00205279796362442	0.0087991200879912	47.0	0.24480201948280061	0.37439788741850255	21	0.6483723057118395
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	0.002724795640326976	44.0	0.002724795640326976	0.169125944548402	38.0	0.24502246701283184	0.3143135001021677	25	0.7708789832245383
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	0.002724795640326976	44.0	0.002724795640326976	0.0150061209177428	45.0	0.213442192832076	0.36461774034087374	25	0.5779131783186238
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	0.002724795640326976	44.0	0.002724795640326976	0.562475674834843	25.0	0.5402706830748967	0.41303061028415755	24	1.3014674313478796
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.002724795640326976	44.0	0.002724795640326976	0.1084031302752077	39.0	0.37678788703285426	0.45193529440152236	22	0.8276916984053708
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	0.002724795640326976	44.0	0.002724795640326976	0.999055118110236	10.0	0.6687820764170417	0.3845505362220224	25	1.732040962210914
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	0.002724795640326976	44.0	0.002724795640326976	0.370082312528356	33.0	0.5379451162247101	0.39955766283546834	25	1.3395321135532283
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	0.002724795640326976	44.0	0.002724795640326976	0.005	49.0	0.1492536357104299	0.3198990593011473	23	0.45804711145512705
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	0.0032548904729355864	40.0	0.0032548904729355864	0.5410814606741571	29.0	0.4421528863609707	0.37467768700299625	25	1.1714014768232657
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	0.004169272461955389	38.5	0.004169272461955389	0.4786289690241365	31.0	0.5230353184532303	0.43955782498633833	24	1.1804272759958294
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	0.004169272461955389	38.5	0.004169272461955389	0.295508659773639	37.0	0.41602695961918124	0.3943181314695124	25	1.0444807232737396
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	0.010743446497636441	37.0	0.010743446497636441	0.5208385797028455	30.0	0.5193219312366695	0.4772947406030006	22	1.065543869384585
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	0.024397682220189083	36.0	0.024397682220189083	0.999055118110236	10.0	0.7448415035907142	0.35357205350687865	25	2.0376152872515108
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	0.027692307692307697	35.0	0.027692307692307697	0.00300480769230769	50.0	0.05997800058268407	0.14508590586607564	25	0.22252811324194582
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	0.039489480002527326	34.0	0.039489480002527326	0.647785221477852	21.0	0.560215828884499	0.45260557020600406	25	1.1505080431179013
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	0.049389367816091954	33.0	0.049389367816091954	0.999900009999	5.5	0.8094589286632359	0.3150857801208077	25	2.412262338705746
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	0.05689900426742533	32.0	0.05689900426742533	0.43180832248807	32.0	0.435604244993267	0.3754736468439037	25	1.0086067129054237
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.05913660555884092	30.5	0.05913660555884092	0.7773049091571659	15.0	0.6176024459204656	0.39091483565064516	25	1.4286125504346872
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	0.05913660555884092	30.5	0.05913660555884092	0.0942572409425724	40.0	0.3425555554323121	0.40741163968300503	25	0.6956574684365696
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	0.0756355828819597	29.0	0.0756355828819597	0.999900009999	5.5	0.8124334577400651	0.344203983833027	23	2.1405849713102834
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	0.1525252352144779	28.0	0.1525252352144779	0.5525114155251141	26.0	0.5441868069968367	0.36001451626873887	25	1.0879049429495684
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	0.19863657733897508	27.0	0.19863657733897508	0.5493939393939389	27.0	0.5626032056126087	0.3595734797224159	25	1.0122176656482262
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	0.2193595877806404	26.0	0.2193595877806404	0.07770430796474581	41.0	0.2811853670805416	0.35544502799550987	24	0.17393907476652676
