	Gene ID	Adj P-value (Real)	Rank (Real)	abs(log2FoldChange) (Real)	Median adj p-value (simulated)	Rank (simulated)	Mean abs(log2FoldChange) (simulated)	Std deviation (simulated)	Number of experiments (simulated)	abs(Z score)
PAX7	PAX7	5.94766566495663e-13	17568.0	10.6941243975185	0.00563540445682538	15357.0	2.467109434094252	2.4051033117447855	21	3.4206493015287354
PRAME	PRAME	2.96345053790788e-15	17567.0	8.66496299445091	1.1102991750929527e-07	13320.0	3.1768709753342836	3.246629802226634	24	1.690396612312476
SLCO1B3	SLCO1B3	0.0005290056455446299	17566.0	8.32567155901911	1.006884925008e-06	16606.0	3.6351543538799365	2.806339658985345	21	1.6714003916529006
KCNC2	KCNC2	1.98434588484466e-10	17565.0	8.23084438600122	0.0008824055824317745	16760.0	3.0043050700214193	2.585394667003936	23	2.021563431952358
HOTAIR	HOTAIR	3.11588592596846e-10	17564.0	8.22842028257687	0.000779862812135788	16888.0	2.9808828038192043	2.502783142201225	18	2.0966808471238143
HOXB13	HOXB13	2.88203838168249e-07	17563.0	8.19796498423657	0.0006014860558094815	15390.0	3.48401308750145	3.405769155095905	24	1.384107871692313
PADI3	PADI3	3.6540573516691e-10	17562.0	8.12594340875217	0.0006217242774730259	16165.0	2.940694749387624	2.530253370740208	23	2.0493001686418606
HOXC12	HOXC12	3.15985319198548e-08	17561.0	8.059173365793379	0.0034113494306060397	13741.0	2.286379026298754	2.331233673659443	22	2.4762830104597833
HOXC13	HOXC13	3.32595465039426e-10	17560.0	8.00656640517351	0.004911409360627859	16465.0	2.6912218434092874	2.4917025443073353	24	2.1332179372324824
HOXC11	HOXC11	2.83279464983229e-10	17559.0	7.7655142202497105	0.0019115778519133047	16276.0	2.9416535843165645	3.040945770594737	22	1.5863027491574482
SPP2	SPP2	4.68281555916394e-05	17558.0	7.70515423679875	6.7592875199321e-05	16750.0	2.669786562650599	1.8953282196498098	15	2.6567259548736684
CHRM2	CHRM2	5.960934292287599e-17	17557.0	7.4104438315977	0.00029885228965540096	16812.0	2.9182992886625194	2.408267536078047	21	1.8653012905081154
BPIFB2	BPIFB2	2.3124589394098602e-11	17556.0	7.21504500993132	0.00536419656375641	15483.0	4.099042807885517	4.708103808852092	20	0.6618380410786933
ISX	ISX	1.69840160148138e-08	17555.0	7.211308771230611	0.000879085154695821	15050.5	2.0388161148724246	1.7304412072011204	21	2.9891178243058407
HOXB9	HOXB9	7.79134708857693e-14	17554.0	7.1977976361553	2.876098997350765e-06	14677.0	2.8252754985982675	2.6744212391587707	24	1.6349414495871986
ANKS4B	ANKS4B	7.87548751079045e-11	17553.0	7.04236123235842	0.000830453692609629	14911.0	2.0570703618740858	1.8048029625786755	23	2.7622355314407425
