pathway	Pathway ID	Adj P-value (Real)	Rank (Real)	padj (Real)	Median adj p-value (simulated)	Rank (simulated)	Mean padj (simulated)	Std deviation (simulated)	Number of experiments (simulated)	abs(Z score)
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	0.0020678246484698098	49.0	0.0020678246484698098	0.38262336588182855	36.0	0.5214285149302073	0.44577792165564306	22	1.1650659780385804
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	0.0020678246484698098	49.0	0.0020678246484698098	0.020364285714285748	47.0	0.3586743548339386	0.46546983447050405	20	0.7661216770172166
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	0.0020678246484698098	49.0	0.0020678246484698098	0.016350805395650928	48.0	0.3701797229683944	0.4771322617009234	20	0.7715091346111174
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	0.0022353361945636626	43.0	0.0022353361945636626	0.137226277372263	40.0	0.33750936281930627	0.40449852464604175	25	0.828863410362561
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	0.0022353361945636626	43.0	0.0022353361945636626	0.8812993700629941	15.0	0.6154903038988143	0.4275342889213021	25	1.4343994940184435
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	0.0022353361945636626	43.0	0.0022353361945636626	0.404017651456143	35.0	0.5270172993326131	0.448375407898817	24	1.1704075511127827
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	0.0022353361945636626	43.0	0.0022353361945636626	0.08023163016372944	42.0	0.2868020962030946	0.38917573266800676	24	0.7312037625205311
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	0.0022353361945636626	43.0	0.0022353361945636626	0.43196181255882793	34.0	0.4729038378138262	0.4105185596782721	25	1.1465218575942842
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	0.0022353361945636626	43.0	0.0022353361945636626	0.9006644244135991	13.0	0.6948939300998357	0.3853472013394166	24	1.7974922135094824
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.0022353361945636626	43.0	0.0022353361945636626	0.334096109839817	38.0	0.4704142315934891	0.45922762526994143	23	1.0194920114479662
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	0.0022353361945636626	43.0	0.0022353361945636626	0.0219311402193114	46.0	0.2136419612786757	0.3439105909641942	25	0.614713912971998
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	0.0022353361945636626	43.0	0.0022353361945636626	0.82967669375973	18.0	0.6747049100439756	0.3719206953504774	24	1.8080993670323025
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	0.002807411566535654	38.0	0.002807411566535654	0.559835697766732	32.0	0.5341385571287907	0.4133469739401714	25	1.2854361566928052
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	0.011125945705384959	37.0	0.011125945705384959	0.9184458491535176	12.0	0.6078941075497751	0.4530888457132899	22	1.317110689195865
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	0.021377309512902735	36.0	0.021377309512902735	1.0	3.0	0.8090619107713712	0.33689290125779386	25	2.3380860751818697
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	0.02320759971532011	34.5	0.02320759971532011	0.654902401558578	28.0	0.5676637714496422	0.40991649700724114	25	1.3282123937663926
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	0.02320759971532011	34.5	0.02320759971532011	0.0046995300469953	50.0	0.06632810587808442	0.13192905386581824	25	0.32684617147805145
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	0.03968253968253968	33.0	0.03968253968253968	0.8913757412566731	14.0	0.7366987075958095	0.33554043137231604	25	2.077294128348604
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	0.045538597411199734	32.0	0.045538597411199734	0.0971236209712362	41.0	0.33062146848119656	0.42380024268893085	25	0.6726821798430339
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.05291805261566375	31.0	0.05291805261566375	0.719006171133831	26.0	0.6788060479516125	0.33966886130241697	25	1.8426416626359596
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	0.0562429696287964	30.0	0.0562429696287964	0.334434253671055	37.0	0.49525537060724545	0.45116354525319813	25	0.973067096394214
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	0.06821772224615827	29.0	0.06821772224615827	0.9996974586526826	6.0	0.749072863711726	0.3755493463738545	22	1.8129578656962573
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	0.14389968136499126	28.0	0.14389968136499126	0.5833479152084791	31.0	0.5499366139113728	0.3027257938843293	25	1.341269692735622
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	0.18349381667138678	27.0	0.18349381667138678	0.8019631653511429	21.5	0.641794673711348	0.3823493348587441	25	1.198644316222694
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	0.20699024329998764	26.0	0.20699024329998764	0.0434138133805667	44.0	0.39226728984177767	0.47877043504600747	24	0.38698514565542425
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	0.2097432094187448	24.0	0.2097432094187448	0.517331523284505	33.0	0.4998954507553253	0.4049195068008867	25	0.716567704107322
HALLMARK_COAGULATION	HALLMARK_COAGULATION	0.2097432094187448	24.0	0.2097432094187448	0.012665400126654	49.0	0.22588376777517902	0.3068196897281393	25	0.05260600573169121
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	0.2097432094187448	24.0	0.2097432094187448	0.0370140825672279	45.0	0.1683240302172653	0.2618812334388066	25	0.1581601654215435
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	0.2840610205155182	21.5	0.2840610205155182	1.0	3.0	0.7490659943442891	0.34642786035819634	25	1.3422851538209695
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	0.2840610205155182	21.5	0.2840610205155182	0.8019631653511429	21.5	0.6668290372655696	0.37201553311642804	25	1.0289033190188277
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	0.2916374205411604	20.0	0.2916374205411604	0.7989047362459729	23.0	0.6610958577142013	0.36730685764975446	25	1.0058577167250662
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	0.3126554533018281	19.0	0.3126554533018281	0.927485822846287	11.0	0.6606209976769569	0.4208633468410277	17	0.8267898523046378
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	0.3486862111760403	18.0	0.3486862111760403	0.8090185676392571	20.0	0.732328852441645	0.2799135874253417	25	1.3705752721558382
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	0.3502949852507375	17.0	0.3502949852507375	0.7301214323012146	25.0	0.5886758939080426	0.41010432743986175	24	0.5812689423333668
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.3510482691370063	16.0	0.3510482691370063	0.9743589743589741	10.0	0.7590099567210497	0.33357655082152526	25	1.222992703112146
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	0.387115110672803	15.0	0.387115110672803	0.7428714266783921	24.0	0.5973698935415679	0.4370424338240374	19	0.4810855116037037
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	0.4220756189260126	14.0	0.4220756189260126	0.8242609033569483	19.0	0.5818285136546922	0.44819862662511833	24	0.3564332535590296
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.5213230192643121	13.0	0.5213230192643121	0.0473484848484849	43.0	0.3494746114251004	0.44638782880767713	25	0.3849755677663231
