pathway	Pathway ID	Adj P-value (Real)	Rank (Real)	padj (Real)	Median adj p-value (simulated)	Rank (simulated)	Mean padj (simulated)	Std deviation (simulated)	Number of experiments (simulated)	abs(Z score)
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	0.0020534724218653744	44.0	0.0020534724218653744	0.0460405156537753	42.0	0.1947089116101605	0.2986569574949819	25	0.645072663982831
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	0.0020534724218653744	44.0	0.0020534724218653744	0.503722269187417	28.0	0.5173442214563201	0.4514625865687364	20	1.1413808460870107
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	0.0020534724218653744	44.0	0.0020534724218653744	0.00253472574267464	48.0	0.16827949497989753	0.29416455194521374	17	0.56507835991398
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	0.0020534724218653744	44.0	0.0020534724218653744	0.360364943698277	31.0	0.47123819817083196	0.4198009642497155	24	1.1176361316547037
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	0.0020534724218653744	44.0	0.0020534724218653744	0.30120315461946195	34.0	0.3682510351351283	0.3731163578492189	25	0.9814567359741649
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	0.0020534724218653744	44.0	0.0020534724218653744	0.9877355731060129	9.0	0.6421933491006777	0.43422739007344635	23	1.4742042793996422
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	0.0020534724218653744	44.0	0.0020534724218653744	0.0024050024050024103	49.0	0.11161679203439145	0.20383956420714439	17	0.5374978112746868
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	0.0020534724218653744	44.0	0.0020534724218653744	0.0020997900209979	50.0	0.06473734721441775	0.21835236640168015	23	0.2870766908806446
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	0.0020534724218653744	44.0	0.0020534724218653744	0.263692091247111	35.0	0.394356820176535	0.3843306303640103	25	1.020744423579011
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	0.0020534724218653744	44.0	0.0020534724218653744	0.7173089117963689	15.0	0.5456892069099184	0.4414584482215638	25	1.231453915262275
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.0020534724218653744	44.0	0.0020534724218653744	0.0204918032786885	45.0	0.1893532001920434	0.3255190318638437	23	0.5753879479726418
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	0.0020534724218653744	44.0	0.0020534724218653744	0.0281778177817782	43.0	0.22355724532014862	0.3504753418274981	25	0.6320095780299034
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	0.0020534724218653744	44.0	0.0020534724218653744	0.5414419436809629	25.5	0.5519991203107198	0.423621544222698	25	1.2982003757574423
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	0.012427763623935873	37.0	0.012427763623935873	0.7142857142857142	16.0	0.5564327571961278	0.42769191263699824	25	1.271955296554588
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	0.020721952836835346	36.0	0.020721952836835346	0.0035739303226544296	46.0	0.03948409457794451	0.09530545389423555	25	0.19686325361747187
