	Gene ID	Adj P-value (Real)	Rank (Real)	abs(log2FoldChange) (Real)	log2FoldChange (Real)	Median adj p-value (simulated)	Rank (simulated)	Percentile (simulated)	Percent DE (simulated)	Mean abs(log2FoldChange) (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score
PAX7	PAX7	5.950327669092929e-13	17569.0	10.694105634627599	10.694105634627599	0.00264425086314295	15704.0	88.44767376365888	0.5454545454545454	2.071918947923951	1.7091031417317684	22	5.044860357559883
PRAME	PRAME	2.95978441275017e-15	17568.0	8.66490888233078	8.66490888233078	0.020150429565751818	13854.0	78.02748676354624	0.5454545454545454	2.219811154922939	2.24780439153804	22	2.867285850882176
SLCO1B3	SLCO1B3	0.00052929418483685	17567.0	8.32539169829836	8.32539169829836	0.0002045843586990085	16755.0	94.36746648642558	0.7272727272727273	2.723604654510513	1.671154532599835	22	3.352046106156969
KCNC2	KCNC2	1.98400397806848e-10	17566.0	8.23080322929855	8.23080322929855	0.07810550016948085	15568.0	87.68164920581277	0.4090909090909091	2.091522361068692	1.8441822063542768	22	3.3289990799588436
HOTAIR	HOTAIR	3.11524118610906e-10	17565.0	8.22837840503405	8.22837840503405	0.0008867329032478122	17311.0	97.49915511997295	0.6	3.25261482984705	2.453550095897675	20	2.027985319519848
HOXB13	HOXB13	2.88184667016681e-07	17564.0	8.19793618016186	8.19793618016186	0.0074324717974769946	16031.0	90.28951222259772	0.5909090909090909	2.7403268571266692	2.3901860167866342	22	2.2833408298373365
PADI3	PADI3	3.65318518979776e-10	17563.0	8.12591586299922	8.12591586299922	0.0693508650985149	11871.0	66.8581728061282	0.42857142857142855	1.5097662553831104	1.3914322825083765	21	4.754920301036123
HOXC12	HOXC12	3.1595450221934e-08	17562.0	8.05914193956662	8.05914193956662	0.0252702319073078	14976.0	84.34718936577671	0.5238095238095238	1.725912957262347	1.2249487010007643	21	5.170199353760792
HOXC13	HOXC13	3.32533110142838e-10	17561.0	8.00652871690514	8.00652871690514	0.007545314290303314	13687.0	77.0868536667793	0.5	1.695232339280352	1.5749573004279829	22	4.00728094400384
HOXC11	HOXC11	2.83220334112063e-10	17560.0	7.76548166363597	7.76548166363597	0.01127676119763108	14733.0	82.97848372197814	0.45454545454545453	1.59953084081516	1.459042232662452	22	4.226026282713707
SPP2	SPP2	4.68272882967003e-05	17559.0	7.70514670084376	7.70514670084376	0.010886560339367125	16609.0	93.54511659344372	0.5	2.522915341697597	1.9155356975828342	18	2.705369242497276
CHRM2	CHRM2	5.947069965137031e-17	17558.0	7.41051456715951	-7.41051456715951	0.00011320831523419146	16764.0	94.41815928804776	0.7272727272727273	2.7568509715488214	2.0047062581837944	22	2.3213693161345104
BPIFB2	BPIFB2	2.31172533715399e-11	17557.0	7.21500825003983	7.21500825003983	0.0201110372700734	16490.0	92.87484510532838	0.5714285714285714	3.099086814005716	2.8854456831299293	21	1.4264421819125879
ISX	ISX	1.6989331516596498e-08	17556.0	7.21126357480646	7.21126357480646	0.1342119615579735	14842.0	83.59242987495774	0.4	2.3047473782612786	2.5186693503669733	20	1.9480588811033477
HOXB9	HOXB9	7.787810105378841e-14	17555.0	7.1977526664386	7.1977526664386	0.007611494557799184	12725.0	71.66835642672073	0.5	1.499367280760668	1.3765721809930087	22	4.139547104291564
ANKS4B	ANKS4B	7.874005308238471e-11	17554.0	7.04230614675423	7.04230614675423	0.0018730015295682116	16644.0	93.74225526641882	0.6363636363636364	2.0483654504532898	1.407579197718519	22	3.5478932229144844
KRTAP4.1	KRTAP4.1	2.5688225180605103e-09	17553.0	7.019457932547881	7.019457932547881	0.0541418152702044	14296.0	80.51706657654613	0.42857142857142855	1.9832666214012808	1.9819802890722622	21	2.5409896046463567
CDX2	CDX2	1.51486140973242e-09	17552.0	6.9987906553599695	6.9987906553599695	0.00412253778859507	16685.0	93.97318914047538	0.5454545454545454	2.3351808086931922	1.8111039990258306	22	2.57500941369202
COL11A1	COL11A1	2.4617589437797698e-20	17551.0	6.966714336382049	6.966714336382049	0.0072570453101908905	14848.0	83.62622507603919	0.5454545454545454	1.988398676559335	1.9309107925867814	22	2.5782214688196023
ZIC4	ZIC4	2.66217249141681e-08	17550.0	6.95778701006506	6.95778701006506	0.0015221215293331476	15708.0	88.47020389771319	0.6363636363636364	1.8958460944121514	1.3788584038903573	22	3.6711100294061945
TFAP2D	TFAP2D	2.86273491762705e-05	17549.0	6.899815265948289	6.899815265948289	0.07907308001159309	15309.0	86.222823025797	0.45	2.019874026774823	1.6215863103196584	20	3.009362627272981
SERPINA4	SERPINA4	1.71558664098229e-09	17548.0	6.88918031027231	6.88918031027231	0.11432811874842501	17150.0	96.59231722428748	0.42857142857142855	2.6136211440110935	2.2091804952196084	21	1.9353598203102886
ITLN1	ITLN1	6.66999093295982e-22	17547.0	6.8724012730785	-6.8724012730785	0.0785995066547507	14018.0	78.95122225977244	0.4090909090909091	2.45100686498919	2.5000844186503435	22	1.768498045548468
UGT2B15	UGT2B15	1.6756805783297201e-12	17546.0	6.84748031279471	6.84748031279471	0.0017231136850861723	16891.0	95.13349104427171	0.8	3.3697076041689726	2.9877082481477264	20	1.1640268793922008
CEACAM7	CEACAM7	1.00157183657519e-15	17545.0	6.79972765405446	6.79972765405446	0.1186527339806249	14160.0	79.7510420187	0.45	2.6807216722356944	3.0644506894482135	20	1.3441253912166675
HOXC10	HOXC10	8.25071744282247e-14	17544.0	6.74009453569664	6.74009453569664	0.0110398180720258	15787.0	88.91517404528557	0.4782608695652174	2.0590905491459113	1.7790012570427118	23	2.6312538948578963
LY6D	LY6D	2.51882497764605e-23	17543.0	6.73649247142179	6.73649247142179	0.185531984192154	11899.0	67.01588374450827	0.3333333333333333	1.4581735610130402	1.5037024489358812	21	3.510215012380964
TRPM8	TRPM8	2.74521643520496e-09	17542.0	6.73251369083188	6.73251369083188	0.011295995390764774	15537.0	87.50704066689197	0.5	2.419187391406927	2.282388703785656	22	1.889829848995794
DMRTA2	DMRTA2	2.0198350528326e-17	17541.0	6.71484356070068	6.71484356070068	0.0217177479016832	12924.0	72.78923059592204	0.47619047619047616	1.477577939207256	1.0674387147070892	21	4.906385302813901
FUT9	FUT9	1.17406491787449e-10	17540.0	6.71441898688659	6.71441898688659	0.0626027528336402	15882.0	89.45026472907513	0.4782608695652174	2.246896745336807	1.7310562082110668	23	2.5808071513556885
GLB1L3	GLB1L3	2.58871995667839e-24	17539.0	6.662789991420901	6.662789991420901	0.0036860083635871102	10600.0	59.699222710375125	0.4	1.526198119661036	1.6048570317313102	25	3.2006538714657595
CALML5	CALML5	4.76285476599479e-06	17538.0	6.5118518058195995	6.5118518058195995	0.00514364147498542	17374.0	97.85400473132815	0.5714285714285714	3.2979884189057986	2.9642817672047492	21	1.0841963211696983
CLDN10.AS1	CLDN10.AS1	5.43601278766861e-06	17537.0	6.36575335203765	6.36575335203765	0.0615997514889231	16299.0	91.79903120423566	0.47619047619047616	1.846838005849252	1.3980316312309613	21	3.2323412755757976
