pathway	Pathway ID	Adj P-value (Real)	Rank (Real)	padj (Real)	Median adj p-value (simulated)	Rank (simulated)	Percentile (simulated)	Mean padj (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	0.00206041125808711	49.0	0.00206041125808711	0.595643294758339	7.0	13.043478260869563	0.5390529583194504	0.38778831000820807	25	-1.3847569233069381
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	0.00206041125808711	49.0	0.00206041125808711	0.00132030631106417	39.0	82.6086956521739	0.08911344012413233	0.20858756035696252	25	-0.41734525643364645
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	0.00206041125808711	49.0	0.00206041125808711	0.0012667848999239901	41.0	86.95652173913042	0.013209388566190588	0.03444228452756337	25	-0.3237002847235992
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	0.00208463623097769	42.5	0.00208463623097769	0.0009274717121127811	47.0	99.99999999999999	0.05521267732186764	0.1712958658140308	25	-0.31015366797333555
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	0.00208463623097769	42.5	0.00208463623097769	0.00132030631106417	39.0	82.6086956521739	0.06125384199271271	0.1314037170765987	25	-0.45028563177740033
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	0.00208463623097769	42.5	0.00208463623097769	0.0009274717121127811	47.0	99.99999999999999	0.010654625101795339	0.023714431473511877	25	-0.36138285163572237
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	0.00208463623097769	42.5	0.00208463623097769	0.0009274717121127811	47.0	99.99999999999999	0.12103580348016031	0.2910290509118986	25	-0.40872609410114163
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	0.00208463623097769	42.5	0.00208463623097769	0.0009274717121127811	47.0	99.99999999999999	0.020418541259050422	0.0565213053557331	25	-0.32437157833993796
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	0.00208463623097769	42.5	0.00208463623097769	0.0009274717121127811	47.0	99.99999999999999	0.04674884507614699	0.13134753984669226	25	-0.34004602520382937
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	0.00208463623097769	42.5	0.00208463623097769	0.0014733616218764699	36.0	76.08695652173913	0.053223738290984396	0.17998770217659263	25	-0.2841255343647436
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.00208463623097769	42.5	0.00208463623097769	0.0009274717121127811	47.0	99.99999999999999	0.029953757576826088	0.07271497367797987	25	-0.3832652332278565
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	0.00208463623097769	42.5	0.00208463623097769	0.0011879118094272698	42.0	89.13043478260869	0.09500020749634645	0.2586473906886085	25	-0.35923645321917025
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	0.00208463623097769	42.5	0.00208463623097769	0.0784655623365301	26.0	54.34782608695652	0.11819037239343949	0.1590665601338481	25	-0.7299191990118068
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	0.0174448109616849	37.0	0.0174448109616849	0.0053011026293469	32.0	67.39130434782608	0.03127446476740668	0.050985695319843684	25	-0.2712457625411508
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	0.0240265376984127	35.5	0.0240265376984127	0.0656824108385781	28.0	58.69565217391304	0.22371020063741442	0.31800880527011777	25	-0.6279186602062472
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	0.0240265376984127	35.5	0.0240265376984127	0.5382378847757799	10.0	19.565217391304348	0.5271417987401891	0.32011390718058247	25	-1.5716757371555223
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	0.0329411764705882	34.0	0.0329411764705882	0.00148676776687481	35.0	73.91304347826086	0.026872797622152462	0.061205402859102635	25	0.09914776416724844
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	0.0385185185185185	33.0	0.0385185185185185	0.0696899780299391	27.0	56.52173913043478	0.23091514019019246	0.3201291691539185	25	-0.6009968481790219
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	0.0520965334685027	32.0	0.0520965334685027	0.00132030631106417	39.0	82.6086956521739	0.04239119817320803	0.10124460866321042	25	0.09586026775588034
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.0567679150693011	31.0	0.0567679150693011	0.6042003503098899	6.0	10.869565217391305	0.5760771676268958	0.3388340900453998	25	-1.5326357878807686
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	0.0586944316847854	30.0	0.0586944316847854	0.0017940437746681	34.0	71.7391304347826	0.05882138767685055	0.19844886487726676	25	-0.0006397415885632193
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	0.0771233008772776	29.0	0.0771233008772776	0.0111834584223868	29.0	60.869565217391305	0.18168291824039573	0.30745540356419976	25	-0.3400805975468408
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	0.153483290265517	28.0	0.153483290265517	0.608902938280562	5.0	8.695652173913043	0.5721845388965613	0.3175742228617875	25	-1.318435875739413
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	0.20487072945521698	27.0	0.20487072945521698	0.35628547243384295	18.0	36.95652173913044	0.43223169271168793	0.32065998458753014	25	-0.7090406479902033
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	0.21632251720747303	26.0	0.21632251720747303	0.480629272098466	12.0	23.913043478260867	0.42870281816890865	0.3815282530231627	25	-0.5566568118575008
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	0.222301615656385	24.5	0.222301615656385	0.29277950964697996	20.0	41.30434782608696	0.3326504102745612	0.34261003279982105	25	-0.3220827881670657
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	0.222301615656385	24.5	0.222301615656385	0.0075757575757575794	30.0	63.04347826086957	0.10610029460549061	0.2228804839214632	25	0.5213615791135866
HALLMARK_COAGULATION	HALLMARK_COAGULATION	0.24209116951052398	23.0	0.24209116951052398	0.0010057529066259	43.0	91.30434782608695	0.04418332654221227	0.11061429411007372	25	1.7891706000616074
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	0.299555555555556	21.5	0.299555555555556	0.148809523809524	23.0	47.82608695652174	0.3359697357017759	0.3744429640501923	25	-0.09724893680026189
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	0.299555555555556	21.5	0.299555555555556	0.296537995854625	19.0	39.130434782608695	0.38683039737954056	0.34853171298038366	25	-0.25040717551259567
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	0.309139784946237	20.0	0.309139784946237	0.5651447661469929	8.0	15.217391304347824	0.5584647858817975	0.2736660870994695	25	-0.9110555260175085
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	0.32259944064636403	19.0	0.32259944064636403	0.0013412017167382	37.0	78.26086956521738	0.14933684552954543	0.2923721989008833	25	0.5926096796075886
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	0.348577173221723	18.0	0.348577173221723	0.827921891671734	3.0	4.3478260869565215	0.6602020446983762	0.34223897117735574	25	-0.9105475931177994
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.354327013328327	16.5	0.354327013328327	0.379623863494831	16.0	32.608695652173914	0.4613399049592884	0.3575871341204757	25	-0.2992638196957818
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	0.354327013328327	16.5	0.354327013328327	0.00604448742746615	31.0	65.21739130434781	0.1330361588391237	0.31352243663276735	25	0.7058214297702846
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	0.402294136144265	15.0	0.402294136144265	0.7962628230709641	4.0	6.521739130434782	0.6349197708701301	0.3563929415859957	25	-0.652722339815851
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	0.43524231627125504	14.0	0.43524231627125504	0.39100684261974605	14.0	28.260869565217387	0.48307314719674344	0.415975240864381	25	-0.11498480252357741
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.5326892963907189	13.0	0.5326892963907189	0.0009274717121127811	47.0	99.99999999999999	0.020041382178994985	0.05605812721088492	25	9.144934726113755
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	0.578849928090709	12.0	0.578849928090709	0.388150037448635	15.0	30.434782608695652	0.48732784148128977	0.3449597314771429	25	0.2653123778173033
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY	0.654815146094216	11.0	0.654815146094216	0.20861472951626603	21.0	43.47826086956522	0.31138057136062486	0.2879118670927042	25	1.1928461935298043
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	0.6901173634308261	10.0	0.6901173634308261	0.5627375459202479	9.0	17.391304347826086	0.5507476447844213	0.3848104973732156	25	0.36217753828902044
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS	0.711445098646834	9.0	0.711445098646834	0.0040105879521937894	33.0	69.56521739130434	0.017792756014321877	0.0447759572405634	25	15.491625090353606
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	0.89770638368984	7.5	0.89770638368984	0.3581508222217751	17.0	34.78260869565217	0.48989985594197205	0.34821346845666207	25	1.171139443730686
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	0.89770638368984	7.5	0.89770638368984	0.8668935260700831	1.0	0.0	0.7127148765066322	0.3308007075954166	25	0.5592234325250003
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.925303580230318	6.0	0.925303580230318	0.48427792398057495	11.0	21.739130434782606	0.5359456118128857	0.35512521479685255	25	1.0963962912072083
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	0.9307414624796351	5.0	0.9307414624796351	0.11554767862107301	24.0	50.0	0.18370250183544048	0.229958812414874	25	3.2485772247616427
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.9998651382333109	2.5	0.9998651382333109	0.416720690817623	13.0	26.08695652173913	0.45982376919473933	0.3300318969596035	25	1.6363308335153848
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	0.9998651382333109	2.5	0.9998651382333109	0.175785665837667	22.0	45.65217391304348	0.3006974747108291	0.34555343884828754	25	2.0233271758277764
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE	0.9998651382333109	2.5	0.9998651382333109	0.8578554366807841	2.0	2.1739130434782608	0.6800570746166206	0.335571372673459	25	0.9530254653989577
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.9998651382333109	2.5	0.9998651382333109	0.0853333969852845	25.0	52.17391304347826	0.25898060034822756	0.35873438249489437	25	2.065273288644497
