	Gene ID	Adj P-value (Real)	Rank (Real)	abs(log2FoldChange) (Real)	log2FoldChange (Real)	Median adj p-value (simulated)	Rank (simulated)	Mean abs(log2FoldChange) (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score
NDN	NDN	1.5436432621816998e-23	15868.0	12.184361486615801	-12.184361486615801	9.47549550906987e-05	15351.0	3.6884523444292294	2.191330562499756	25	3.877055012866192
HTATIP2	HTATIP2	2.2343854565024897e-22	15867.0	11.8580326345555	-11.8580326345555	0.000577386341144015	3820.0	2.184794874397511	2.2460354964328446	25	4.306805380200372
RASSF10	RASSF10	4.2979915732330496e-20	15866.0	11.233616783482098	-11.233616783482098	0.00427396795802594	12276.0	2.9558209386575407	1.67395331413273	25	4.945057771287521
TCEAL8	TCEAL8	7.54275139123499e-20	15865.0	11.1614494125355	-11.1614494125355	6.34292318637679e-05	5300.0	1.405306378475686	1.168043155521081	25	8.35255357470714
ZSCAN18	ZSCAN18	1.8607297032553403e-17	15864.0	10.452057883621	-10.452057883621	2.686487770413e-08	14437.0	3.73341968697831	2.0078898951908686	25	3.3461188348696886
SLC24A3	SLC24A3	5.761574481056171e-15	15863.0	9.73121833817276	-9.73121833817276	0.000344161639007595	10251.0	2.7124506930415255	1.8377921248116695	25	3.8191303305592808
SLC40A1	SLC40A1	1.85634831816655e-14	15862.0	9.5495872249705	-9.5495872249705	8.90308322760934e-06	9790.0	3.000470189774218	2.6967285744949803	25	2.4285414176036397
CLCA4	CLCA4	1.4701754479972598e-13	15861.0	9.25449519256648	-9.25449519256648	7.313274697660071e-05	16142.0	4.596138918442346	2.9447020873066267	24	1.5819448406018222
ARHGAP20	ARHGAP20	1.9578087961737e-13	15860.0	9.17003662824134	-9.17003662824134	0.0027861238330238796	13290.0	3.2818525016202673	1.6029018674955078	24	3.673452658596752
UPK1A	UPK1A	8.47979006722006e-17	15859.0	8.99027819206699	-8.99027819206699	2.12497879585904e-05	15834.0	3.873329115591294	2.134957272199892	23	2.396745425824431
TNFRSF1B	TNFRSF1B	6.36170167179341e-13	15858.0	8.94817802998267	-8.94817802998267	8.25078325067648e-12	17638.0	5.5739329682418255	2.792901482309294	25	1.2081504067056705
GJA1	GJA1	3.8089691647482875e-253	15857.0	8.74398758967572	-8.74398758967572	4.6591235346515114e-07	17284.0	4.907642964343677	2.913346065565873	25	1.3168173430117003
STC1	STC1	3.6104447653155394e-84	15856.0	8.61421267710104	8.61421267710104	1.26894984509299e-05	15627.0	4.335112585398662	2.538007906534001	24	1.6860073921306566
CYP2U1	CYP2U1	1.4378713665737701e-11	15855.0	8.52439460324835	-8.52439460324835	0.0066695461705548	8632.0	2.1879202821514316	1.8996647806238784	25	3.335574984453797
SPINK4	SPINK4	1.1629220237265299e-10	15854.0	8.429869864604651	-8.429869864604651	1.3474765613932451e-05	16421.0	4.691728022257219	2.3656446479382938	20	1.5801789358369176
ADRA1B	ADRA1B	7.718800009986219e-28	15853.0	8.34629867024836	8.34629867024836	0.014651851931102935	11467.0	2.6713860946256944	1.5908008106977682	24	3.5673307037940827
GDA	GDA	1.4391322750398599e-21	15852.0	8.332827220375089	-8.332827220375089	7.703712006155725e-06	16203.0	4.138517567565382	2.5938396868261666	25	1.6170273259801504
IL1RAPL1	IL1RAPL1	1.81151568143967e-10	15851.0	8.313249407857981	8.313249407857981	0.215492639061743	7170.0	1.8106938174049685	1.285620986087739	21	5.057910271238554
ACCS	ACCS	9.14319167729029e-11	15850.0	8.264720230888441	-8.264720230888441	8.68340833598396e-07	15983.0	4.23299702188061	1.9105423988992067	25	2.110250581892755
PDE7B	PDE7B	1.27955006325948e-10	15849.0	8.23159038467356	-8.23159038467356	0.0324636803326126	10016.0	2.1695981307555154	1.486965007456114	25	4.076755151278808
OOEP	OOEP	6.01792434580106e-10	15848.0	8.22899277606773	8.22899277606773	1.28985359539595e-05	16818.0	4.948188261084136	2.1656942231526823	23	1.5148973848245322
WSCD2	WSCD2	1.59448755824604e-10	15847.0	8.20080060687134	-8.20080060687134	0.000440909910014478	14543.0	3.770432265502771	2.2488863130934234	24	1.9700277046350283
TOX3	TOX3	2.8571436536837604e-10	15846.0	8.068773596186599	-8.068773596186599	5.8631521186985207e-05	14344.0	3.422797788929889	1.939822863304718	23	2.395051576689708
