	Gene ID	Adj P-value (Real)	Rank (Real)	abs(log2FoldChange) (Real)	log2FoldChange (Real)	Median adj p-value (simulated)	Rank (simulated)	Mean abs(log2FoldChange) (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score
SPP1	SPP1	4.22208202451603e-26	7166.0	15.3437895932884	-15.3437895932884	0.999901488283951	9135.0	0.7322137303649044	0.6752784233990587	20	21.637853893472798
IGFBP7	IGFBP7	4.797526788212749e-165	7165.0	9.16209081827975	-9.16209081827975	0.999901488283951	8657.0	0.39748222696954444	0.26664318958766103	23	32.8701760763658
FBN2	FBN2	7.118987703639738e-58	7164.0	6.77003758586084	-6.77003758586084	0.9999202681471221	3795.0	0.23666628541447227	0.24077427127076334	15	27.134839889513145
ADGRE5	ADGRE5	7.9998777938230185e-53	7163.0	6.71669492306411	-6.71669492306411	0.9998082824409409	7463.0	0.3150254643240282	0.18149170338841	13	35.27251846350179
EMC10	EMC10	2.734970154205519e-179	7162.0	5.97352944053759	-5.97352944053759	0.999883377828017	4966.0	0.29786158449533673	0.31997048606416345	22	17.73809805353146
CYP51A1	CYP51A1	4.721734559813579e-92	7161.0	4.9217110564955195	-4.9217110564955195	0.999901488283951	5259.0	0.276370437223613	0.22399832113383736	20	20.7382831967582
ITIH5	ITIH5	2.6800939885343396e-21	7160.0	4.55544674170831	4.55544674170831	0.999670624538361	5982.0	0.25479594221167884	0.24196799719646755	7	17.77363473403753
COL4A1	COL4A1	1.2000731447020197e-133	7159.0	4.465088411216191	4.465088411216191	0.9999202681471221	7953.0	0.6078917184132017	0.7190595879366386	24	5.364223991326395
BST2	BST2	2.5986925687940195e-91	7158.0	4.45450547660144	4.45450547660144	0.9998642752940314	2175.0	0.2250502463979732	0.2958665430873621	12	14.295145324879172
COL4A2	COL4A2	7.944700767741006e-242	7157.0	4.0887218847131095	4.0887218847131095	0.9999202681471221	7351.0	0.6905329334449554	0.8809621185704476	24	3.8573610370244453
SLC16A3	SLC16A3	1.2225551864677198e-87	7156.0	3.57246766488689	-3.57246766488689	0.999800379356911	6057.0	0.3172921534626499	0.32785408180304376	18	9.928732604219233
ADGRL2	ADGRL2	0.0	7155.0	3.45604568706074	3.45604568706074	0.9999287889898225	5755.0	0.3547744470065965	0.44460834783531844	14	6.975287925099519
RFTN1	RFTN1	1.7790003569323796e-70	7154.0	3.3169782401562595	3.3169782401562595	0.9999354657737715	7838.0	0.3132381534626599	0.1946379617946009	10	15.432447293418589
NEDD9	NEDD9	3.29071753217404e-05	7153.0	3.12404695854804	3.12404695854804	0.9998082824409409	7403.0	0.33306617998453075	0.23049156527140333	18	12.108819579914497
PLXND1	PLXND1	8.665621328399489e-51	7152.0	3.1106807297296806	-3.1106807297296806	0.999846982278416	5621.0	0.3392918890554204	0.4848598632545442	19	5.715855344411797
C1S	C1S	4.64035400904327e-24	7151.0	3.10547700842007	-3.10547700842007	0.9998970543655419	9054.0	0.5091677979605302	0.3431093196701943	14	7.5670028810502155
MGLL	MGLL	2.2895314271935996e-59	7150.0	3.09976012519394	-3.09976012519394	0.9998926204471329	5178.0	0.25630230248573155	0.2105103635356752	19	13.507448160509815
MMP7	MMP7	9.87340099692911e-14	7149.0	2.88746439642414	2.88746439642414	0.999901488283951	8866.0	0.9912245299840262	1.1743403294067656	11	1.6147277062331888
RGS5	RGS5	6.78222944142759e-20	7148.0	2.8653919447599194	-2.8653919447599194	0.9998642752940314	8228.0	0.4106991655006387	0.3091712613597134	19	7.939589108197557
CD9	CD9	6.341829424379869e-65	7146.0	2.77843508273534	-2.77843508273534	0.999850451444037	1636.0	0.17488400478365296	0.1838723405132915	18	14.159558042736098
MGAT4A	MGAT4A	7.74349589699667e-12	7145.0	2.64140119089886	2.64140119089886	0.999937309832523	5835.0	0.25099860945878794	0.25961355592598573	9	9.207541466446234
CLSTN2	CLSTN2	3.633114124493599e-84	7143.0	2.5866310233707797	2.5866310233707797	0.9998173667068629	7441.0	0.278251986441712	0.018856820007913767	2	122.41613569839957
NT5E	NT5E	1.2548929881550901e-44	7142.0	2.57083278318898	-2.57083278318898	0.999936055825912	7492.0	0.4574859944018327	0.4284330382863919	14	4.932735340019348
CKB	CKB	7.79288332980928e-10	7141.0	2.53653491402722	2.53653491402722	0.9999108782155366	6829.0	0.37686029471583105	0.4678596144471801	22	4.616074037215729
MEST	MEST	2.1972444422208604e-29	7140.0	2.53194189322788	2.53194189322788	0.999901488283951	5815.0	0.21574125387951235	0.1716698688773553	16	13.492179230375667
TMEM158	TMEM158	0.0024311889700911102	7139.0	2.39911287509905	-2.39911287509905	0.9998335223922115	4430.0	0.1556334363415255	0.07416027982512885	2	30.25176609429853
PAPPA	PAPPA	4.4628309006997605e-15	7138.0	2.39093526820523	-2.39093526820523	0.9999108782155366	8795.0	0.3925174512276668	0.3277928928641106	12	6.096586779280857
CYP24A1	CYP24A1	6.5929730358280595e-43	7137.0	2.38184875322619	2.38184875322619	0.999901488283951	9439.0	0.6495836938346533	0.6137803616497145	7	2.8222881793343255
IGFBP2	IGFBP2	9.26313786478698e-18	7136.0	2.35987472857509	2.35987472857509	0.9999202681471221	4857.0	0.36842037321887344	0.44951710298387	16	4.430208199281076
UNC93B1	UNC93B1	1.32778286907998e-11	7135.0	2.35796815114241	2.35796815114241	0.9990578187319005	1997.0	0.09973074944830189	0.08714473566515472	2	25.913641076050407
SEMA5A	SEMA5A	2.1052464319981095e-58	7134.0	2.33691565013995	2.33691565013995	0.9999202681471221	8306.0	0.5382190360191108	0.742308725813031	12	2.423111236030231
NNMT	NNMT	2.6993959365757596e-36	7133.0	2.32385698971239	2.32385698971239	0.9998970543655419	9338.0	0.5264450023988851	0.28270637740251015	15	6.357875629931034
APOL1	APOL1	2.1592402207649395e-27	7131.0	2.11833717403346	2.11833717403346	0.999850451444037	7823.0	0.36582378718463376	0.23383766516814727	12	7.494572722442444
FZD7	FZD7	5.26760895926981e-35	7130.0	2.11521010978764	2.11521010978764	0.9999202681471221	4560.0	0.18067149154322562	0.15653890953269117	7	12.358196591630215
RAB3IP	RAB3IP	3.6503270818178895e-28	7129.0	2.10638213342603	2.10638213342603	0.9999439866164719	8888.0	0.4194357569633471	0.31994698047946446	6	5.272581019313475
LIMA1	LIMA1	2.2895314271935996e-59	7128.0	2.0472487557230403	2.0472487557230403	0.9998878117464259	2366.0	0.15119860048957504	0.13329085651289754	20	14.224907880684215
CXADR	CXADR	9.17209915071014e-37	7127.0	2.03259439023415	2.03259439023415	0.9999287889898225	7391.0	0.25273351586589016	0.09779644622524553	12	18.199647769090408
ENC1	ENC1	7.138915434416049e-102	7126.0	2.01674755913364	2.01674755913364	0.999901488283951	6624.0	0.2946175467293094	0.2766172561871434	18	6.225678166799673
SLC20A2	SLC20A2	6.32657231021695e-11	7125.0	2.0145897718392898	2.0145897718392898	0.9999275349832115	3203.0	0.2780838703157687	0.4383260958526312	14	3.961675834393735
PLEKHA5	PLEKHA5	1.9929386865657297e-20	7124.0	1.97833418486752	-1.97833418486752	0.9999202681471221	2333.0	0.30569446876437834	0.3319523934561439	7	5.038793962858182
TANC2	TANC2	9.98957818840192e-26	7123.0	1.97803196248566	1.97803196248566	0.999937309832523	5689.0	0.18330408442960125	0.13902433829969157	11	12.909450963810416
S100A16	S100A16	4.887852489638019e-66	7121.0	1.93613775517182	1.93613775517182	0.9998926204471329	7040.0	0.35838720741769653	0.3675898094510721	17	4.292149856140474
CFH	CFH	1.1150908578171901e-09	7120.0	1.93191985633863	1.93191985633863	0.9998926204471329	3086.0	0.35813354879119685	0.372035613441301	15	4.230203374859815
CXCL8	CXCL8	0.000209069277911028	7119.0	1.93042027757915	-1.93042027757915	0.9999108782155366	8075.0	0.4843771412359233	0.4555787261292439	17	3.1740795902155368
TENM3	TENM3	4.91908059537191e-42	7118.0	1.9229652899666299	1.9229652899666299	0.9999287889898225	3064.0	0.1225306657173235	0.07319474233517444	4	24.5978681911978
DNAJC22	DNAJC22	8.30658922504516e-14	7117.0	1.89177378939393	1.89177378939393	0.99844501292544	178.0	0.0363475433280094		1	
SOD2	SOD2	5.9941107325428e-09	7116.0	1.8742122420646998	-1.8742122420646998	0.9998926204471329	7095.0	0.3045067131570774	0.23603772183907376	24	6.650231652285727
ADAMTS10	ADAMTS10	0.000174935032145244	7115.0	1.8735040502075602	1.8735040502075602	0.9999641088753649	3005.0	0.121622635544259		1	
YPEL2	YPEL2	3.64074103381581e-05	7114.0	1.85641866207311	1.85641866207311	0.999670624538361	7707.0	0.3184470521338427	0.1610355726324177	9	9.550508529254373
STC2	STC2	1.87104217785377e-16	7113.0	1.8320706927943	1.8320706927943	0.999901488283951	9227.0	0.5811364979354213	0.45990830949320455	17	2.7199643255790362
TMC4	TMC4	0.00187138319295403	7112.0	1.8230699605865701	1.8230699605865701	0.99844501292544	1009.0	0.0753962001657557		1	
CAMK1D	CAMK1D	2.52166552438994e-22	7111.0	1.81400330865411	1.81400330865411	0.9999506634004208	1586.0	0.09832988641574676	0.07346375722867	5	23.35401137867209
ITGA2	ITGA2	1.15936341595744e-13	7109.0	1.79528102661725	-1.79528102661725	0.999937309832523	6203.0	0.2751511137000148	0.18393366499483452	11	8.264555120781862
SPNS2	SPNS2	3.1018723125752594e-155	7108.0	1.7941894596557701	1.7941894596557701	0.9999202681471221	6156.0	0.20300424942886958	0.09053016749182051	7	17.576298092795042
AXIN2	AXIN2	6.62625701498888e-14	7106.0	1.7833074405619898	1.7833074405619898	0.999803967185442	1604.0	0.09116754292864669	0.10034523607779564	2	16.86318119099806
C1R	C1R	1.79656849424496e-07	7105.0	1.7827821662728602	-1.7827821662728602	0.9998970543655419	8742.0	0.49864245209506447	0.3904893648019733	14	3.2885395350754667
NDRG1	NDRG1	5.59645987358765e-18	7104.0	1.7797045799216002	-1.7797045799216002	0.9998926204471329	8427.0	0.4476206937762128	0.3329819401559804	23	4.000468870838438
UBA7	UBA7	3.6024086768155197e-06	7103.0	1.7766974773364401	1.7766974773364401	0.9999506634004208	4917.0	0.17322334166111614	0.13979917646519657	7	11.469839638679943
PLPP3	PLPP3	0.0515492659114225	7102.0	1.7750634938100702	1.7750634938100702	0.9998548853624459	6910.0	0.2715515080909714	0.12035042191368402	16	12.492785333128502
CDH6	CDH6	3.0241382205392593e-20	7101.0	1.76294897207481	1.76294897207481	0.9997259398572875	7886.0	0.38161067911985425	0.296106222440567	10	4.665009338776092
MGST1	MGST1	1.5915849540047098e-69	7100.0	1.7619362073892	-1.7619362073892	0.9998926204471329	8426.0	0.3577395928786676	0.24735207045889238	17	5.676914739001131
HTRA1	HTRA1	5.5247630117832406e-17	7098.0	1.7252363579232401	1.7252363579232401	0.9998926204471329	4900.0	0.285154354392007	0.3454222854782345	15	4.169047754221911
FHDC1	FHDC1	2.82481090064496e-10	7097.0	1.72109379190199	1.72109379190199	0.999937309832523	1585.0	0.0908967945455329		1	
LLGL2	LLGL2	5.10709413992404e-07	7096.0	1.7121329007072499	1.7121329007072499	0.9998494477601211	2437.0	0.16067872026535351	0.18184408926511267	10	8.531782290597375
CALCRL	CALCRL	6.754633910417579e-19	7095.0	1.6779568712935702	1.6779568712935702	0.9999202681471221	9416.0	0.5178114457962103	0.2650248544207744	5	4.3774966994432205
SHROOM3	SHROOM3	3.1105378308294796e-24	7094.0	1.66025112659686	1.66025112659686	0.9999202681471221	2995.0	0.2303658686387154	0.26048547100694414	11	5.4893090675296285
PDGFD	PDGFD	2.27575456304517e-08	7093.0	1.62531257652251	1.62531257652251	0.9999641088753649	9624.0	0.790125948941756		1	
SAMD9	SAMD9	1.33852422212905e-29	7092.0	1.6250380681324	1.6250380681324	0.9998987652563593	3866.0	0.14390164072221526	0.022152479112511895	4	66.86097839828803
ALDH3B1	ALDH3B1	7.0081247915905e-45	7091.0	1.62102423695738	1.62102423695738	0.999901488283951	5738.0	0.20482006599643127	0.2236059527852217	5	6.33348152551754
CDK14	CDK14	1.2738527934107598e-72	7090.0	1.6185931311652602	-1.6185931311652602	0.999937309832523	2166.0	0.14277095747813434	0.15712061644985573	5	9.392925047224004
CDH1	CDH1	3.72559396004879e-09	7089.0	1.60115694147744	1.60115694147744	0.999901488283951	8562.0	0.5994674912068806	0.6453154179006874	16	1.552247819413974
CDC42BPA	CDC42BPA	9.28263923049791e-26	7088.0	1.59739765725664	-1.59739765725664	0.9998926204471329	7380.0	0.3475625533643803	0.25718676947057556	21	4.859639966958922
UCP2	UCP2	8.7316583548008e-06	7087.0	1.5926326842366498	1.5926326842366498	0.999883377828017	8200.0	0.392568697820671	0.28834634586544333	18	4.161883802668295
S100A1	S100A1	0.00120805013977326	7086.0	1.5766484519691297	1.5766484519691297	0.9997954463427415	9158.0	1.0744816509469344	1.3102286387437014	7	0.3832665430849478
LTBP2	LTBP2	5.70756272501922e-08	7084.0	1.55687457623158	-1.55687457623158	0.9998642752940314	6489.0	0.3822684621828058	0.40322494383100876	12	2.9130293946821175
ATP13A3	ATP13A3	2.2484857510844396e-107	7083.0	1.5517053204776698	-1.5517053204776698	0.9998926204471329	3376.0	0.33605302569386686	0.3979199894322569	22	3.055016905580109
CERS4	CERS4	0.00256587466193036	7082.0	1.54933114247806	1.54933114247806	0.99844501292544	4803.0	0.166342369347534		1	
CLDN2	CLDN2	9.667587445556821e-06	7081.0	1.54415850263444	-1.54415850263444	0.999786056411156	5709.0	0.25900993239465375	0.2046883188135797	6	6.278563318555749
COBLL1	COBLL1	4.08048175217514e-14	7080.0	1.5342058500928302	1.5342058500928302	0.9997954463427415	9087.0	0.7130316571910418	0.7782447957390669	14	1.0551618172042554
RGS4	RGS4	0.0015640111195523	7078.0	1.5154589341966	-1.5154589341966	0.999934801819301	8843.0	0.5454010389054015	0.3794644865349833	13	2.556386512343014
KAZN	KAZN	5.2263075429959795e-45	7077.0	1.5060863575608001	1.5060863575608001	0.999670624538361	1124.0	0.11895480404219949	0.13604757598290737	3	10.195929942131977
TCIRG1	TCIRG1	2.4802220724404503e-09	7076.0	1.50586546587131	1.50586546587131	0.9998082824409409	6875.0	0.2876479421864432	0.21571629254585253	15	5.647313465791756
NCAM1	NCAM1	7.87077736617716e-06	7075.0	1.5048924797748997	1.5048924797748997	0.9999202681471221	4424.0	0.34507487048864954	0.5351839687563653	10	2.167138174899705
WDR72	WDR72	7.678069351735421e-07	7074.0	1.49939809953895	1.49939809953895	0.99911182014928	8043.0	0.3299123515447705	0.10698841369159785	2	10.930956985354602
GRHPR	GRHPR	2.3568211514090303e-06	7073.0	1.49451064911588	1.49451064911588	0.9998926204471329	8282.0	0.4482870382451858	0.34572911643487697	20	3.0261368254408083
CA12	CA12	2.8075982580850696e-44	7072.0	1.48664096639895	-1.48664096639895	0.999901488283951	8882.0	0.49954438644678145	0.3631769105707075	13	2.7179497132706323
THBS1	THBS1	1.0764357469589e-08	7071.0	1.47770499645318	1.47770499645318	0.999901488283951	7867.0	0.31433769387827265	0.2685128986800876	23	4.332630977109855
REC8	REC8	5.24219896160553e-09	7070.0	1.4725733189425803	1.4725733189425803	0.99844501292544	3450.0	0.13185186066269197		1	
PRSS23	PRSS23	3.33582081866068e-27	7069.0	1.4703556837393401	1.4703556837393401	0.999901488283951	4305.0	0.23501769701693165	0.2598795716914939	19	4.753501703430898
KDELR3	KDELR3	1.09394059958963e-15	7068.0	1.43214756782783	-1.43214756782783	0.9999506634004208	4622.0	0.21590251738002467	0.13686229688563545	3	8.886633339670757
LRRC8B	LRRC8B	1.8935849585440395e-23	7067.0	1.43092411260024	-1.43092411260024	0.999968593635864	4169.0	0.14907226779959348	0.11851221171463824	2	10.816200510097445
HMGA2	HMGA2	3.41697900813339e-14	7066.0	1.4228491016515	-1.4228491016515	0.999901488283951	8189.0	0.4519472541291511	0.4886777599917774	16	1.986793603086593
JUP	JUP	4.8387760392684605e-06	7064.0	1.4177935545135	1.4177935545135	0.999850451444037	3529.0	0.26472138333443274	0.39295769806596587	20	2.9343417290313547
KLF13	KLF13	2.34400216284356e-08	7063.0	1.41720005717013	1.41720005717013	0.999850451444037	1981.0	0.18570638495189473	0.19969684778963717	20	6.166815780264614
GOLT1B	GOLT1B	6.081209853414061e-38	7062.0	1.4168040377670101	-1.4168040377670101	0.999901488283951	2337.0	0.11020319499713432	0.07424314098323313	17	17.598943491156376
ABCB1	ABCB1	9.169977193349519e-07	7061.0	1.4119686723925702	1.4119686723925702	0.9999506634004208	8899.0	0.41820047704661484	0.2783629443332604	9	3.5700448481971825
SEMA6A	SEMA6A	1.26230514787113e-38	7058.0	1.3778151969922199	-1.3778151969922199	0.9999202681471221	5442.0	0.27841288120966	0.40712284000101534	13	2.7004191555055423
ENO2	ENO2	1.4658703109928597e-27	7057.0	1.3709654784737	-1.3709654784737	0.9999287889898225	7531.0	0.33176947267947043	0.24441482491672575	12	4.2517715778831855
ISOC1	ISOC1	4.92812994632609e-40	7056.0	1.3658487456527901	-1.3658487456527901	0.999958442686086	4261.0	0.2451468136463818	0.27472626748088474	9	4.079340291275154
NPC1	NPC1	2.13176660205238e-17	7055.0	1.3650951999988503	-1.3650951999988503	0.9998972016780114	2566.0	0.19002778142694976	0.17460397532186075	14	6.729900716211127
