	Gene ID	Adj P-value (Real)	Rank (Real)	abs(log2FoldChange) (Real)	Median adj p-value (simulated)	Rank (simulated)	Mean abs(log2FoldChange) (simulated)	Std deviation (simulated)	Number of experiments (simulated)	abs(Z score)
KRT14	KRT14	4.745368132616969e-83	16219.0	10.3985278025596	0.03369531760002306	17617.0	4.014124685807131	3.7595471405973884	20	1.6981840838782498
C4BPB	C4BPB	7.81928623374549e-12	16218.0	7.67074103451327	0.027958723564635753	13276.0	1.6979400149743908	2.99397026194375	18	1.9949433350955226
ANKRD1	ANKRD1	5.2714531135017604e-05	16217.0	7.588825426080871	0.192901413314059	12489.0	1.378600817761653	2.445833103405458	23	2.5391039967822846
G0S2	G0S2	3.5251902065448594e-36	16216.0	6.79245789189089	0.1976074879704275	10086.0	0.8781084612008092	2.2685265192512265	23	2.607132594880236
CRCT1	CRCT1	4.02704994643613e-27	16215.0	6.54188731697518	0.0763150205843002	17636.0	4.091623459382361	4.6387154704000615	19	0.5282203388477067
A2ML1	A2ML1	6.481089745290058e-93	16214.0	6.45927443759177	0.04004485667160065	17451.0	2.7929658649605824	3.031101195645607	24	1.209563236588109
GKN2	GKN2	0.00051383519340382	16213.0	6.43699254038691	0.0214964226566521	17738.0	3.9781421981287273	3.97482928943353	17	0.618605269110464
RRM1	RRM1	7.208616887812028e-135	16212.0	6.30391871454106	0.32969831156970597	6456.0	0.39938482673986664	1.7452150985128978	25	3.3832700008339724
GPR15	GPR15	0.000149102735735642	16211.0	6.22048979454425	0.0337710467012656	12745.0	0.9709022832928649	2.079891594831938	17	2.523971693666837
CYP3A4	CYP3A4	5.2414181848372994e-12	16210.0	6.05433792621572	0.014681114617942869	17377.0	2.31472550165345	3.867079611929777	17	0.9670378683246459
UGT1A6	UGT1A6	1.0667743828429296e-124	16209.0	5.913318772815981	0.119482877178357	16255.0	1.5882112909515735	2.5952667546962838	21	1.6665367727760079
GABRA3	GABRA3	3.06590603905079e-26	16208.0	5.876722252487579	0.259901828626902	14316.0	1.4451743674030857	2.731212691023491	22	1.622556858954775
SFTA1P	SFTA1P	5.56240230312554e-08	16207.0	5.733020472368339	0.498821834164277	7609.0	0.8843852078615335	2.1683785815712864	21	2.2360649130712718
CNTNAP4	CNTNAP4	8.984181268913478e-22	16206.0	5.72490937605618	0.426507449226423	8828.0	0.26086616183240635	2.320545020992557	19	2.3546378823913794
VGLL1	VGLL1	1.6533383202607197e-50	16205.0	5.719751440443621	0.11377038245314532	15763.0	1.574532357639457	2.792154617281646	20	1.4845951070001342
TRIM21	TRIM21	1.3723265431460595e-113	16204.0	5.6984015502853	0.492621064536777	7513.0	0.7700428465743326	1.6683839707019896	25	2.9539715019182964
TNC	TNC	5.787391335364559e-51	16203.0	5.651576307523411	0.297382240196468	13718.0	2.693703849485762	3.9719212396326977	25	0.7446956471652437
HES5	HES5	0.00112976620264064	16202.0	5.605073523086059	0.31215064353355304	12908.0	1.0220605674782517	1.3397719341822154	20	3.420741126664395
SEMA5A	SEMA5A	8.89304131199611e-40	16201.0	5.508555394416351	0.571033122209887	10703.0	1.0065636909612805	2.214954812697994	25	2.032543362801736
LCK	LCK	1.8726636043386997e-21	16200.0	5.479579250601519	0.19373463354946602	9304.0	0.8836733957144345	1.7752331564720236	24	2.5889026678730316
NLRP10	NLRP10	5.2714531135017604e-05	16199.0	5.473176888476701	0.494495948201943	14458.0	0.7297433564728976	1.838481327056461	19	2.5800825182153884
GKN1	GKN1	1.32495574834644e-14	16198.0	5.433338308764191	0.0941459119841987	17725.0	4.580409012514133	3.8432347725738594	17	0.22193005286503512
TCP10L	TCP10L	0.007748531306318209	16197.0	5.33705766587687	0.1896761419036445	8943.0	0.5373747034308326	1.675117652467752	23	2.8652811074942908
GABBR2	GABBR2	3.77854197011131e-21	16196.0	5.33013686716483	0.21119119686235	7289.0	-0.04176267076271342	2.9520696415840506	24	1.819706236687911
CYP3A7	CYP3A7	0.00125859589043811	16195.0	5.3255768544429	0.10148805124001001	10603.0	1.0458171340075917	2.9697803979079147	20	1.4411030941716159
PID1	PID1	4.4028197025473e-27	16194.0	5.23411976525591	0.5492693008559105	7438.0	0.6568619438503182	1.7351784727871518	25	2.6379175936025274
KRT9	KRT9	5.450541221619259e-51	16193.0	5.2340476814958	0.008084450616107448	17684.0	3.008682256318795	3.186088693779808	14	0.698463112317488
LRRN4	LRRN4	0.000259560885785048	16192.0	5.05976190181668	0.04068480506061705	14271.0	1.2174446555226883	2.670112236750089	24	1.4390096391493434
ACTA2.AS1	ACTA2.AS1	0.0047076569376377705	16191.0	5.03406655385867	0.386086479501346	6994.0	0.20526956651362216	2.573856654361881	25	1.8760939849395846
TCP11	TCP11	3.45223667993616e-07	16190.0	5.032360572684589	0.0722843737596227	17342.0	1.9203938775118166	2.821133143568131	19	1.1030910406577974
LINC01545	LINC01545	2.3746115016727803e-13	16189.0	5.01593270199497	0.7084435919813359	5304.0	-0.7360905134045848	1.6534920044219958	23	3.4787124461543826
VCAM1	VCAM1	0.0187902098620078	16188.0	4.98012458513647	0.5787032762062571	3273.0	-0.3349613655326015	2.6808346290551843	21	1.9826235803818624
NOG	NOG	1.03439622479612e-06	16187.0	4.93424669838948	0.3865872774512179	6336.0	0.02184976585469481	2.5704559912233407	25	1.911099411663866
APLN	APLN	6.93479369204576e-12	16186.0	4.91094316394988	0.15996113418213898	14344.0	1.6225644906672165	2.609120908317437	25	1.2603397039975675
KRT31	KRT31	1.83058468224417e-26	16185.0	4.905269687972241	0.13051097951705198	12969.0	0.8634454650489796	2.20854255357659	20	1.8300866407929481
PXT1	PXT1	0.00595456437211894	16184.0	4.90315034262781	0.306104421989302	1602.0	-0.8772039313903897	1.7344897461821047	22	3.332596394266212
FAAH2	FAAH2	0.00532960753255562	16183.0	4.89784321294988	0.19343692005736848	3738.0	0.12482709096730588	1.7901664943349034	25	2.6662414569187223
RD3	RD3	0.000720456247821593	16182.0	4.836336789437441	0.122758305428857	14440.0	1.0618962813765016	1.786653096760861	18	2.112576031073893
SCARNA2	SCARNA2	0.168605819867901	16181.0	4.802431331063549	0.0126992055415147	1892.0	-0.21635331051122653	3.8849373786942194	24	1.2918572816897393
SSTR5	SSTR5	0.0475396455932256	16180.0	4.74583962745782	0.0911025562337036	16971.0	1.5905732533935313	2.4579949837269557	21	1.2836748630300658
KANK4	KANK4	0.0553860475636124	16179.0	4.54041585357146	0.41820814623634706	10525.0	0.971465023199212	1.8240780725967247	25	1.9565778921356989
CCL5	CCL5	1.2071085007044399e-24	16178.0	4.45673472767851	0.1417831858849995	7422.0	0.27921454335260537	2.1835273567738507	22	1.9131980056792912
CCR5	CCR5	0.0676447505733586	16177.0	4.456488746397469	0.207393937034704	14166.0	1.017348884108266	1.3720530283571024	19	2.506564827459499
CDK15	CDK15	0.0914901970508626	16176.0	4.438754661288769	0.45286363483901343	8245.0	0.039333312823086886	1.202797445002026	21	3.6576577101544077
ALPP	ALPP	0.000179096967259458	16175.0	4.435590081118071	0.000333753682536731	17722.0	3.7122816889650583	4.120545520328616	19	0.1755370468751255
TSPAN1	TSPAN1	2.0616435222365398e-41	16174.0	4.4266142067801395	0.0899870485016552	14484.0	1.3602038836333472	2.2982389763076676	24	1.3342434597786095
SERPINB7	SERPINB7	1.17545155504942e-26	16173.0	4.38561577355977	0.3273246664238585	14133.0	1.3895673574488596	2.480881317890698	21	1.2076548743001616
ADAMTS12	ADAMTS12	3.8136056840077205e-17	16172.0	4.32999245355187	0.36403369894943	8203.0	0.5692344619050617	1.3583455433487253	25	2.768631303030172
HOXD10	HOXD10	5.5095725909819996e-14	16171.0	4.30992253711835	0.270334536658165	12709.0	0.7576531650894252	1.6368503955598623	21	2.1701857308797727
MUC5AC	MUC5AC	0.00348339362751029	16170.0	4.26632963988741	2.3072486382687102e-05	17739.0	5.783378273824235	5.0474331486436075	18	0.3005584401537839
STIM1	STIM1	4.350336383648609e-133	16169.0	4.219618608728109	0.137816756592384	11134.0	0.8316805653251823	1.1488445564070355	25	2.948996036503463
PGAP2	PGAP2	6.141963628101899e-98	16168.0	4.16194785749592	0.33071478178524105	3476.0	0.013410381447342945	1.2662270419704005	25	3.276298277118579
DNASE1L3	DNASE1L3	0.0478953289843802	16167.0	4.15896748437095	0.29261640724252197	12277.0	0.8010607022080573	1.9117604145375984	19	1.756447490296569
ABCC2	ABCC2	6.84318441784932e-48	16166.0	4.12536015268006	0.07691781996006006	13062.0	1.5027626844324098	2.6176816526606337	24	1.0018779272040281
DSCAM	DSCAM	2.32852405707184e-17	16165.0	4.10784582869856	0.3089963959006595	12085.0	0.7032210842245407	2.093567499456597	25	1.6262311797244262
BAHCC1	BAHCC1	6.86002659096933e-16	16164.0	4.10196054902297	0.0072869506055942244	16613.0	2.2679898888034455	1.3318572515180673	25	1.3770024213399314
LINC00051	LINC00051	0.148044262491422	16163.0	4.05143471156679	0.03297804580636497	17703.0	3.3007704247270486	4.049301824225866	13	0.18538116431546842
LAMB3	LAMB3	2.8250193168111697e-69	16162.0	4.02635009024962	0.0146170332547761	16950.0	2.6378399528368908	2.6131751317865395	25	0.5313498205776404
ASIC2	ASIC2	0.14512423379048	16161.0	4.01449733197006	0.6361418816604301	6694.0	-0.10198343173064135	2.035263479921925	24	2.0225787984259482
MAGEA8	MAGEA8	0.14618527033803902	16160.0	4.00849427793304	0.1202763769417	14113.0	1.0943592120078358	2.293505260077656	19	1.2706031752578295
TMEM178B	TMEM178B	2.1830003902301395e-16	16159.0	3.9806673143165803	0.324443710504617	9295.0	0.6700240719125102	2.4193631772439197	25	1.3683944905598981
DKK2	DKK2	0.0739503636041909	16158.0	3.97653354758165	0.7137927505816609	5502.0	-0.05740810850938151	1.800695778605058	23	2.2402127577685547
PKP1	PKP1	0.0153689433114384	16157.0	3.9299164673155405	0.00457330713760586	17699.0	4.619218229178565	4.21986896921188	24	0.16334672163808003
PRR15	PRR15	4.56363740837171e-24	16156.0	3.9186527629384704	0.0596777318180957	13012.0	1.1584063339847717	1.8123825002249598	25	1.5229933132829778
DISC1	DISC1	4.63324903543012e-13	16155.0	3.91171717022357	0.508553111357608	5156.0	0.07379550209819769	1.1872837095724513	25	3.232522805781133
RHOG	RHOG	4.1796903138511096e-66	16154.0	3.8983461743814303	0.16223161286106594	15268.0	1.9351786763262893	1.6616332551215303	25	1.1814685894159942
IFIT2	IFIT2	2.5374204099362e-29	16153.0	3.88531106529382	0.48283268326326706	7251.0	0.6345729250438595	1.9726990406966636	24	1.6478631931112786
LINC01561	LINC01561	2.9055866112494905e-08	16152.0	3.87898694597112	0.210055677720056	5293.5	0.020585894233091956	1.5347992978908362	17	2.5139450200689755
CACNG4	CACNG4	2.11718549212445e-28	16151.0	3.8596147770695	0.0398494667054208	15375.0	1.6282474552132227	2.375249513379612	24	0.9394243885903959
CX3CL1	CX3CL1	0.00683442470875779	16150.0	3.8558432981407202	0.13367419578444198	14139.0	1.26188235818969	2.3946927634455872	24	1.0832124185395404
HPD	HPD	0.18323232885077897	16149.0	3.8508976789307003	0.0425864126989369	16596.0	1.9389478240765055	2.7698678960065872	17	0.6902675241699137
ABCG2	ABCG2	3.062579818762999e-32	16148.0	3.8378969896416004	0.255275939658901	10241.0	0.7887220645098479	1.6061854858190805	25	1.8983952675782112
GAS1	GAS1	1.64853367504793e-15	16147.0	3.7933556304026004	0.31741391605607505	11583.0	0.9452634768538322	2.090996360033701	25	1.3620741805130951
FGR	FGR	0.032236766501128	16146.0	3.78532265815067	0.04665277700548085	15216.0	1.6206499275038	2.400090812670228	22	0.9019128439721648
CXCR5	CXCR5	0.292532450766926	16145.0	3.78289919989775	0.0437808830849699	15621.0	1.8807366316541847	1.4452014938422948	25	1.3161919471771149
LINC00880	LINC00880	3.54707927125491e-11	16144.0	3.78286000109617	0.393112908742144	2722.0	-0.3670606295011695	2.238467419417454	21	1.8539115622586673
HHIP	HHIP	4.12776450261409e-06	16143.0	3.7607711707255698	0.2102384488168555	9004.0	0.49029084047943905	2.3063318187262896	24	1.4180441442516751
WNT7A	WNT7A	9.61797275065332e-09	16142.0	3.73448055641957	0.0825850888600639	11719.0	1.5652793683225041	3.068483451906772	22	0.7069294073426118
CRP	CRP	1.24595508925116e-09	16141.0	3.7285103563915896	0.00844944342181747	17320.0	2.792168256661455	5.278944136452466	15	0.17737298890216543
IL17B	IL17B	0.221228230588288	16140.0	3.7201297038668	0.121839978431099	13914.0	0.941787988715924	2.197899694309516	20	1.2640894042363062
ADM	ADM	3.15824195187432e-18	16139.0	3.7183359257780295	0.300269995300389	8870.0	1.0620357689749098	1.8146404257882023	25	1.4638162575097138
ENTHD1	ENTHD1	0.318534592288504	16138.0	3.7134942246639002	0.116392513210775	9724.0	0.21461708431455992	2.1194046621238853	20	1.6508773444157032
HOXD11	HOXD11	9.184459842532549e-21	16137.0	3.7127912415791497	0.405067195902999	11996.0	0.7947603419373079	1.5703749928121429	21	1.8581745844133633
OXTR	OXTR	1.63516137143549e-19	16136.0	3.7092925244002903	0.32591344466639605	7307.0	0.3322129656729111	1.0863388791422224	24	3.1086796427592973
XYLT1	XYLT1	1.4897974524464998e-17	16135.0	3.70106765980308	0.4200166526247535	8647.0	1.5799019764681501	2.14593475685949	25	0.9884576763364374
