	Gene ID	Adj P-value (Real)	Rank (Real)	abs(log2FoldChange) (Real)	log2FoldChange (Real)	Median adj p-value (simulated)	Rank (simulated)	Percentile (simulated)	Percent DE (simulated)	Mean abs(log2FoldChange) (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score
RXFP2	RXFP2	2.0397754148631303e-09	17159.0	21.7073597462148	-21.7073597462148	0.9999499060245214	14996.0	84.4598400360482	0.0	0.6152320115625932	0.6071229522390402	24	34.7411140640713
DCN	DCN	1.66030294911782e-06	17158.0	8.82901001662989	-8.82901001662989	0.9999511445546929	13876.0	78.15140250084488	0.0	0.7604425733423621	0.884369228725154	25	9.12352802563995
MYH13	MYH13	0.0130134828309503	17157.0	7.53421916819757	-7.53421916819757	0.9999511445546929	16713.0	94.13090007885546	0.0	0.7434269870863253	0.6759984860011636	25	10.045573062273922
CNTNAP2	CNTNAP2	7.2726757428724e-07	17156.0	7.331360062579889	-7.331360062579889	0.9999511445546929	14945.0	84.17258082685592	0.0	0.6419111774830191	0.5987232746073381	25	11.172855923271106
PAEP	PAEP	0.000165909707618434	17155.0	6.49259995500784	-6.49259995500784	0.9999511445546929	16492.0	92.88611017235552	0.0	1.098805097001576	1.1893709915628663	23	4.534997823445037
CDH11	CDH11	0.0335849185632957	17154.0	6.14364747271863	-6.14364747271863	0.9999511445546929	13082.0	73.6791708910668	0.0	0.46613228981103744	0.42221848701300657	25	13.446865444176288
GPX7	GPX7	0.0066076102886312394	17153.0	6.08222399488083	6.08222399488083	0.99994866749435	10176.0	57.31102850061957	0.0	0.40235647310768025	0.37065433469499287	25	15.323893423361813
NYX	NYX	0.36310906507637797	17152.0	6.00379032989106	6.00379032989106	0.9999511445546929	6824.0	38.43077616311817	0.0	0.5157696617574234	0.5915223792246336	25	9.277790428364389
LRRC4	LRRC4	2.99472075165409e-05	17151.0	5.8630397831783405	-5.8630397831783405	0.9999511445546929	15758.0	88.7518305733919	0.0	0.5173399221258668	0.3447445612193866	25	15.506263078217518
FOXR2	FOXR2	0.39671085447391896	17150.0	5.7675211760188905	-5.7675211760188905	0.9999499060245214	15525.0	87.43945026472908	0.0	0.793883915120355	0.8262516804293989	24	6.0195184817218905
DOK5	DOK5	0.0352136746563191	17149.0	5.48929259358049	-5.48929259358049	0.9999511445546929	16510.0	92.98749577559985	0.0	0.9287929859053932	0.998851036812187	25	4.565745481157871
CCDC8	CCDC8	0.00013788294015986498	17148.0	5.476235494335031	-5.476235494335031	0.9999511445546929	10093.0	56.8435282189929	0.0	0.5035163228359315	0.583094497812476	25	8.5281531383929
HORMAD1	HORMAD1	0.4506685186925829	17147.0	5.44987741610191	-5.44987741610191	0.9999511445546929	15498.0	87.28737185986256	0.0	0.7479378786710161	0.648568641098834	25	7.249717669766853
TWIST2	TWIST2	0.40517766758510404	17146.0	5.43952928016646	-5.43952928016646	0.9999511445546929	8502.0	47.88216739889602	0.0	0.4657833255709999	0.6017636390273288	25	8.265281635551895
CLCA4	CLCA4	0.0707187790474867	17145.0	5.43651618795043	-5.43651618795043	0.9999511445546929	17353.0	97.73572152754308	0.0	1.304208809253726	1.0309275817184727	25	4.008339142317332
CHRNA9	CHRNA9	0.000208380520070399	17144.0	5.31715223615211	-5.31715223615211	0.99994866749435	10632.0	59.8794637828095	0.0	0.7188835985416312	0.9381634965335587	23	4.901351048725222
CLCNKB	CLCNKB	0.0597388919319352	17143.0	5.26010381622791	-5.26010381622791	0.9999499060245214	14396.0	81.08031992790356	0.0	0.7909215664993875	0.7963961235371851	24	5.61175791499172
PLA2G2F	PLA2G2F	0.10567340563692801	17142.0	5.22112260651812	5.22112260651812	0.9999511445546929	15213.0	85.68209980849386	0.0	0.815711311674018	0.6778180592579921	25	6.49940088593495
TNR	TNR	0.250948301002979	17141.0	5.14759912126874	5.14759912126874	0.9999511445546929	11600.0	65.33175622394953	0.0	0.7151683894878871	0.8568195848118079	25	5.1731202348209555
EYA4	EYA4	0.0036039011755687102	17140.0	5.13666511453146	-5.13666511453146	0.99994866749435	11923.0	67.15106454883406	0.0	0.5115229492226018	0.7340768337312281	25	6.300624066556892
BGN	BGN	0.00247872915825817	17139.0	5.11066058561089	-5.11066058561089	0.9999511445546929	9983.0	56.22394953249972	0.0	0.5156255700544379	0.588563830683078	25	7.807199110797422
C4BPB	C4BPB	1.05957303131269e-07	17138.0	5.1030483432062	5.1030483432062	0.99994866749435	15471.0	87.13529345499605	0.0	0.7962745467514232	0.8819064757034766	25	4.883481315883707
ROS1	ROS1	0.000195047833110024	17137.0	5.047886162511481	-5.047886162511481	0.999947567521293	16594.0	93.46062859074011	0.0	0.876989294449564	0.9280698310388038	24	4.494162754319213
ALX3	ALX3	0.515192016495577	17136.0	5.022602310864849	-5.022602310864849	0.9999511445546929	17474.0	98.41725808268559	0.0	1.1719667398201756	0.9344872589320613	25	4.1205864865886
MAOB	MAOB	0.52061418691169	17135.0	4.99208862881969	-4.99208862881969	0.9999511445546929	11700.0	65.89500957530697	0.0	0.6526745259045473	0.6530757116851242	25	6.64458044491993
