	Gene ID	Adj P-value (Real)	Rank (Real)	abs(log2FoldChange) (Real)	log2FoldChange (Real)	Median adj p-value (simulated)	Rank (simulated)	Mean abs(log2FoldChange) (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score
SLC34A2	SLC34A2		16103.0	18.710151726405	18.710151726405	0.393443720513278	15234.0	2.5842938805446285	4.269942679424975	24	3.7765982020236417
SFT2D3	SFT2D3		16102.0	18.3963729338925	18.3963729338925	0.732246032014667	2979.0	0.5317166560284456	0.5165943027322888	25	34.58159755803953
G0S2	G0S2	1.7845130172755102e-25	16101.0	13.2853948383707	13.2853948383707	0.675551604098582	13914.0	2.105027052203071	3.625700683137907	25	3.0836433460060038
CP	CP	1.29769551879675e-13	16100.0	12.7046237115308	12.7046237115308	0.7418629837247346	8231.0	1.0303073954362392	1.1301558201668513	25	10.329828956126612
CNTNAP2	CNTNAP2	2.26536572758252e-32	16099.0	12.6635766873228	-12.6635766873228	0.38669016856602	14248.0	2.0552547008712576	1.8445481079670538	25	5.751176638132456
PALM	PALM	1.29937390712826e-22	16098.0	12.277671514646599	-12.277671514646599	0.53481226532509	15129.0	1.5197637533097608	0.9902666233899482	25	10.863647736111346
USP9Y	USP9Y	2.7379787856726896e-22	16097.0	12.127091855574902	-12.127091855574902	0.6637167261256529	6671.0	1.1379539564456769	1.5493867100114682	25	7.092572711591083
LAMB2	LAMB2	7.70610914526689e-22	16096.0	12.0649111615168	-12.0649111615168	0.698179718843742	8366.0	0.9499604589486901	0.7466715596649657	25	14.88599714117333
CDH6	CDH6	5.78398473723948e-20	16095.0	11.4725498425199	-11.4725498425199	0.8003896417161942	7977.0	2.0427145750116904	4.0484432157428	25	2.329249730078786
H19	H19	1.2613019637501096e-115	16094.0	11.3206160386398	-11.3206160386398	0.521086557117336	17062.0	4.166034141461072	5.465146932144401	25	1.3091289193155198
HSPB8	HSPB8	3.07005314657476e-19	16093.0	11.179585205383301	-11.179585205383301	0.8148584888455759	9994.0	1.2542809869289295	1.2401354853044178	25	8.003403124956137
TXLNGY	TXLNGY	3.7248310131793297e-19	16092.0	11.152369056988599	-11.152369056988599	0.7303090100016629	6832.0	1.2929687032992905	1.586934171569343	25	6.212860325478529
DDX3Y	DDX3Y	6.39041709033249e-25	16091.0	11.050950672438901	-11.050950672438901	0.655551937604762	3618.0	1.29142113230839	1.9077674387554298	25	5.115680948248774
SNRPN	SNRPN	3.1416376793526395e-36	16090.0	11.022489060018101	11.022489060018101	0.601704287518843	5474.0	1.4029349754111626	3.645334941098337	25	2.638867001260678
TMSB4Y	TMSB4Y	1.3098027367711801e-17	16089.0	10.9843333652318	-10.9843333652318	0.7156438740023809	9792.0	1.6495450883322709	3.627938353708528	25	2.5730283612336966
EFNB3	EFNB3	5.494428020971321e-24	16088.0	10.938163757611802	-10.938163757611802	0.437275613385252	15030.0	2.4217877971165875	3.594809469203532	25	2.369075755879242
CDH11	CDH11	7.81643694472876e-18	16087.0	10.7961720695735	-10.7961720695735	0.653109041944796	7420.0	1.8025215842942524	2.2404360854287004	25	4.0142410416311165
C2CD2	C2CD2	1.80459201765075e-17	16086.0	10.665826734707801	-10.665826734707801	0.7775707378589056	582.0	0.44357188632087086	0.5157380374339087	25	19.820633938982834
SPANXB1	SPANXB1	3.4578912293630497e-17	16085.0	10.592523815157	-10.592523815157	0.750820786533357	15859.0	2.8576229451847444	4.138934789177666	22	1.8688143843670089
MEST	MEST	2.0172652711620097e-77	16084.0	10.210195410243198	-10.210195410243198	0.336077687654966	13388.0	1.899293431180931	1.787220172765042	25	4.650183623545561
CYP26A1	CYP26A1	2.67126493330032e-15	16083.0	10.1585915889304	-10.1585915889304	0.5370938543767589	17011.0	2.614285775246593	1.9509747347054178	24	3.8669418314240445
ST8SIA2	ST8SIA2	3.36668203011604e-15	16082.0	10.1258647938395	10.1258647938395	0.44709537946209355	15212.0	2.2891328559123774	1.869019630626719	23	4.192963952604025
BCHE	BCHE	5.2754241640515605e-15	16081.0	9.98473024741387	-9.98473024741387	0.6687613488187061	12389.0	2.7324547688546166	5.2323305712299195	25	1.3860507052891582
ZFY	ZFY	4.06508892214293e-15	16080.0	9.89186862629444	-9.89186862629444	0.694044830061962	3169.0	1.0965131458685806	1.4939278399533618	25	5.887403156433873
PRKY	PRKY	8.68269190474254e-15	16079.0	9.78603685178436	-9.78603685178436	0.6750950179902471	3357.0	1.1070769801875828	1.4357852972800758	25	6.044747698724896
EEF1A2	EEF1A2	4.229757521737049e-36	16078.0	9.769691931154108	-9.769691931154108	0.58113660017725	16343.0	4.096118080105619	5.486821014466621	25	1.0340366190348609
CXCL6	CXCL6		16077.0	9.697000760226448	9.697000760226448	0.44499068698076294	13501.0	2.6907544632509723	4.299042863194491	24	1.6297223637750247
LINC00648	LINC00648	7.201513424642341e-14	16076.0	9.62198914960119	-9.62198914960119	0.7696102976680179	8901.0	1.9355250090600196	3.8370195405584053	24	2.003238205928592
NLGN4Y	NLGN4Y	3.17078776755443e-18	16075.0	9.491395115206661	-9.491395115206661	0.534047064627867	10392.0	1.8728917104770053	3.7345442486898763	25	2.040008873211857
PCDHB3	PCDHB3	5.91454985916084e-13	16074.0	9.321344340778221	-9.321344340778221	0.7307130106531325	8442.0	1.008240915116496	0.8534664379802186	25	9.740398749990922
TOX3	TOX3	6.3279699549378604e-12	16073.0	9.296954375266472	9.296954375266472	0.6687613488187061	10707.0	1.4528916979032511	1.3082643912570053	25	5.9957778640038475
CT83	CT83	2.59704194784634e-12	16072.0	9.28318675312717	9.28318675312717	0.6199111731794944	12360.0	1.6585405645624278	1.379071873562621	23	5.5288243743726255
SLITRK3	SLITRK3	6.02272098677523e-13	16071.0	9.271697193071981	-9.271697193071981	0.8120719196881081	15204.0	1.8379385977040408	1.6665121199824204	25	4.460668786163017
UBXN10	UBXN10	2.3648000595367996e-10	16070.0	9.16574829206746	9.16574829206746	0.742683717106188	6373.0	0.9547227694172417	1.1407594046026162	25	7.197859153754277
KRT14	KRT14	5.073804700004199e-56	16069.0	9.14741715736223	-9.14741715736223	0.0804032823761942	17112.0	3.7502842644200096	4.543740580982574	22	1.1878171292462085
NRROS	NRROS	1.7355095905677299e-12	16068.0	9.111795902743982	-9.111795902743982	0.4550882201615695	15569.5	3.1176339312017634	4.9600116383009745	25	1.2084975618314246
KCNQ3	KCNQ3	2.3106991846516003e-34	16067.0	9.10001897894989	9.10001897894989	0.6789161934449155	8210.0	1.1211691641301507	1.1879152241863662	25	6.716682851071852
TNR	TNR	1.51302115607221e-10	16066.0	9.03439452369506	9.03439452369506	0.7277457094877409	14866.0	2.0728571391603463	2.0146074521903525	22	3.4555304443880037
PLCXD3	PLCXD3	8.035816698956629e-12	16065.0	9.024127966225869	-9.024127966225869	0.7947268879421608	8968.0	2.0629491607535866	4.152088733142447	23	1.6765486608962274
HTRA3	HTRA3	5.7256782362000704e-12	16064.0	8.95908637078232	-8.95908637078232	0.75520858881181	11509.0	2.1624368602143496	3.911477435256905	25	1.7376169549912202
FDCSP	FDCSP		16063.0	8.94948721353022	8.94948721353022	0.5992045152235961	17092.0	3.1901524544536195	4.424185675770297	21	1.3017841431516866
NRG3	NRG3	9.931903569588511e-12	16062.0	8.87581043515092	-8.87581043515092	0.6305556702359075	9483.0	1.4536623813085983	1.5014356114701384	23	4.943367532474394
KCNJ4	KCNJ4	1.70795950333006e-11	16061.0	8.85509061020494	-8.85509061020494	0.6281495207043155	14576.0	2.0183480782640073	1.243039660319297	25	5.500019629449951
XYLT1	XYLT1	3.58693779215093e-15	16060.0	8.83100202328091	8.83100202328091	0.4513304312236436	8128.0	1.3444704665573244	1.4258827270285808	25	5.250453922199398
MSX1	MSX1	8.59857390026417e-12	16059.0	8.76428106252468	-8.76428106252468	0.7319157177680571	12108.0	3.1156020818444934	5.527100316357446	24	1.021996826068622
IGFBP5	IGFBP5	1.5135133019137e-36	16058.0	8.624020401646531	-8.624020401646531	0.6687613488187061	11660.0	2.1919384715317354	3.994126524635083	25	1.6103851218640233
SIGMAR1	SIGMAR1	5.57540492030627e-09	16057.0	8.61628297822446	8.61628297822446	0.7985288917017329	2154.0	0.4598920272503606	0.4714939925730497	25	17.29903472674768
ANKRD1	ANKRD1	2.7782689080383495e-38	16056.0	8.61572734974326	-8.61572734974326	0.653365831941181	15549.0	4.258821112781811	6.029500084634487	24	0.7225982545492523
KCNK10	KCNK10	1.7404269974812198e-06	16055.0	8.59261456472318	8.59261456472318	0.5979188925775379	16081.0	2.2249445806578736	1.5693949186570915	25	4.057404486510017
ADGRL1	ADGRL1	2.3632232895111893e-142	16054.0	8.59146569952424	-8.59146569952424	0.13043497442742003	16036.0	1.843494985502472	0.8389056071171104	25	8.043778294927714
TUBB4A	TUBB4A	1.14658180546108e-10	16053.0	8.56190893322801	-8.56190893322801	0.261574747202955	17491.0	4.518837453941989	5.095789658880757	25	0.7934141222332248
ZNF542P	ZNF542P	7.22388116047226e-15	16052.0	8.556896967553541	-8.556896967553541	0.642834396093798	9895.0	1.0755226847390162	1.3157649227325916	25	5.685950547516607
PWAR5	PWAR5	2.9754726275143e-10	16051.0	8.54329231871234	8.54329231871234	0.49223724037919203	13915.0	2.5363606516484207	4.309759276790984	22	1.39379749106002
SDC2	SDC2	1.74627497973616e-14	16050.0	8.523492565373191	8.523492565373191	0.7760090083016215	6965.0	0.9805779646683749	1.1687367715914	25	6.453903722421665
ERVMER34.1	ERVMER34.1	2.9872281099333194e-21	16049.0	8.48729141486592	-8.48729141486592	0.443266611986744	11519.0	1.5001605918754162	1.3884920606690119	24	5.032171966200456
EIF1AY	EIF1AY	3.7417365521432295e-53	16048.0	8.44968695240891	-8.44968695240891	0.745923460836433	3734.0	1.1938970735108159	1.6435707688801087	25	4.414650111988803
FOXN1	FOXN1	1.49097037008944e-09	16047.0	8.40975466819584	-8.40975466819584	0.770866099853869	16498.0	1.8609714962425992	1.2902147315119916	23	5.075731203501899
NOS1	NOS1	6.35405198697852e-13	16046.0	8.3514044864792	8.3514044864792	0.5224652101312061	11820.0	1.7886335972950227	1.3649831208976686	25	4.807950214701726
PLCH1	PLCH1	1.7691284529947502e-10	16045.0	8.350396849817459	-8.350396849817459	0.6816127952628594	6842.0	0.9670871561905596	0.9702291892395848	25	7.609861438423177
ADRA2C	ADRA2C	7.72426691769958e-10	16044.0	8.34482172357	-8.34482172357	0.5697098539697465	15868.0	1.8450770476277396	0.9043473708756349	24	7.187221288263246
RPTN	RPTN	1.1171602611336801e-07	16043.0	8.30368146184235	-8.30368146184235	0.5980901485700539	16807.0	4.01938047104952	5.2214008844111195	22	0.8205271124812364
SLC7A8	SLC7A8	1.6649861007042199e-75	16042.0	8.21012678045629	-8.21012678045629	0.4825758009148895	11708.0	1.5050058415613874	1.47809812207153	25	4.536316526468343
ZNF502	ZNF502	1.99246056215404e-09	16041.0	8.20914141723256	-8.20914141723256	0.7256245476522816	7969.0	1.1226276789553216	1.3844838712307777	25	5.118523866932067
TREM1	TREM1	2.2655810437919803e-07	16040.0	8.14714305477431	8.14714305477431	0.668022808779198	14125.0	2.609603310103191	4.313658667016712	23	1.2837222812765645
LAMA4	LAMA4	3.4842795424712092e-133	16039.0	8.125098838869551	8.125098838869551	0.705775481005705	6191.0	0.9917663062001516	1.0576462049984563	25	6.744535648080741
NOX4	NOX4	4.776507199392229e-43	16038.0	8.11056638004792	-8.11056638004792	0.764619730731211	8230.0	1.0496523736527485	1.0414200635917699	25	6.780082555777422
DKK3	DKK3	8.328952000605309e-09	16037.0	8.08174566764953	-8.08174566764953	0.690617464136796	11597.0	1.5807590135779372	1.6183969488775793	25	4.016929628160926
MMP10	MMP10	8.740556025458929e-18	16036.0	8.081436168472	-8.081436168472	0.833762223434996	6734.0	1.9592424936294108	4.034032157219858	24	1.5176363093401402
MTMR8	MTMR8	4.94712160839777e-09	16035.0	8.06963017469453	-8.06963017469453	0.5856514394237621	9016.0	0.9571812092707047	0.8845350500332654	25	8.040889917427625
ZNF883	ZNF883	6.09873972136802e-10	16034.0	8.06646336125798	-8.06646336125798	0.8238391904472059	4692.0	0.9873138736284645	1.1840939665952936	25	5.978536912897782
CCL2	CCL2	9.028596609506279e-09	16033.0	8.04612392630554	-8.04612392630554	0.7280521726142509	12055.0	2.398155225733646	4.468436124293145	25	1.2639698864365747
SERPINA3	SERPINA3		16032.0	8.016558077391041	8.016558077391041	0.7860055034704916	14398.0	2.3468070067930924	2.436377262420534	25	2.327123618353369
ZNF43	ZNF43	1.1716914652569098e-64	16031.0	8.0102601514886	-8.0102601514886	0.6072714487705511	6741.0	0.9985003856606329	1.2470944640099586	25	5.622476859757734
DENND1C	DENND1C	1.1202026139278501e-09	16030.0	7.99220218189875	-7.99220218189875	0.6870588114671995	6793.0	1.0673253645265977	1.4171775055875449	25	4.886386348971282
LINC00865	LINC00865	4.88726085259095e-12	16029.0	7.91217139431657	7.91217139431657	0.827402159553601	5062.0	0.9728436976925687	1.1995917829989928	24	5.784740938517939
PDE1C	PDE1C	7.126278369654229e-09	16028.0	7.90624975586382	7.90624975586382	0.565500375219097	10855.0	1.6577938352359063	1.7696950226755988	25	3.530809456185781
PCDHB5	PCDHB5	2.09431391342246e-09	16027.0	7.87334585144835	-7.87334585144835	0.589537144234095	11038.0	1.140276115304025	0.6592188302049988	25	10.213709663072772
L3MBTL4	L3MBTL4	6.71874351232519e-06	16026.0	7.83865803791731	7.83865803791731	0.669414255521442	9232.0	0.96032418721198	0.814496257797472	25	8.444893128552172
CRIP1	CRIP1	4.1104091880414094e-21	16025.0	7.7977126577459	-7.7977126577459	0.464420864157348	8772.0	2.0279643394432356	4.107124270254619	25	1.404814643688629
S100A7A	S100A7A	6.16341145795479e-09	16024.0	7.7899371784545	-7.7899371784545	0.2236856809959655	17370.0	4.560555004817043	5.781873490192887	21	0.5585355990778904
GAL	GAL	3.74348437936134e-79	16023.0	7.780244013999339	-7.780244013999339	0.319932588192891	15814.0	3.5582050796887392	5.3142749186761895	25	0.7944713058545209
NFATC4	NFATC4	6.25077684285975e-11	16022.0	7.739752998676339	-7.739752998676339	0.6810841234866845	13883.0	1.6181826512757111	1.3729444420251458	25	4.458716725908498
UTY	UTY	2.838741726846009e-32	16021.0	7.71988721240674	-7.71988721240674	0.6399713821346845	4226.0	1.2355561527476344	1.5271006679099	25	4.246171320541709
PECAM1	PECAM1	4.36022067907759e-06	16020.0	7.70623489185224	7.70623489185224	0.32669211450351154	8505.0	1.7444415252693362	2.150288594514646	25	2.7725549871730473
SOX18	SOX18	1.07045530679927e-11	16019.0	7.69121258040336	-7.69121258040336	0.7607519704596462	13601.0	1.3849301122459292	1.0155718839533976	25	6.209587492328423
KDM5D	KDM5D	3.0763478147452595e-60	16018.0	7.65537128257361	-7.65537128257361	0.670293552795712	6312.0	1.25140536937273	1.5820540710579434	25	4.047880556268505
ALX1	ALX1	1.54091171874016e-07	16017.0	7.65424480665467	7.65424480665467	0.6220783948434399	7735.0	1.661933550701104	1.8442844846251316	23	3.2491252330692144
ROBO2	ROBO2	2.6978921338675997e-11	16016.0	7.63758690964915	-7.63758690964915	0.6490751786503199	11045.0	1.6035450009033474	1.7688340203409318	25	3.4113104109015153
MYCT1	MYCT1	1.53389885283863e-07	16015.0	7.61078346947432	-7.61078346947432	0.7468305788909829	11870.0	2.0536890445300915	3.907382075179184	25	1.4222040020719993
SPRR1B	SPRR1B	3.93669411760239e-33	16014.0	7.5712626877537	-7.5712626877537	0.17671170569407002	16843.0	4.470310313303758	5.806924585371537	21	0.5340094104651676
LY6D	LY6D	2.34229949881636e-31	16013.0	7.569328944023429	-7.569328944023429	0.3094382851063645	17447.0	2.9474204923258025	2.122617193517016	21	2.177457369993067
MT1E	MT1E	5.81597538929724e-08	16012.0	7.563470383646621	7.563470383646621	0.671024443355837	6248.0	2.0827953275997477	4.3405694075526355	25	1.2626626927127216
PDGFRB	PDGFRB	9.026810100737868e-08	16011.0	7.50945521775404	-7.50945521775404	0.7190519328462478	9412.0	1.5331944863263656	1.9795935858947307	25	3.018933165883411
LUM	LUM	5.3937287986387394e-11	16010.0	7.49168159373888	-7.49168159373888	0.448604150328326	12742.0	1.9090164897896265	1.9495188676655801	25	2.8636117334089337
SERPINA1	SERPINA1	3.87392865390733e-12	16009.0	7.48333410538801	7.48333410538801	0.509520793969245	16995.0	4.100811898824413	5.6500000120846705	24	0.5986764954564227
IGF2.AS	IGF2.AS	1.68813131327598e-07	16008.0	7.457354700963029	-7.457354700963029	0.822310154484625	14382.0	2.399363564958207	3.8376241273727283	23	1.3180006608587718
LPAR3	LPAR3	6.25760846992526e-08	16007.0	7.42731537896551	7.42731537896551	0.732119920166115	11813.0	1.7682068011831322	3.8276853512128235	25	1.4784675485379846
PON3	PON3	3.1897416790185e-07	16006.0	7.422273735446639	7.422273735446639	0.6527512940708385	13707.5	1.4398096527396311	1.1999867766186283	25	4.985441672586292
LRRC4	LRRC4	1.6522859406487097e-24	16005.0	7.4005421036987995	-7.4005421036987995	0.5985249504966434	8917.0	1.0814589084012605	0.879212266550589	25	7.18721000116295
CTNND2	CTNND2	4.7062753508636706e-07	16004.0	7.38644328975775	-7.38644328975775	0.6554605009795439	10846.0	2.3115774620342675	4.065282727332636	24	1.2483426536616968
OASL	OASL	1.5828286297168e-09	16003.0	7.37876417634667	7.37876417634667	0.351207564292937	16648.5	2.288251363615856	1.855378152448747	25	2.7436524495086374
TENM1	TENM1	2.0346871608875302e-06	16002.0	7.323827436651161	7.323827436651161	0.7673647286057366	7295.0	1.8326530899994768	3.822667991436776	25	1.4364769210803967
SPRR3	SPRR3	1.52862235038264e-18	16001.0	7.30989292109796	-7.30989292109796	0.141638869662261	17406.0	5.174141221250315	5.9687498649418265	21	0.357822282416665
PDE10A	PDE10A	5.27410695894851e-45	16000.0	7.236788327776741	7.236788327776741	0.6954696729818775	6726.0	0.9462122428415405	1.3198412869831486	25	4.7661610126729705
TRIM31	TRIM31	7.42386548949932e-06	15999.0	7.160995919347791	7.160995919347791	0.8043083109942941	15048.0	2.110238677733484	1.9461541937084355	25	2.5952502930869974
TBX20	TBX20	5.87208777690142e-07	15998.0	7.15892641521193	-7.15892641521193	0.6411044771335205	12720.0	1.6736868548511656	1.4190331235585023	25	3.8654767597006163
TMPRSS11E	TMPRSS11E	1.24595899672573e-36	15997.0	7.11018922192086	-7.11018922192086	0.658885445315106	12777.0	3.1396291494651396	5.781477990718917	22	0.6867724963806335
KCNS1	KCNS1	4.05334857810419e-19	15996.0	7.09959780927107	-7.09959780927107	0.5866975009478199	11403.0	1.3884975104685364	1.437571655521467	25	3.9727413077930223
TBX1	TBX1	6.397422566614288e-138	15995.0	7.0702225468491795	-7.0702225468491795	0.619656966315585	13656.0	1.5255432900125658	1.1875252770235434	25	4.669104198551461
MFAP2	MFAP2	5.084967526925919e-58	15994.0	7.06285713981761	-7.06285713981761	0.587169872902406	11092.0	1.5214201698213374	1.33987163232262	25	4.135796919881338
TCN1	TCN1	7.673423040186679e-28	15993.0	7.058894899079339	7.058894899079339	0.48410961513993395	14537.0	2.2959377284135374	2.3961814947831326	22	1.987728050248078
BPIFB1	BPIFB1		15992.0	7.04071039955684	7.04071039955684	0.43671108263962255	17562.0	5.39392847319656	5.6465140267883625	21	0.2916457691502345
RELN	RELN	3.016158355333289e-84	15991.0	7.03180123310087	-7.03180123310087	0.5969317811430881	13703.0	2.429469103607156	4.131861915656516	25	1.113863973056429
ZNF610	ZNF610	7.28020381686805e-07	15990.0	7.028032625973481	-7.028032625973481	0.7322732743954641	7443.0	0.9346852894883477	0.9321990200827361	25	6.536530510345662
KRT1	KRT1	1.47538626993505e-05	15989.0	7.022427898377651	-7.022427898377651	0.516375648557331	17152.0	4.749141678581186	5.99989992794699	22	0.3788873559720062
GALM	GALM	1.45614827061777e-13	15988.0	7.017127261755719	-7.017127261755719	0.551064018596401	7469.0	0.8175181815095414	0.7564137273541215	25	8.196055751039772
CALML5	CALML5	5.72428196129108e-07	15987.0	7.01068040537842	-7.01068040537842	0.7801532568061009	16577.0	3.962862633003271	5.742715305837518	21	0.5307276453835378
FES	FES	7.56040022190535e-18	15986.0	7.01026922687474	-7.01026922687474	0.6802215127865051	10870.0	1.8723033967367755	3.979827418113484	25	1.2910021692783504
NMUR2	NMUR2	7.03677590228062e-06	15985.0	6.95854533600778	-6.95854533600778	0.789714781197898	14014.0	1.6494775488970423	1.430368499919965	23	3.711678345410851
ZNF662	ZNF662	9.70107250117816e-18	15984.0	6.9285207249545895	6.9285207249545895	0.613386698836328	9516.0	1.0576081245031508	0.6916573591398245	25	8.488180632897137
CXXC5	CXXC5	3.1054409027687294e-73	15983.0	6.9087686159533295	-6.9087686159533295	0.589171876879004	7576.0	0.7919963925687185	0.6661015665992431	25	9.182942257009792
IGFL1	IGFL1	1.1965137837594699e-06	15982.0	6.904215688148099	-6.904215688148099	0.487627077125229	16413.0	1.9631541552178786	1.2089171082802443	22	4.087179757063055
GBGT1	GBGT1	6.0704835150907394e-05	15981.0	6.9021791262635	-6.9021791262635	0.606509481906101	8271.0	1.0871183795479331	1.06329410538979	25	5.468910922424272
