	Gene ID	Adj P-value (Real)	Rank (Real)	abs(log2FoldChange) (Real)	log2FoldChange (Real)	Median adj p-value (simulated)	Rank (simulated)	Mean abs(log2FoldChange) (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score
EPHA5	EPHA5	7.16266478063595e-24	15974.0	12.5057435801636	-12.5057435801636	0.998781492323383	10265.0	1.0249907393384172	1.1705093986649062	25	9.808338877005374
SFT2D3	SFT2D3	1.88387231944711e-06	15973.0	10.9664554453144	10.9664554453144	0.9993033280303208	2806.0	0.34001453934806297	0.2851635557626154	25	37.26437229171152
ARMCX1	ARMCX1	7.575863029059119e-18	15972.0	10.8933145216091	-10.8933145216091	0.9993576496319709	14827.0	0.9766621459440006	0.3611146647607256	25	27.46122864391527
KL	KL	1.05859057339047e-17	15971.0	10.787192245822698	-10.787192245822698	0.9990424101768519	12294.0	0.9429707359375968	0.7583902740071132	24	12.98041634668006
SHISA3	SHISA3	1.94070114027245e-17	15970.0	10.7798192435232	-10.7798192435232	0.9993576496319709	10472.5	0.7582349933932455	0.7432580236470964	25	13.483317947857454
SLC2A10	SLC2A10	2.91266061655327e-17	15969.0	10.6967975475185	-10.6967975475185	0.999328727959128	8370.0	0.6920142596138206	0.5150314957085728	25	19.425575661426773
CTSF	CTSF	1.1443619365152099e-15	15968.0	10.1965410338868	-10.1965410338868	0.9993033280303208	11254.0	0.8205052079739533	0.6161307479190157	25	15.217607395151841
GRIA3	GRIA3	3.3557691062293803e-12	15967.0	9.17972403533493	-9.17972403533493	0.9993541278879351	17195.0	1.527444914882017	0.8264383227367986	24	9.259346898522256
MSR1	MSR1	1.3289301802985801e-12	15966.0	9.10505543538308	-9.10505543538308	0.9993576496319709	15830.0	1.2687504453541174	0.7971750161609946	25	9.830093556828645
MYOM3	MYOM3	1.38754996860838e-38	15965.0	8.99805495340418	-8.99805495340418	0.9993541278879351	10617.0	0.8592719680327862	0.6543993320696513	23	12.437028258618607
EPHA5.AS1	EPHA5.AS1	6.949683769544281e-12	15964.0	8.98875688402842	-8.98875688402842	0.9987240377076361	10589.0	0.8331354901236683	0.7169881305044805	22	11.374834598958243
WIPF1	WIPF1	5.96646734489489e-11	15963.0	8.64378482563579	-8.64378482563579	0.998781492323383	8912.0	0.7479931872513482	0.5756721062743028	25	13.715779438203603
NME5	NME5	2.53152944224292e-10	15962.0	8.449430447596901	-8.449430447596901	0.9993033280303208	10966.0	0.777331480305456	0.6651498266099896	25	11.534392193099043
INPP1	INPP1	1.02457311235463e-33	15961.0	8.41033630591952	-8.41033630591952	0.998781492323383	5859.0	0.3898491196940563	0.26305901837787693	25	30.48930706000073
ARSI	ARSI	2.6764024795122597e-10	15960.0	8.27690722770929	-8.27690722770929	0.9987527650155095	8338.0	0.7764326200880717	0.8329914900206441	25	9.004263185732345
ARMC3	ARMC3	9.266555963063071e-10	15959.0	8.2439225472273	-8.2439225472273	0.9987527650155095	13738.0	1.0737631145282835	0.8137058014029931	22	8.811734438093245
PLAGL1	PLAGL1	1.05491868279e-09	15958.0	8.216668734197201	-8.216668734197201	0.9997458549014591	4040.0	0.43092861974244173	0.4278941780446032	25	18.195480363939847
DCK	DCK	1.88219098041367e-61	15957.0	8.21378485223308	-8.21378485223308	0.9990424101768519	4429.0	0.41355607979994347	0.2919049500710439	25	26.721810543242636
HERC6	HERC6	1.59942777751563e-19	15956.0	8.141445138115161	-8.141445138115161	0.998781492323383	15437.0	0.920944306517437	0.7004414400924553	25	10.308500351784796
GATA5	GATA5	2.64822813424656e-09	15955.0	8.12093195939984	-8.12093195939984	0.9987527650155095	10772.0	1.0434795275229647	1.216724401116415	25	5.816808165746411
PLXDC2	PLXDC2	5.2118801616261775e-195	15954.0	7.9159378879909	7.9159378879909	0.9993033280303208	14503.0	0.9173593638322974	0.5840905099666318	25	11.982010330142876
GABRA1	GABRA1	2.2740226051384803e-09	15953.0	7.91243059805539	-7.91243059805539	0.994390978386448	17518.0	1.5659127863353381	0.9395171005631096	19	6.755084934501138
TP73.AS1	TP73.AS1	2.7726388864273398e-17	15952.0	7.832801467088621	-7.832801467088621	0.9987527650155095	8000.0	0.5750503362772875	0.38096058145541994	25	19.05118661643117
ADGRE5	ADGRE5	1.8669560268545294e-157	15951.0	7.80448855348669	-7.80448855348669	0.9987527650155095	10395.0	0.6746198029836225	0.4356255709267081	25	16.366965638255962
SDC2	SDC2	2.3149558015263087e-183	15950.0	7.73904349259556	7.73904349259556	0.9993033280303208	8188.0	0.5530291048891521	0.35477629446774334	25	20.255057904833514
EHD3	EHD3	1.0909003112243601e-22	15949.0	7.67582892927663	-7.67582892927663	0.998781492323383	633.0	0.4028482016465166	0.510906082338634	25	14.23545535871993
FAM71E1	FAM71E1	5.39228064852463e-08	15948.0	7.54418602113605	-7.54418602113605	0.998781492323383	5678.0	0.4316994438493942	0.30809410442059026	25	23.08543550569584
TMEM200A	TMEM200A	2.7028139290847895e-15	15947.0	7.41663318566451	-7.41663318566451	0.9993033280303208	11721.0	0.7216917766251254	0.5951546062285009	25	11.24907938033997
SNAP91	SNAP91	1.4432775970245002e-06	15946.0	7.33727054684071	-7.33727054684071	0.9990424101768519	17304.0	1.4894744092057863	0.9990560779293516	23	5.853321216717978
