	Gene ID	Adj P-value (Real)	Rank (Real)	abs(log2FoldChange) (Real)	log2FoldChange (Real)	Median adj p-value (simulated)	Rank (simulated)	Mean abs(log2FoldChange) (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score
NTNG1	NTNG1	1.4816922361536498e-21	15604.0	13.9181056559495	-13.9181056559495	0.444742254330418	8401.0	1.4885007404197452	1.9900818445789545	25	6.245775745047063
KISS1	KISS1	4.137486068006989e-126	15603.0	12.7545264182898	12.7545264182898	0.14329024319262948	17649.0	4.703596671906928	3.330280121439162	25	2.4174932596672094
CST1	CST1	1.4939683423421898e-21	15602.0	11.9886990475995	11.9886990475995	0.5174086231451975	16598.0	4.03966844734997	5.003570781248805	25	1.5886715603262813
LCN2	LCN2	2.6599519790148898e-09	15601.0	11.112140161145401	11.112140161145401	0.24759292509854347	16511.0	2.9335037042050662	4.279399000225123	24	1.911164735167272
IDO1	IDO1	5.29019654555503e-22	15600.0	10.9358933062308	10.9358933062308	0.6325932354081945	12150.0	1.7070310471594816	2.193201111133834	25	4.207941630259439
GABRA3	GABRA3	3.66464467075324e-18	15599.0	10.910531392054601	10.910531392054601	0.145813261535405	17420.0	2.6690737508339386	2.301295004710224	25	3.58122605939364
IFI27	IFI27	3.8356392670204996e-39	15598.0	10.0746611797514	10.0746611797514	0.423590011935826	11312.0	1.4483331693821868	2.026172824998548	25	4.257449267870522
VNN2	VNN2	3.03633332826578e-14	15597.0	10.0736392059449	10.0736392059449	0.507065804762807	15288.0	1.7863087973386416	2.229406038133039	25	3.717281763328442
LTB	LTB	6.633425876648489e-19	15596.0	10.0601473966296	10.0601473966296	0.079638531964955	17226.0	3.137086430031545	2.9181943320906116	24	2.372378319862726
GPR85	GPR85	3.40020870588397e-14	15595.0	9.91648220086277	-9.91648220086277	0.583911169102558	10599.0	1.1308680309567878	1.5307092868492278	25	5.7395706979671255
SLC1A3	SLC1A3	7.78471990435084e-14	15594.0	9.70324761221064	9.70324761221064	0.370590974135116	15984.0	2.34031837697306	2.662146620785935	25	2.7657865189498283
KCND2	KCND2	4.25074068681014e-12	15593.0	9.599106592447681	9.599106592447681	0.692748010397771	11321.0	1.0948332893860728	1.3904283429200288	25	6.1162974319135675
ANGPT2	ANGPT2	1.9372586905188101e-25	15592.0	9.433787023522699	9.433787023522699	0.223810493611931	16074.0	1.5306757728484521	1.0895529425766926	25	7.253535777696231
VNN3	VNN3	6.43395202587553e-12	15591.0	9.36424461898392	9.36424461898392	0.750202244352388	9850.0	1.5211793730232421	2.0409733921140494	25	3.8428062199462554
IGFBP5	IGFBP5	7.949172548130677e-238	15590.0	9.36170497996936	9.36170497996936	0.7628427338621759	7810.0	1.8538765365440006	2.521289192006519	25	2.9777736196340094
SLC28A3	SLC28A3	6.98334784370166e-11	15589.0	9.31107867734666	9.31107867734666	0.599359132213246	8542.0	1.2332185424909172	2.1203373104065557	25	3.8097052271871243
DPP4	DPP4	1.72418587216939e-11	15588.0	9.17140386807032	9.17140386807032	0.297402938998367	11991.0	1.1832056160407702	1.2701153595506218	25	6.289348594962149
IFI44L	IFI44L	3.1566584241764497e-07	15587.0	9.11654775329246	9.11654775329246	0.420439783582431	10819.0	1.109363239921238	1.122642056084056	25	7.1324465977174265
