	Gene ID	Adj P-value (Real)	Rank (Real)	abs(log2FoldChange) (Real)	log2FoldChange (Real)	Median adj p-value (simulated)	Rank (simulated)	Mean abs(log2FoldChange) (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score
KRT14	KRT14	4.916458942658289e-52	7235.0	8.15869144216797	-8.15869144216797	1.5388457611743802e-05	10573.0	8.414527073193602	6.2394646093667765	6	-0.041002817876643914
MAG	MAG	4.1809205880745098e-109	7234.0	7.0693077371892	7.0693077371892	1.74695440271008e-10	9714.0	1.83157928512795		1	
CD22	CD22	1.67742836970168e-41	7233.0	6.71060201658867	6.71060201658867	0.3732359207283281	9281.0	1.293685491870655	1.579268078888168	2	3.430017105475606
SLC7A8	SLC7A8	1.0799141452085096e-101	7232.0	5.269172654577639	-5.269172654577639	0.2408609186546427	3260.0	0.8599716759370694	1.5006979556701407	6	2.938100209959724
DIO2	DIO2	4.2748402876193707e-07	7231.0	5.163230056094821	5.163230056094821	1.79605956066653e-15	9833.0	2.09157619409982		1	
BEX4	BEX4	5.318917244642488e-163	7230.0	5.0501243729528795	5.0501243729528795	0.00985363244085538	5550.0	0.7010469049020773	0.6663081859608417	5	6.527125975166082
ABLIM3	ABLIM3	5.3848751972216164e-226	7229.0	4.86582142871866	4.86582142871866	4.55980514764025e-11	9349.0	1.3555410430676398		1	
H19	H19	1.5631308996558098e-21	7228.0	4.40518090082511	4.40518090082511	2.3725718512905302e-05	10426.0	7.393258189974562	6.435046806789618	16	-0.46434429754212997
AKR1C2	AKR1C2	4.0722957873066e-07	7227.0	4.1858222440827	-4.1858222440827	1.9307995363238302e-08	10213.0	4.893489691885709	5.234892091702347	4	-0.135182814737425
KRT6A	KRT6A	1.81924046481658e-89	7226.0	4.14266743463136	-4.14266743463136	2.98527613531263e-06	10635.0	14.723085485402363	8.178630786315027	9	-1.2936661804656582
SPRR1B	SPRR1B	3.2954067135386e-05	7224.0	4.034579389534549	-4.034579389534549	6.31256535162043e-06	10355.0	4.16013420562712		1	
TNNT3	TNNT3	2.1552067819167998e-14	7223.0	3.99524719900904	3.99524719900904	9.01516863981078e-09	10471.0	4.360304958207568	2.909456544010019	4	-0.12547283441992207
PPP2R2B	PPP2R2B	1.5182291713705599e-19	7222.0	3.96216855356098	3.96216855356098	0.026453705770163507	6470.0	0.531236535160816	0.43138528833735246	2	7.953289347496483
