	Gene ID	Adj P-value (Real)	Rank (Real)	abs(log2FoldChange) (Real)	log2FoldChange (Real)	Median adj p-value (simulated)	Rank (simulated)	Mean abs(log2FoldChange) (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score
FAM83A	FAM83A	1.1838003251050598e-37	7157.0	15.400987336866699	-15.400987336866699	0.292703484786467	9507.0	1.8373641236741198	0.40433760170256644	2	33.54529273577201
LRRC8D	LRRC8D	2.622144544404e-35	7156.0	14.934194425504101	-14.934194425504101	0.339655155005624	6523.0	0.6759238578733776	0.49019783774864717	7	29.08676756534729
ACKR3	ACKR3	1.58365543823928e-21	7155.0	14.0809784680477	-14.0809784680477	0.285208728842553	2975.0	0.5383504393608196	0.4555779848846768	3	29.72625648738274
ADAMTS5	ADAMTS5	3.1343715913221395e-27	7154.0	13.416252228870599	-13.416252228870599	0.6063674698490009	901.0	0.47527097935350876	0.45079948793399177	3	28.706734581322266
PLS3	PLS3	1.8209709677604098e-51	7153.0	12.8117146407163	12.8117146407163	0.256265492740281	7655.0	1.2136191831465732	0.9517432148955786	22	12.186160380289365
COL1A2	COL1A2	4.412022890093639e-102	7152.0	12.204677008431199	12.204677008431199	0.23605105325598946	9471.0	2.5271230380416267	1.800917164137594	18	5.373680790600864
MEST	MEST	1.792666667135299e-195	7151.0	12.0085755549907	-12.0085755549907	0.45428841382156604	5883.0	1.1150532337964119	1.4770695923288297	11	7.375090772817926
NTRK3	NTRK3	8.06516647566112e-43	7150.0	11.731549146492801	11.731549146492801	0.69165457410005	8655.0	1.0244973741520773	0.8293480462864062	3	12.910203165346532
L1CAM	L1CAM	0.0	7147.0	10.302403101634999	10.302403101634999	0.5234892585558379	6556.0	0.8822393767040401	0.5984905388958635	12	15.739870746010329
PTPRS	PTPRS	1.7295225947027795e-160	7146.0	10.067248995443501	-10.067248995443501	0.46134908482088394	5983.0	0.5897854229907408	0.3579850867473953	15	26.47446478445158
APOE	APOE	1.2087700964172497e-241	7145.0	9.943621721995289	-9.943621721995289	0.698103991297677	8804.0	1.5697908200360835	1.416525222066506	14	5.911529686526156
ABI3BP	ABI3BP	0.0	7144.0	9.880581920701099	9.880581920701099	0.0567473692659715	8399.0	1.4148798611912428	1.4678859720471356	9	5.767274993236335
ALDH1A1	ALDH1A1	2.1404410445041793e-130	7143.0	9.59778007381876	-9.59778007381876	0.834282530058853	8290.0	1.6346463029807232	2.3750607846386123	11	3.3528126195093155
