	Gene ID	Adj P-value (Real)	Rank (Real)	abs(log2FoldChange) (Real)	Median adj p-value (simulated)	Rank (simulated)	Mean abs(log2FoldChange) (simulated)	Std deviation (simulated)	Number of experiments (simulated)	abs(Z score)
IDI2	IDI2	5.12102298474473e-18	16352.0	11.1172072687183	0.91179685156662	4954.0	0.19062948293464804	1.1354157027444414	25	9.623416128007346
TCN1	TCN1	6.403380124954071e-14	16351.0	9.926411982202369	0.26325669469353796	16551.0	3.401055976029796	3.0464309140587145	19	2.14196749910174
ADCY8	ADCY8	5.77698051909725e-07	16350.0	7.815495237255781	0.7249445273270585	11557.0	1.8468027660701014	1.8253885977441475	21	3.2698201788714534
TNFSF8	TNFSF8	6.392228135672789e-07	16349.0	7.489698175446151	0.687162210623219	10722.0	1.8324672094679624	1.7949352466688215	20	3.151774403270152
SAMD3	SAMD3	1.0626048002505399e-23	16348.0	7.181606324040709	0.785866934342881	7026.0	1.239007909592277	2.1239310651937733	22	2.7979243356027985
CSMD2	CSMD2	1.6370622025410502e-15	16347.0	6.80604172832613	0.5627401588676839	11357.0	1.8714296114047357	2.240808145427549	23	2.2021573453267966
PTN	PTN	2.33036537731667e-05	16346.0	6.76165678578115	0.3369984336731515	9345.0	1.7735499850796401	3.1709592298379627	22	1.5730592666612129
ESM1	ESM1	2.38951291657247e-15	16345.0	6.574291552888821	0.306293291294024	13251.0	2.5318879058107755	3.007992005300266	19	1.343887762984437
NOS1	NOS1	8.703982330257949e-47	16344.0	6.548550544427969	0.43348997289297103	13941.5	2.374471150486427	1.9502985191115578	23	2.1402258951839888
ANKRD1	ANKRD1	3.9933712269161e-06	16343.0	6.513138550644361	0.37924421491708704	15711.0	3.1365326546182772	3.3168286520813726	20	1.0180224094202754
PABPC5	PABPC5	5.3907453783530606e-05	16342.0	6.24764031699956	0.786977145766761	3212.0	0.7618717257036289	1.864155714288053	20	2.9427630692273055
CA10	CA10	0.0007369154450665661	16341.0	6.08528531624805	0.261207586089355	16147.0	2.6539952354417293	2.064896707618219	22	1.6617248059658076
NPAS3	NPAS3	0.00019070041615831698	16340.0	6.069580399816481	0.7685640946736559	7099.0	0.8691033619307867	1.834218479118903	22	2.8352549584953635
COL22A1	COL22A1	4.030374379374521e-41	16339.0	6.05581590445477	0.15521106368363297	16690.0	3.2165732359768375	2.087710857583437	21	1.3599788774219466
HMGCS2	HMGCS2	3.4407745856038597e-06	16338.0	5.9911034504706295	0.30128498945334903	15983.0	2.9499568873239026	2.3437974771098524	19	1.297529583015329
TMEM200A	TMEM200A	2.0896889057608e-82	16337.0	5.93782970871146	0.643372453356663	9442.0	1.654066767185612	1.918580372483566	24	2.2327774238514686
PCDHAC1	PCDHAC1	6.32210915877411e-06	16336.0	5.91211946408785	0.6715586633482875	9105.0	1.9537335518946268	2.3849482283724046	24	1.659736620318422
SPINK6	SPINK6	0.0109375191125973	16335.0	5.900269710874519	0.8972293188986324	13489.0	1.6298936732360803	1.949923965880135	18	2.190021822574463
BCL11A	BCL11A	7.638385341999659e-20	16334.0	5.735940749973309	0.6354102874648986	7832.0	1.0979562277430217	2.309362508734356	24	2.0083397494714372
CDH11	CDH11	2.0896889057608e-82	16333.0	5.702264295775371	0.7072679362801431	9505.0	2.016251236548335	2.5916666878010486	24	1.4222558311904325
AQP4	AQP4	0.0006721873218883	16332.0	5.6604019576061795	0.4819866634058675	15152.0	2.607896726635758	2.5718442837480064	19	1.186893487393388
ERVFRD.1	ERVFRD.1	3.5153978287369204e-05	16331.0	5.63954549074025	0.3571565248708015	15119.0	3.04930138868579	2.2413060433297662	20	1.155685146061668
WNT7A	WNT7A	8.12695921893259e-19	16330.0	5.61166616626699	0.505392071352211	15181.0	2.2224557675787064	1.7176351434257173	21	1.9731841256628648
MEGF10	MEGF10	2.1201715499385197e-47	16329.0	5.60209479360527	0.7877970375289769	11264.0	2.1421760529817866	2.508763547758447	21	1.3791330568856848
FRMPD4	FRMPD4	0.00475894919496028	16328.0	5.56370683774663	0.693320361525741	11940.0	1.7112911141610994	1.6648843654844145	22	2.3139238997325995
PYCARD.AS1	PYCARD.AS1	0.00813194215326815	16327.0	5.44393672403906	0.28527153923149595	15955.0	3.0387118915474045	2.5736409404145344	19	0.9345611482634588
MMP10	MMP10	2.37328269532839e-30	16326.0	5.440243155191211	0.21640516732406304	16841.0	3.3928165863940256	2.7670655388715657	20	0.7399270237856903
BARX1	BARX1	0.0117587593818987	16325.0	5.42750470927782	0.20451795183005347	17244.0	3.472362161686513	2.2351173809698417	20	0.8747381968561087
LIPC	LIPC	6.655776096217341e-05	16324.0	5.4023035406849695	0.478292120576649	12557.0	1.9290441361327053	1.5908510629082326	19	2.183271259977539
PLPPR1	PLPPR1	0.0018613155838176	16323.0	5.36245481594496	0.66437332740108	12151.0	1.7309777277094784	2.024305712943283	21	1.7939370842141313
RGS6	RGS6	0.0146540664514411	16322.0	5.34743259070533	0.613470686931793	10465.0	1.6474257570065003	1.7752236443559852	24	2.084248283568303
FPR3	FPR3	0.0129416631453439	16321.0	5.291988457938401	0.296441949763307	15189.0	2.7629413620317687	2.2458583343214276	20	1.1260937777140643
ANO4	ANO4	0.00247801429694001	16320.0	5.2736421428699405	0.8477544502255558	9139.0	1.7322596312106462	2.2992079708878363	23	1.5402619321521374
MYCT1	MYCT1	1.63634078957814e-15	16319.0	5.20650202241158	0.9464893965330698	5906.0	1.4521887759702767	2.3823895584663832	21	1.5758603512592912
NRG3	NRG3	0.0135872182640287	16318.0	5.20264096431966	0.663607584902621	10813.0	1.4490582072133646	1.9536513271985783	22	1.921316616148038
RHOJ	RHOJ	0.0199942162771913	16317.0	5.02778992789193	0.6674615794023571	11522.0	2.0515749605743445	2.4652468772947342	22	1.2072685274359083
FAAH2	FAAH2	0.0102673604665547	16316.0	4.96248359725398	0.690336202227016	7941.0	0.7741354060189459	1.6142994136709055	23	2.5945299587954134
ZFP3	ZFP3	2.32038781712e-05	16315.0	4.9186188544828395	0.596990749565361	6827.0	0.6054226950546951	1.451865977680087	24	2.9707949808977063
CSF3	CSF3	1.39709414686102e-10	16314.0	4.91356739440016	0.184784298547269	16293.0	3.616695052021024	3.3888365730464813	18	0.38268954976878083
MAGEC1	MAGEC1	8.24092743671519e-08	16313.0	4.9035113922850595	0.6607650549571689	14149.0	1.9582922128688267	2.1846286488520072	18	1.3481555233489708
ITM2A	ITM2A	2.6957780666680894e-16	16312.0	4.8359373214670995	0.69912304052508	6195.0	1.2093829973094428	2.6020889793167146	22	1.39370880588025
MPPED1	MPPED1	0.0343471538922286	16311.0	4.82892236695154	0.37587580427079503	12912.0	2.3762813805493206	2.133726410287911	20	1.1494636681519426
