pathway	Gene ID	Adj P-value (Real)	Rank (Real)	Test statistic (Real)	Median adj p-value (simulated)	Rank (simulated)	Mean test statistic (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	0.00206423912145983	49.0	0.00206423912145983	0.08057779324747631	32.0	0.27843081853629686	0.3751127848802226	18	-0.7367559586194423
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	0.00206423912145983	49.0	0.00206423912145983	0.344404868387427	28.0	0.4648470772923458	0.4736160394326769	21	-0.9771266165842536
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	0.00206423912145983	49.0	0.00206423912145983	0.0258264462809917	40.5	0.42403752847886433	0.4777433891860545	21	-0.883263481837672
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	0.002094855036031507	42.5	0.002094855036031507	0.0012803441565092698	50.0	0.10705694449557884	0.25771385807168556	25	-0.4072815107612534
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	0.002094855036031507	42.5	0.002094855036031507	0.0482874789444132	35.0	0.20762899889720984	0.297118633108802	25	-0.6917578399935412
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	0.002094855036031507	42.5	0.002094855036031507	0.0258264462809917	40.5	0.15833613352960912	0.28127058199289445	25	-0.5554838952106432
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	0.002094855036031507	42.5	0.002094855036031507	0.46296296296296297	25.0	0.40615211182205363	0.3586522751139757	25	-1.1265988948700165
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	0.002094855036031507	42.5	0.002094855036031507	0.00169411126922816	47.5	0.09799053043765894	0.2543190076344003	25	-0.37706845545529794
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	0.002094855036031507	42.5	0.002094855036031507	0.00404575379749163	44.0	0.11906576020169435	0.2507295631786185	25	-0.4665221910123672
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	0.002094855036031507	42.5	0.002094855036031507	0.594890833554318	20.0	0.5196732588297955	0.41290280591421064	25	-1.253511471417082
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.002094855036031507	42.5	0.002094855036031507	0.0530384187199361	34.0	0.2521145826502367	0.35796172870000564	25	-0.6984537942706645
