	Gene ID	Adj P-value (Real)	Rank (Real)	Test statistic (Real)	Median adj p-value (simulated)	Rank (simulated)	Mean test statistic (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score
SFTPC	SFTPC	6.435284812262209e-07	17788.0	4300.76438083333	0.154675209295147	17738.0	13.998740000000007	1.6681294246503346	25	2569.8039837238057
IGHG1	IGHG1	0.0344267690766377	17787.0	4217.28509166667	0.285483297250823	17784.0	97.11476666666664	16.83079799294386	25	244.799463859488
SFTPA2	SFTPA2	9.543719200453881e-06	17786.0	4067.8903691666706	0.7088834874911051	16603.0	0.84028666666667	0.562944747572485	25	7224.599039315717
SCGB3A1	SCGB3A1	0.10734325554164599	17785.0	2953.13557583333	0.39383276870469397	17706.0	10.229193333333338	3.031515607466066	25	970.7706518983967
CEACAM6	CEACAM6	0.0017478426943794698	17784.0	682.8637349999999	0.181727038531453	17173.0	1.3723833333333317	0.2252116635584754	25	3026.003808589246
AGER	AGER	2.9853203857177e-06	17783.0	669.97577	0.351958608708451	17079.0	1.1167633333333333	0.45812992877951025	25	1459.9766674239188
IGLL5	IGLL5	0.0106156993238566	17782.0	605.225856666667	0.477605490689231	17667.0	7.153203333333287	2.9083315151498565	25	205.64115549341597
A2M	A2M	2.7590232618597497e-07	17781.0	498.14334333333295	0.072003321566552	17672.0	7.036196666666674	2.2211773892965434	25	221.1021726734766
ZFP36	ZFP36	3.8131523597066498e-06	17780.0	471.95801666666705	0.0420148814415887	17431.0	2.4125733333333326	0.3705534917275566	25	1267.1461848713582
HLA.E	HLA.E	2.47951058743592e-05	17779.0	452.9715875	0.6903250186938371	16620.0	0.8077633333333335	0.6889353852812333	25	656.3225431977004
DUSP1	DUSP1	9.93909710040368e-08	17778.0	412.0875175	0.279248090183839	17538.0	3.354976666666653	0.48679605069973036	25	839.6381610857628
SFTPB	SFTPB	0.37039874917190097	17777.0	384.478880833333	0.0587330047592098	17742.0	17.373319999999982	2.4156686499673383	25	151.96850811401495
COL1A1	COL1A1	0.0303518687263181	17776.0	372.527240833333	0.318076560033095	17663.0	6.819713333333334	0.9881443031356318	25	370.0952647700515
JUNB	JUNB	1.0989866612789101e-06	17775.0	367.545695833334	0.271775703932713	12991.0	0.1575400000000002	0.08640280385432544	25	4252.039742283688
PIGR	PIGR	0.00918993726820796	17774.0	334.89116	0.705980701828932	15450.0	0.369753333333332	0.24118310634668447	25	1387.0018167268097
COL3A1	COL3A1	0.00997851390754733	17773.0	327.46108250000003	0.0692088346838878	17576.0	4.076916666666673	1.5901677861040207	25	203.36480757520468
EPAS1	EPAS1	8.38031281317473e-06	17772.0	317.163113333333	0.733558796758271	14043.0	0.2303933333333336	0.17356589386710772	25	1826.0080534178105
CEACAM5	CEACAM5	0.000221864704966043	17771.0	302.169325	0.20300854430367998	17485.0	2.8789200000000092	0.3594139612374653	25	832.7178053115707
SPP1	SPP1	0.0034449586140067397	17770.0	288.63445	0.14925007948608301	17759.0	32.531736666666696	3.0005479909115973	25	85.35198040792766
HLA.B	HLA.B	0.0678983924467448	17769.0	273.097861666666	0.187989944577172	17665.0	6.734530000000007	1.2345520946285953	25	215.757061063348
CD74	CD74	0.5040243493675199	17768.0	271.834955	0.427738620884906	17582.0	4.452196666666663	1.6084312446593052	25	166.23822698120352
