Gemma ID,External ID,Study Description,Number of Samples,Study Category,Condition Description,Control Description,Number of DE genes,Funding Source,DE Prior AUROC (Fig 2),CXCL8 DE,Sex (Fig 3),Immunity (Fig 3),Funding Prior AUROC (Fig 4),"DE Prior AUROC (222 subset, Fig 4)",Cluster Prior AUROC (Fig 4),NIGMS sepsis or trauma (Fig 4),Max GO term (Fig 4),Max GO AUROC (Fig 4)
RSCID.448367.34660,E-MEXP-2280,Comprehensive mRNA expression profiling distinguishes tauopathies and identifies shared molecular pathways,31,sex,female,male,1,NA,1,no,no,no,NA,NA,NA,no,GO:0042571,0.5
RSCID.457709.80233,GSE10063,Effects of tobacco smoke on gene expression and cellular pathways in a cellular model of oral leukoplakia,60,treatment,vehicle,tobacco smoke,2,NA,0.939,no,no,no,NA,NA,0.75,no,GO:0019825,0.999
RSCID.449307.39104,GSE10245,Gene expression differences between adenocarcinoma and squamous cell carcinoma in human NSCLC,58,disease,Squamous cell carcinoma,Adenocarcinoma,317,NA,0.847,no,no,no,NA,NA,0.603,no,GO:0009888,0.566
RSCID.446720.33997,GSE10281,Letrozole (Femara) early response to treatment,36,treatment,2.5 mg/day; Post-treatment; letrozole,Pre-treatment; reference subject role,15,NCI NIH HHS,0.907,no,no,no,0.888,0.892,0.538,no,GO:1903047,0.732
RSCID.463657.117982,GSE10282,In-transit extremity melanoma I,43,genotype,mutant; BRAF [human] v-raf murine sarcoma viral oncogene homolog B,wild type genotype,104,NA,0.809,yes,no,no,NA,NA,NA,no,GO:0045595,0.538
RSCID.457721.80150,GSE10311,Systematic Assessment of Human Osteoblast Transcriptome in Resting and Induced Primary Cells,21,timepoint,24 hours,2 hours,25,NA,0.929,no,no,no,NA,NA,0.521,no,GO:0007186,0.628
RSCID.458573.80097,GSE10315,Multipotent mesenchymal stromal cells: identification of pathways common to TGF?3/BMP2-induced chondrogenesis,9,treatment,7 days; TGFB3; Growth Factor,reference subject role,320,NA,0.888,no,no,no,NA,NA,0.894,no,GO:0009888,0.536
RSCID.458589.80309,GSE10327,mRNA expression data of 62 human medulloblastoma tumors,62,sex,male,female,9,NA,0.982,no,yes,no,NA,NA,1,no,GO:0060765,0.583
RSCID.447940.21075,GSE10334,Transcriptomes in Healthy and Diseased Gingival Tissues,247,organism part,affected site; Periodontitis,unaffected site; reference subject role,9,NA,0.983,no,no,no,NA,NA,1,no,GO:0050864,0.665
RSCID.459299.40100,GSE10406,Mucus overproduction,18,clinical history,chronic rhinosinusitis,reference subject role,44,NA,0.871,no,no,no,NA,NA,0.548,no,GO:0006952,0.655
RSCID.454864.79913,GSE10718,Time course of NHBE cells exposed to whole cigarette smoke (full flavor),24,treatment,reference substance role,cigarette smoke,12,NA,0.575,yes,no,no,NA,NA,0.522,no,GO:0006352,0.606
RSCID.458597.80155,GSE10780,Proliferative genes dominate malignancy-risk gene signature in histologically-normal breast tissue,185,disease,invasive ductal carcinoma,Unremarkable breast ducts (Normal); reference subject role,116,NCI NIH HHS,0.945,no,no,no,0.928,0.922,0.986,no,GO:0009888,0.565
RSCID.458770.19098,GSE10799,Gene expression profile of lung tumors,13,disease,"lung adenocarcinoma; neoplastic, metastatic",reference subject role,588,NA,0.895,no,no,no,NA,NA,0.858,no,GO:0006928,0.541
RSCID.458985.19893,GSE10810,"Gene expression signatures in breast cancer distinguish phenotype charact., histological subtypes, and tumor invasivness",58,disease,Tumour,reference subject role,389,NA,0.893,no,no,no,NA,NA,0.964,no,GO:1901700,0.535
RSCID.456491.19402,GSE10831,HL cell line associated gene expression changes compared with CD10+ GC B cells,6,cell line,KMH2,GC,1508,NA,0.771,yes,no,no,NA,NA,0.788,no,GO:0006955,0.521
RSCID.459973.111163,GSE10843,mRNA Cancer Cell Line Profiles,5,cell line,Caco2,H1155,1679,NA,0.795,no,no,no,NA,NA,0.814,no,GO:0009888,0.526
RSCID.466763.123934,GSE10846,Prediction of survival in diffuse large B cell lymphoma treated with chemotherapy plus Rituximab,420,treatment,rituximab,reference substance role,279,NA,0.697,no,no,no,NA,NA,0.661,no,GO:0030054,0.542
RSCID.458621.81115,GSE10916,In vitro study of gene expression and response to chemotherapy across 50 human-melanoma derived cell lines,50,treatment,melphalan,temozolomide; melphalan,2,NA,0.793,no,no,no,NA,NA,0.467,no,GO:1903053,0.749
